,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022Sustainability ReportAll of the photographs featured throughout this report were taken by our associates, or feature Danaher associates in action.","('Management_Of_Legal_And_Regulatory_Framework', 0.36955416202545166)","('Customer_Privacy', 0.07352103292942047)","('Energy_Management', 0.05640270560979843)","('NON-ESG', 0.36955416202545166)","('NON-ESG', 0.07352103292942047)","('NON-ESG', 0.05640270560979843)"
Line 2,"We are proud to share these incredible images from around the world, demonstrating what sustainability means to our team, and we hope you enjoy them as much as we do.","('Business_Model_Resilience', 0.2955291271209717)","('Product_Design_And_Lifecycle_Management', 0.23310138285160065)","('Employee_Engagement_Inclusion_And_Diversity', 0.06280914694070816)","('NON-ESG', 0.2955291271209717)","('NON-ESG', 0.23310138285160065)","('NON-ESG', 0.06280914694070816)"
Line 3,"Cover photo: Hot Air Balloons in Pamukkale, Turkey by Carla Dipasquale, Molecular Devices associate2022 Danaher Sustainability Report3 49 42 18 26 EnvironmentFoundational Elements 04 06From Our CEO Danaher at a Glance 71 72About This Report Appendices Innovation Team This report also constitutes statutory reporting on corporate responsibility cf.","('Business_Model_Resilience', 0.21418587863445282)","('Management_Of_Legal_And_Regulatory_Framework', 0.16876885294914246)","('Systemic_Risk_Management', 0.10807961225509644)","('NON-ESG', 0.21418587863445282)","('NON-ESG', 0.16876885294914246)","('NON-ESG', 0.10807961225509644)"
Line 4,"99A of the Danish Financial Statements Act.2022 Danaher Sustainability Report4 With this in mind, our sustainability strategy is to help generations of our stakeholders Realize Lifes Potential by Innovating products that improve lives and our planet, Building the best team, and Protecting our environment.","('Product_Design_And_Lifecycle_Management', 0.9397203326225281)","('Business_Model_Resilience', 0.008561143651604652)","('Product_Quality_And_Safety', 0.006914480589330196)","([], 0.9397203326225281)","('NON-ESG', 0.008561143651604652)","('NON-ESG', 0.006914480589330196)"
Line 5,"Thanks to the driving force of the Danaher Business System (DBS), we have made notable progress across each of these three strategic pillars, and Im pleased to share the details with you in our 2022 Sustainability Report.","('Business_Model_Resilience', 0.6748746037483215)","('Systemic_Risk_Management', 0.05899412930011749)","('Supply_Chain_Management', 0.05621950328350067)","(['Human Capital Development', 'Innovation Management'], 0.6748746037483215)","('NON-ESG', 0.05899412930011749)","('NON-ESG', 0.05621950328350067)"
Line 6,"This years report conveys the depth and scope of our commitment to sustainability and details a number of important milestones we have achieved over the past year, including the evolution of our sustainability strategy, the introduction of several new life-changing technologies, an expanded commitment to diversity and inclusion (D+I), and ambitious new greenhouse gas (GHG) reduction targets.","('GHG_Emissions', 0.9625109434127808)","('Ecological_Impacts', 0.005831913556903601)","('Physical_Impacts_Of_Climate_Change', 0.003474671859294176)","(['Operational Eco-Efficiency'], 0.9625109434127808)","('NON-ESG', 0.005831913556903601)","('NON-ESG', 0.003474671859294176)"
Line 7,"Innovating Products That Improve Lives and Our Planet One of our Core Values, Innovation Defines Our Future, drives us to boldly pursue new technologies and solutions that make a meaningful difference around the globe.","('Product_Design_And_Lifecycle_Management', 0.9364513158798218)","('Business_Model_Resilience', 0.011129561811685562)","('Supply_Chain_Management', 0.00466130068525672)","([], 0.9364513158798218)","('NON-ESG', 0.011129561811685562)","('NON-ESG', 0.00466130068525672)"
Line 8,"Research and development (R&D) are essential for addressing our customers most complex challenges, and in 2021 we hired approximately 4,000 new R&D associates and invested $1.7 billion in R&Da nearly 30% increase year-over-yearfueling breakthrough innovation across many scientific disciplines and end- market applications.","('Business_Model_Resilience', 0.24388732016086578)","('Product_Design_And_Lifecycle_Management', 0.11100731790065765)","('Supply_Chain_Management', 0.0873921662569046)","('NON-ESG', 0.24388732016086578)","('NON-ESG', 0.11100731790065765)","('NON-ESG', 0.0873921662569046)"
Line 9,"We are also building out our science & technology ecosystem across the organization to better anticipate and serve our customers complex, ever- evolving needs.","('Product_Design_And_Lifecycle_Management', 0.383060485124588)","('Business_Model_Resilience', 0.16731713712215424)","('Supply_Chain_Management', 0.09362280368804932)","('NON-ESG', 0.383060485124588)","('NON-ESG', 0.16731713712215424)","('NON-ESG', 0.09362280368804932)"
Line 10,Over the past year we recruited several globally recognized physician scientists to serve as chief science and/or technology officers across Danaher.,"('Employee_Engagement_Inclusion_And_Diversity', 0.19556128978729248)","('Director_Removal', 0.1450042873620987)","('Management_Of_Legal_And_Regulatory_Framework', 0.10282479226589203)","('NON-ESG', 0.19556128978729248)","('NON-ESG', 0.1450042873620987)","('NON-ESG', 0.10282479226589203)"
Line 11,"This platform-level network will leverage their deep customer, technical and market expertise to strategically guide R&D programs, collaborations and proprietary opportunities in pursuit of transformative scientific advancements and breakthrough customer solutions.","('Competitive_Behavior', 0.2851060628890991)","('Business_Model_Resilience', 0.24681879580020905)","('Customer_Welfare', 0.09018674492835999)","('NON-ESG', 0.2851060628890991)","('NON-ESG', 0.24681879580020905)","('NON-ESG', 0.09018674492835999)"
