,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022 Corporate Social Responsibility ReportTable of Contents Introduction 03 Our Approach 04 Our Businesses 05 Setting Our CSR Priorities & Strategy 06 Fiscal 2022 Highlights 07 CSR Oversight & Accountability 10 Stakeholder Engagement & Participation 11 Charitable Giving Approach 12 World of Belonging 13 DIVERSITY, EQUITY & INCLUSION Overview 14 People 15 Culture 18 Content 19 Community 23 Transparency & Accountability 28 World in Balance 29 ENVIRONMENT & CONSERVATION Overview 30 2030 Environmental Goals 30 Emissions 31 Water 34 Waste 35 Materials 38 Sustainable Design 39 Wildlife Care & Conservation 42 World of Hope 45 COMMUNITY Overview 46 Childrens Hospitals 47 Wish Granting 51 Volunteering 53 Stories of Hope in Communities Around the World 56Investing in Our People 59 Talent Management Strategy 60 Employee Feedback & Recognition 61 Safety, Health & Well-Being 62 Talent Development 64 Comprehensive Rewards Package 66 Operating Responsibly 68 Corporate Governance 69 Ethics 69 Risk Oversight 70 Human Rights 70 Supply Chain 71 Guest Safety 73 Product Safety 74 Privacy & Cybersecurity 75 Digital Wellness & Responsible Content 76 Responsible Advertising & Marketing 77 Journalistic Integrity 78 Tax Strategy 78 Data & Reporting Frameworks 79 Overview 80 Fiscal 2022 Data Table 81 TCFD Index 89 SASB Index 90 SDG Indicators 95 Forward-Looking Statements 99 This report contains links to websites that are not operated by The Walt Disney Company.","('Employee_Engagement_Inclusion_And_Diversity', 0.7159467935562134)","('Human_Rights_And_Community_Relations', 0.1393880993127823)","('Access_And_Affordability', 0.016434824094176292)","(['Talent Attraction & Retention'], 0.7159467935562134)","('NON-ESG', 0.1393880993127823)","('NON-ESG', 0.016434824094176292)"
Line 2,"2022 Corporate Social Responsibility ReportTable of Contents Introduction 03 Our Approach 04 Our Businesses 05 Setting Our CSR Priorities & Strategy 06 Fiscal 2022 Highlights 07 CSR Oversight & Accountability 10 Stakeholder Engagement & Participation 11 Charitable Giving Approach 12 World of Belonging 13 DIVERSITY, EQUITY & INCLUSION Overview 14 People 15 Culture 18 Content 19 Community 23 Transparency & Accountability 28 World in Balance 29 ENVIRONMENT & CONSERVATION Overview 30 2030 Environmental Goals 30 Emissions 31 Water 34 Waste 35 Materials 38 Sustainable Design 39 Wildlife Care & Conservation 42 World of Hope 45 COMMUNITY Overview 46 Childrens Hospitals 47 Wish Granting 51 Volunteering 53 Stories of Hope in Communities Around the World 56Investing in Our People 59 Talent Management Strategy 60 Employee Feedback & Recognition 61 Safety, Health & Well-Being 62 Talent Development 64 Comprehensive Rewards Package 66 Operating Responsibly 68 Corporate Governance 69 Ethics 69 Risk Oversight 70 Human Rights 70 Supply Chain 71 Guest Safety 73 Product Safety 74 Privacy & Cybersecurity 75 Digital Wellness & Responsible Content 76 Responsible Advertising & Marketing 77 Journalistic Integrity 78 Tax Strategy 78 Data & Reporting Frameworks 79 Overview 80 Fiscal 2022 Data Table 81 TCFD Index 89 SASB Index 90 SDG Indicators 95 Forward-Looking Statements 99 This report contains links to websites that are not operated by The Walt Disney Company.","('Human_Rights_And_Community_Relations', 0.5320248007774353)","('Business_Ethics', 0.1409243792295456)","('Employee_Health_And_Safety', 0.05711398646235466)","([], 0.5320248007774353)","('NON-ESG', 0.1409243792295456)","('NON-ESG', 0.05711398646235466)"
Line 3,"2022 Corporate Social Responsibility ReportTable of Contents Introduction 03 Our Approach 04 Our Businesses 05 Setting Our CSR Priorities & Strategy 06 Fiscal 2022 Highlights 07 CSR Oversight & Accountability 10 Stakeholder Engagement & Participation 11 Charitable Giving Approach 12 World of Belonging 13 DIVERSITY, EQUITY & INCLUSION Overview 14 People 15 Culture 18 Content 19 Community 23 Transparency & Accountability 28 World in Balance 29 ENVIRONMENT & CONSERVATION Overview 30 2030 Environmental Goals 30 Emissions 31 Water 34 Waste 35 Materials 38 Sustainable Design 39 Wildlife Care & Conservation 42 World of Hope 45 COMMUNITY Overview 46 Childrens Hospitals 47 Wish Granting 51 Volunteering 53 Stories of Hope in Communities Around the World 56Investing in Our People 59 Talent Management Strategy 60 Employee Feedback & Recognition 61 Safety, Health & Well-Being 62 Talent Development 64 Comprehensive Rewards Package 66 Operating Responsibly 68 Corporate Governance 69 Ethics 69 Risk Oversight 70 Human Rights 70 Supply Chain 71 Guest Safety 73 Product Safety 74 Privacy & Cybersecurity 75 Digital Wellness & Responsible Content 76 Responsible Advertising & Marketing 77 Journalistic Integrity 78 Tax Strategy 78 Data & Reporting Frameworks 79 Overview 80 Fiscal 2022 Data Table 81 TCFD Index 89 SASB Index 90 SDG Indicators 95 Forward-Looking Statements 99 This report contains links to websites that are not operated by The Walt Disney Company.","('Product_Quality_And_Safety', 0.8599170446395874)","('Employee_Health_And_Safety', 0.026401247829198837)","('Product_Design_And_Lifecycle_Management', 0.01834660954773426)","([], 0.8599170446395874)","('NON-ESG', 0.026401247829198837)","('NON-ESG', 0.01834660954773426)"
Line 4,The website owners Terms of Use and Privacy Policy will apply.,"('Customer_Privacy', 0.7639960646629333)","('Data_Security', 0.08888974040746689)","('Director_Removal', 0.0120540801435709)","(['Information Security Cybersecurity & System Availability'], 0.7639960646629333)","('NON-ESG', 0.08888974040746689)","('NON-ESG', 0.0120540801435709)"
Line 5,"02 Table of Contents Our Approach Introduction World of Hope Investing in Our People Operating Responsibly Data & Reporting Frameworks World in Balance World of BelongingIntroduction At The Walt Disney Company, our mission is to entertain, inform, and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds, and innovative technologies that make ours the worlds premier entertainment company.","('Business_Model_Resilience', 0.4867042601108551)","('Product_Design_And_Lifecycle_Management', 0.12073029577732086)","('Employee_Engagement_Inclusion_And_Diversity', 0.06257445365190506)","('NON-ESG', 0.4867042601108551)","('NON-ESG', 0.12073029577732086)","('NON-ESG', 0.06257445365190506)"
Line 6,"Since our founding nearly 100 years ago, storytelling has fueled our Company, and contributing positively to our communities has been integral to how we operate.","('Human_Rights_And_Community_Relations', 0.8134336471557617)","('Employee_Engagement_Inclusion_And_Diversity', 0.0471494123339653)","('Access_And_Affordability', 0.024351026862859726)","([], 0.8134336471557617)","('NON-ESG', 0.0471494123339653)","('NON-ESG', 0.024351026862859726)"
Line 7,"This report shares our track record and ongoing efforts to make the world better for individuals, families, and communities through our stories, experiences, operations, and philanthropy.","('Human_Rights_And_Community_Relations', 0.9184539318084717)","('Access_And_Affordability', 0.018139010295271873)","('Employee_Engagement_Inclusion_And_Diversity', 0.00542334234341979)","([], 0.9184539318084717)","('NON-ESG', 0.018139010295271873)","('NON-ESG', 0.00542334234341979)"
Line 8,We inspire a world of belonging by embracing stories and storytellers who reflect the life experiences of people from across the globe.,"('Human_Rights_And_Community_Relations', 0.2553246021270752)","('Employee_Engagement_Inclusion_And_Diversity', 0.22617723047733307)","('Employee_Health_And_Safety', 0.14216959476470947)","('NON-ESG', 0.2553246021270752)","('NON-ESG', 0.22617723047733307)","('NON-ESG', 0.14216959476470947)"
Line 9,"In fiscal 2022, we released award-winning and critically acclaimed films and shows that respect and celebrate different communities, such as Encanto , Abbott Elementary , Prey, Turning Red , Reservation Dogs , and Ms. Marvel , among others.","('Employee_Engagement_Inclusion_And_Diversity', 0.24896840751171112)","('Human_Rights_And_Community_Relations', 0.16008484363555908)","('Access_And_Affordability', 0.09188466519117355)","('NON-ESG', 0.24896840751171112)","('NON-ESG', 0.16008484363555908)","('NON-ESG', 0.09188466519117355)"
Line 10,We also continue to make progress toward a workforce reflective of the audiences and guests we serve.,"('Employee_Engagement_Inclusion_And_Diversity', 0.7488205432891846)","('Labor_Practices', 0.04097506403923035)","('Customer_Welfare', 0.02256276272237301)","(['Talent Attraction & Retention'], 0.7488205432891846)","('NON-ESG', 0.04097506403923035)","('NON-ESG', 0.02256276272237301)"
Line 11,"This past year we continued to invest in programs like Disneys Veterans Institute, Disney on the Yard, Womens Talent Network, and Black Talent Network, to help attract and develop a more diverse workforce at all levels.","('Employee_Engagement_Inclusion_And_Diversity', 0.9736863970756531)","('Employee_Health_And_Safety', 0.002358881989493966)","('Business_Model_Resilience', 0.0016479345504194498)","(['Talent Attraction & Retention'], 0.9736863970756531)","('NON-ESG', 0.002358881989493966)","('NON-ESG', 0.0016479345504194498)"
