,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental Report 2022Table of contents 1 About this report 2 Our approach 5 Performance highlights 8 Progress against targets 11 Environmental data 14 Appendix Endnotes Glossary About this report Googles 2022 Environmental Report features data, performance highlights, and progress against our targets from our 2021 fiscal year (January 1 to December 31, 2021).","('Business_Model_Resilience', 0.2896714210510254)","('Management_Of_Legal_And_Regulatory_Framework', 0.25106677412986755)","('Human_Rights_And_Community_Relations', 0.08011269569396973)","('NON-ESG', 0.2896714210510254)","('NON-ESG', 0.25106677412986755)","('NON-ESG', 0.08011269569396973)"
Line 2,It also mentions notable targets set in 2022.,"('Management_Of_Legal_And_Regulatory_Framework', 0.1756986677646637)","('Business_Model_Resilience', 0.151609405875206)","('Physical_Impacts_Of_Climate_Change', 0.11063196510076523)","('NON-ESG', 0.1756986677646637)","('NON-ESG', 0.151609405875206)","('NON-ESG', 0.11063196510076523)"
Line 3,"This report outlines how were driving positive environmental impact throughout our business in five key ways: designing efficient data centers, advancing carbon-free energy, creating sustainable workplaces, building better devices and services, and empowering users with technology.","('Product_Design_And_Lifecycle_Management', 0.486358642578125)","('Energy_Management', 0.35908037424087524)","('Access_And_Affordability', 0.015869654715061188)","('NON-ESG', 0.486358642578125)","('NON-ESG', 0.35908037424087524)","('NON-ESG', 0.015869654715061188)"
Line 4,"For more information about our sustainability strategy, see Googles Sustainability website and sustainability reports page.","('Business_Model_Resilience', 0.4559270441532135)","('Product_Design_And_Lifecycle_Management', 0.0976325273513794)","('Supply_Chain_Management', 0.06999021768569946)","('NON-ESG', 0.4559270441532135)","('NON-ESG', 0.0976325273513794)","('NON-ESG', 0.06999021768569946)"
Line 5,"For more information about our overall corporate responsibility initiatives, see Googles commitments , as well as sustainability and related information .","('Human_Rights_And_Community_Relations', 0.28463825583457947)","('Business_Model_Resilience', 0.23187106847763062)","('Management_Of_Legal_And_Regulatory_Framework', 0.10933376848697662)","('NON-ESG', 0.28463825583457947)","('NON-ESG', 0.23187106847763062)","('NON-ESG', 0.10933376848697662)"
Line 6,"For more information about our business, see the About Google and Alphabet Investor Relations websites.","('Business_Model_Resilience', 0.30906304717063904)","('Competitive_Behavior', 0.1021106168627739)","('Customer_Privacy', 0.08908844739198685)","('NON-ESG', 0.30906304717063904)","('NON-ESG', 0.1021106168627739)","('NON-ESG', 0.08908844739198685)"
Line 7,1 Google Environmental Report 2022Our approach We believe that every business has the opportunity and obligation to protect our planet.,"('Ecological_Impacts', 0.8988142013549805)","('Human_Rights_And_Community_Relations', 0.02484290674328804)","('GHG_Emissions', 0.012591708451509476)","([], 0.8988142013549805)","('NON-ESG', 0.02484290674328804)","('NON-ESG', 0.012591708451509476)"
Line 8,"Sustainability is one of our core values at Google, and we strive to build sustainability into everything we do.","('Product_Design_And_Lifecycle_Management', 0.46810442209243774)","('Business_Model_Resilience', 0.16944433748722076)","('Supply_Chain_Management', 0.04506898671388626)","('NON-ESG', 0.46810442209243774)","('NON-ESG', 0.16944433748722076)","('NON-ESG', 0.04506898671388626)"
Line 9,Weve been a leader on sustainability and climate change since Googles founding over 20 years ago.,"('Physical_Impacts_Of_Climate_Change', 0.9492986798286438)","('Business_Model_Resilience', 0.009900417178869247)","('GHG_Emissions', 0.005477059166878462)","(['Climate Strategy'], 0.9492986798286438)","('NON-ESG', 0.009900417178869247)","('NON-ESG', 0.005477059166878462)"
Line 10,These are some of our key achievements over the past two decades: 2007: We became the first major company to be carbon neutral for our operations.,"('Energy_Management', 0.2053380161523819)","('Product_Design_And_Lifecycle_Management', 0.14789032936096191)","('Business_Model_Resilience', 0.10250596702098846)","('NON-ESG', 0.2053380161523819)","('NON-ESG', 0.14789032936096191)","('NON-ESG', 0.10250596702098846)"
