,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"FC1 The Home Depot 2022 ESG Report 2022ESG Report DOING OUR PART1 The Home Depot 2022 ESG Report CONTENTS Overview 03 CEO Letter: Our Success Starts With Our Culture 05 Engaging Stakeholders & Setting Priorities 07 ESG Priority Assessment Framework 08 ESG Priority Touchpoints 09 Home Depot Goals 11 ESG Transparency 13 2021 Ratings & Recognition 15 FAQ: We All Own Sustainability 16 2021 Highlights Focus on Our People 19 Diversity, Equity & Inclusion 25 Associate Engagement 27 Learning & Development 28 Benefits 31 The Homer Fund 32 Associate Safety Operate Sustainably Protecting the Climate 34 Carbon Footprint 35 Store Operations 37 Supply Chain Sourcing Responsibly 38 Ethical Sourcing 39 Conflict Minerals 40 Sustainable Forestry Reducing Environmental Impact 42 Greener Products 44 Circularity 46 Responsible Chemistry 48 Energy-Saving Products 49 Water-Saving Products50 Gardening 51 Cleaning 53 Waste Management & Recycling 55 Sustainable Packaging Strengthen Our Communities 58 Community Partnerships 60 Supplier Diversity 62 Retool Your School 63 Team Depot 64 The Home Depot Foundation 67 U.","('Employee_Engagement_Inclusion_And_Diversity', 0.9561886787414551)","('Human_Rights_And_Community_Relations', 0.0064535620622336864)","('Business_Model_Resilience', 0.004101640544831753)","([], 0.9561886787414551)","('NON-ESG', 0.0064535620622336864)","('NON-ESG', 0.004101640544831753)"
Line 2,"FC1 The Home Depot 2022 ESG Report 2022ESG Report DOING OUR PART1 The Home Depot 2022 ESG Report CONTENTS Overview 03 CEO Letter: Our Success Starts With Our Culture 05 Engaging Stakeholders & Setting Priorities 07 ESG Priority Assessment Framework 08 ESG Priority Touchpoints 09 Home Depot Goals 11 ESG Transparency 13 2021 Ratings & Recognition 15 FAQ: We All Own Sustainability 16 2021 Highlights Focus on Our People 19 Diversity, Equity & Inclusion 25 Associate Engagement 27 Learning & Development 28 Benefits 31 The Homer Fund 32 Associate Safety Operate Sustainably Protecting the Climate 34 Carbon Footprint 35 Store Operations 37 Supply Chain Sourcing Responsibly 38 Ethical Sourcing 39 Conflict Minerals 40 Sustainable Forestry Reducing Environmental Impact 42 Greener Products 44 Circularity 46 Responsible Chemistry 48 Energy-Saving Products 49 Water-Saving Products50 Gardening 51 Cleaning 53 Waste Management & Recycling 55 Sustainable Packaging Strengthen Our Communities 58 Community Partnerships 60 Supplier Diversity 62 Retool Your School 63 Team Depot 64 The Home Depot Foundation 67 U.","('Product_Design_And_Lifecycle_Management', 0.9575426578521729)","('Supply_Chain_Management', 0.006089263129979372)","('Product_Quality_And_Safety', 0.004226999823004007)","(['Packaging', 'Sustainable Marketing & Brand Perception'], 0.9575426578521729)","('NON-ESG', 0.006089263129979372)","('NON-ESG', 0.004226999823004007)"
Line 3,"FC1 The Home Depot 2022 ESG Report 2022ESG Report DOING OUR PART1 The Home Depot 2022 ESG Report CONTENTS Overview 03 CEO Letter: Our Success Starts With Our Culture 05 Engaging Stakeholders & Setting Priorities 07 ESG Priority Assessment Framework 08 ESG Priority Touchpoints 09 Home Depot Goals 11 ESG Transparency 13 2021 Ratings & Recognition 15 FAQ: We All Own Sustainability 16 2021 Highlights Focus on Our People 19 Diversity, Equity & Inclusion 25 Associate Engagement 27 Learning & Development 28 Benefits 31 The Homer Fund 32 Associate Safety Operate Sustainably Protecting the Climate 34 Carbon Footprint 35 Store Operations 37 Supply Chain Sourcing Responsibly 38 Ethical Sourcing 39 Conflict Minerals 40 Sustainable Forestry Reducing Environmental Impact 42 Greener Products 44 Circularity 46 Responsible Chemistry 48 Energy-Saving Products 49 Water-Saving Products50 Gardening 51 Cleaning 53 Waste Management & Recycling 55 Sustainable Packaging Strengthen Our Communities 58 Community Partnerships 60 Supplier Diversity 62 Retool Your School 63 Team Depot 64 The Home Depot Foundation 67 U.","('Employee_Engagement_Inclusion_And_Diversity', 0.9638402462005615)","('Human_Rights_And_Community_Relations', 0.00445872638374567)","('Employee_Health_And_Safety', 0.0026140904519706964)","([], 0.9638402462005615)","('NON-ESG', 0.00445872638374567)","('NON-ESG', 0.0026140904519706964)"
Line 4,N.,"('Management_Of_Legal_And_Regulatory_Framework', 0.11502000689506531)","('Waste_And_Hazardous_Materials_Management', 0.10386154800653458)","('GHG_Emissions', 0.06440743058919907)","('NON-ESG', 0.11502000689506531)","('NON-ESG', 0.10386154800653458)","('NON-ESG', 0.06440743058919907)"
Line 5,"Sustainable Development Goals International Retail Operations 70 Canada 72 Mexico Our Business 75 Code of Conduct 76 Corporate Governance 78 Government Relations 80 Corporate Taxes 81 Data Security & Privacy Reporting Framework 83 Global Reporting Initiative (GRI) Standards 90 Sustainability Accounting Standards Board (SASB) Disclosure Matrix 93 Task Force on Climate Related Financial Disclosures (TCFD) Framework 95 EEO-1 ReportThis report covers The Home Depots year of environmental, social and governance (ESG) progress in Fiscal 2021.","('Management_Of_Legal_And_Regulatory_Framework', 0.7511234283447266)","('Human_Rights_And_Community_Relations', 0.042483605444431305)","('Business_Model_Resilience', 0.0356387235224247)","([], 0.7511234283447266)","('NON-ESG', 0.042483605444431305)","('NON-ESG', 0.0356387235224247)"
Line 6,"Sustainable Development Goals International Retail Operations 70 Canada 72 Mexico Our Business 75 Code of Conduct 76 Corporate Governance 78 Government Relations 80 Corporate Taxes 81 Data Security & Privacy Reporting Framework 83 Global Reporting Initiative (GRI) Standards 90 Sustainability Accounting Standards Board (SASB) Disclosure Matrix 93 Task Force on Climate Related Financial Disclosures (TCFD) Framework 95 EEO-1 ReportThis report covers The Home Depots year of environmental, social and governance (ESG) progress in Fiscal 2021.","('Business_Model_Resilience', 0.31541064381599426)","('Systemic_Risk_Management', 0.14148832857608795)","('Physical_Impacts_Of_Climate_Change', 0.11765460669994354)","('NON-ESG', 0.31541064381599426)","('NON-ESG', 0.14148832857608795)","('NON-ESG', 0.11765460669994354)"
Line 7,"Note: Unless otherwise indicated, this report does not include data for HD Supply Holdings Inc., which was acquired on Dec. 24, 2020.2 The Home Depot 2022 ESG Report > Resources & Reports > Corporate ResponsibilityRESOURCESOVERVIEW Forward-Looking Statements: All statements in this report that are not historical constitute forward-looking statements as defined in the Private Securities Litigation Reform Act of 1995.","('Management_Of_Legal_And_Regulatory_Framework', 0.7340104579925537)","('Systemic_Risk_Management', 0.05177278071641922)","('Business_Ethics', 0.04187992960214615)","([], 0.7340104579925537)","('NON-ESG', 0.05177278071641922)","('NON-ESG', 0.04187992960214615)"
Line 8,"These forward-looking statements may relate to, among other things, our goals, commitments and programs, and projections of future results, including our ability to meet our goals; the impact on our business, operations and financial results of the COVID-19 pandemic and the related recovery; our business plans, strategies, initiatives and objectives and their expected execution and impact; management of relationships with our associates, potential associates, suppliers and service providers; cost and availability of labor; costs of fuel and other energy sources; international trade disputes, natural disasters, climate change, public health issues (including pandemics and quarantines, related shut-downs and other governmental orders, and similar restrictions, as well as subsequent re-openings), cybersecurity events, military conflicts or acts of war, and other business interruptions that could disrupt operation of our facilities, our ability to operate or access communications, financial or banking systems, or supply or delivery of, or demand for, the Companys products or services; the impact of regulatory changes; the impact of acquired companies on our organization; and our assumptions, expectations and projections regarding any of the foregoing.","('Supply_Chain_Management', 0.5909414291381836)","('Business_Model_Resilience', 0.12907150387763977)","('Product_Design_And_Lifecycle_Management', 0.048704128712415695)","(['Supply Chain Management'], 0.5909414291381836)","('NON-ESG', 0.12907150387763977)","('NON-ESG', 0.048704128712415695)"
Line 9,"These forward-looking statements may relate to, among other things, our goals, commitments and programs, and projections of future results, including our ability to meet our goals; the impact on our business, operations and financial results of the COVID-19 pandemic and the related recovery; our business plans, strategies, initiatives and objectives and their expected execution and impact; management of relationships with our associates, potential associates, suppliers and service providers; cost and availability of labor; costs of fuel and other energy sources; international trade disputes, natural disasters, climate change, public health issues (including pandemics and quarantines, related shut-downs and other governmental orders, and similar restrictions, as well as subsequent re-openings), cybersecurity events, military conflicts or acts of war, and other business interruptions that could disrupt operation of our facilities, our ability to operate or access communications, financial or banking systems, or supply or delivery of, or demand for, the Companys products or services; the impact of regulatory changes; the impact of acquired companies on our organization; and our assumptions, expectations and projections regarding any of the foregoing.","('Physical_Impacts_Of_Climate_Change', 0.7971539497375488)","('Systemic_Risk_Management', 0.05761174112558365)","('Data_Security', 0.030808689072728157)","(['Climate Strategy'], 0.7971539497375488)","('NON-ESG', 0.05761174112558365)","('NON-ESG', 0.030808689072728157)"
Line 10,"These forward-looking statements may relate to, among other things, our goals, commitments and programs, and projections of future results, including our ability to meet our goals; the impact on our business, operations and financial results of the COVID-19 pandemic and the related recovery; our business plans, strategies, initiatives and objectives and their expected execution and impact; management of relationships with our associates, potential associates, suppliers and service providers; cost and availability of labor; costs of fuel and other energy sources; international trade disputes, natural disasters, climate change, public health issues (including pandemics and quarantines, related shut-downs and other governmental orders, and similar restrictions, as well as subsequent re-openings), cybersecurity events, military conflicts or acts of war, and other business interruptions that could disrupt operation of our facilities, our ability to operate or access communications, financial or banking systems, or supply or delivery of, or demand for, the Companys products or services; the impact of regulatory changes; the impact of acquired companies on our organization; and our assumptions, expectations and projections regarding any of the foregoing.","('Product_Design_And_Lifecycle_Management', 0.8978028297424316)","('Supply_Chain_Management', 0.01685558445751667)","('Product_Quality_And_Safety', 0.01201008539646864)","(['Packaging', 'Sustainable Marketing & Brand Perception'], 0.8978028297424316)","('NON-ESG', 0.01685558445751667)","('NON-ESG', 0.01201008539646864)"
