,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Corporate Responsibility Report 2021-22Our Business Responsible Inclusive Sustainable Enabling Appendix 2 intel.com/responsibility 2021-22 Corporate Responsibility ReportIntroduction T able of Contents Introduction 2 T able of Contents 2 Letter From Our CEO 3 Letter From Our CPO 4 A Year in Review 5 IRTI: Going Beyond COVID-19 6 Corporate Responsibility 7 and Our 2030 RISE Strategy Awards and Recognitions 11 Our Business 12 Company Profile 13 Our People and Culture 20 Governance, Ethics, and Public Policy 24 Stakeholder Engagement 28 Respecting Human Rights 29 Supply Chain Responsibility 32 Responsible 35 Responsible: Our Approach 36 Employee Health, Safety, and Wellness 37 Protecting Human Rights in the Supply Chain 40 Responsible Minerals Sourcing 42 Responsible Mobility 44 Revolutionizing Health 45 and Safety Through T echnologyInclusive 47 Inclusive: Our Approach 48 Inclusive Workforce 49 Social Equity 56 Building a Diverse T echnology Industry 58 Supplier Diversity and Inclusion 59 Making T echnology Fully Inclusive 61 and Expanding Digital Readiness Sustainable 64 Sustainable: Our Approach 65 Environmental Management 66 Climate and Energy 68 Product Energy Efficiency 71 Water Stewardship 72 Waste and Circular Economy Solutions 74 Sustainable Manufacturing 76 and Chemistry Initiatives Achieving Carbon Neutral Computing 77 Enabling 79 Enabling: Our Approach 80 Employees Changing the World 81 Intel Foundation: Rising to the Future 84 Collaborating for T echnology Impact 85 Appendix 87 About this Report 88 Independent Limited Assurance Statement 89 Performance Data Summary 90SASB and TCFD Framework Alignment 91 UN Sustainable Development Goals 94 Non-GAAP Financial Measures 95 Intel 2021 Water Inventory by Location and Source 96 2021 Environmental, Health, and Safety Violations 98 T op 100 Production and Service Suppliers 99 Acronym Index 100 Our Commitment to Transparency This report provides a comprehensive summary of our approach to corporate responsibility and our performance for calendar and fiscal 2021, unless otherwise stated.","('Business_Ethics', 0.2416643351316452)","('Human_Rights_And_Community_Relations', 0.17664934694766998)","('Business_Model_Resilience', 0.1349279284477234)","('NON-ESG', 0.2416643351316452)","('NON-ESG', 0.17664934694766998)","('NON-ESG', 0.1349279284477234)"
Line 2,"Corporate Responsibility Report 2021-22Our Business Responsible Inclusive Sustainable Enabling Appendix 2 intel.com/responsibility 2021-22 Corporate Responsibility ReportIntroduction T able of Contents Introduction 2 T able of Contents 2 Letter From Our CEO 3 Letter From Our CPO 4 A Year in Review 5 IRTI: Going Beyond COVID-19 6 Corporate Responsibility 7 and Our 2030 RISE Strategy Awards and Recognitions 11 Our Business 12 Company Profile 13 Our People and Culture 20 Governance, Ethics, and Public Policy 24 Stakeholder Engagement 28 Respecting Human Rights 29 Supply Chain Responsibility 32 Responsible 35 Responsible: Our Approach 36 Employee Health, Safety, and Wellness 37 Protecting Human Rights in the Supply Chain 40 Responsible Minerals Sourcing 42 Responsible Mobility 44 Revolutionizing Health 45 and Safety Through T echnologyInclusive 47 Inclusive: Our Approach 48 Inclusive Workforce 49 Social Equity 56 Building a Diverse T echnology Industry 58 Supplier Diversity and Inclusion 59 Making T echnology Fully Inclusive 61 and Expanding Digital Readiness Sustainable 64 Sustainable: Our Approach 65 Environmental Management 66 Climate and Energy 68 Product Energy Efficiency 71 Water Stewardship 72 Waste and Circular Economy Solutions 74 Sustainable Manufacturing 76 and Chemistry Initiatives Achieving Carbon Neutral Computing 77 Enabling 79 Enabling: Our Approach 80 Employees Changing the World 81 Intel Foundation: Rising to the Future 84 Collaborating for T echnology Impact 85 Appendix 87 About this Report 88 Independent Limited Assurance Statement 89 Performance Data Summary 90SASB and TCFD Framework Alignment 91 UN Sustainable Development Goals 94 Non-GAAP Financial Measures 95 Intel 2021 Water Inventory by Location and Source 96 2021 Environmental, Health, and Safety Violations 98 T op 100 Production and Service Suppliers 99 Acronym Index 100 Our Commitment to Transparency This report provides a comprehensive summary of our approach to corporate responsibility and our performance for calendar and fiscal 2021, unless otherwise stated.","('Employee_Engagement_Inclusion_And_Diversity', 0.48526135087013245)","('Employee_Health_And_Safety', 0.1406770646572113)","('Human_Rights_And_Community_Relations', 0.1105368509888649)","('NON-ESG', 0.48526135087013245)","('NON-ESG', 0.1406770646572113)","('NON-ESG', 0.1105368509888649)"
Line 3,"Corporate Responsibility Report 2021-22Our Business Responsible Inclusive Sustainable Enabling Appendix 2 intel.com/responsibility 2021-22 Corporate Responsibility ReportIntroduction T able of Contents Introduction 2 T able of Contents 2 Letter From Our CEO 3 Letter From Our CPO 4 A Year in Review 5 IRTI: Going Beyond COVID-19 6 Corporate Responsibility 7 and Our 2030 RISE Strategy Awards and Recognitions 11 Our Business 12 Company Profile 13 Our People and Culture 20 Governance, Ethics, and Public Policy 24 Stakeholder Engagement 28 Respecting Human Rights 29 Supply Chain Responsibility 32 Responsible 35 Responsible: Our Approach 36 Employee Health, Safety, and Wellness 37 Protecting Human Rights in the Supply Chain 40 Responsible Minerals Sourcing 42 Responsible Mobility 44 Revolutionizing Health 45 and Safety Through T echnologyInclusive 47 Inclusive: Our Approach 48 Inclusive Workforce 49 Social Equity 56 Building a Diverse T echnology Industry 58 Supplier Diversity and Inclusion 59 Making T echnology Fully Inclusive 61 and Expanding Digital Readiness Sustainable 64 Sustainable: Our Approach 65 Environmental Management 66 Climate and Energy 68 Product Energy Efficiency 71 Water Stewardship 72 Waste and Circular Economy Solutions 74 Sustainable Manufacturing 76 and Chemistry Initiatives Achieving Carbon Neutral Computing 77 Enabling 79 Enabling: Our Approach 80 Employees Changing the World 81 Intel Foundation: Rising to the Future 84 Collaborating for T echnology Impact 85 Appendix 87 About this Report 88 Independent Limited Assurance Statement 89 Performance Data Summary 90SASB and TCFD Framework Alignment 91 UN Sustainable Development Goals 94 Non-GAAP Financial Measures 95 Intel 2021 Water Inventory by Location and Source 96 2021 Environmental, Health, and Safety Violations 98 T op 100 Production and Service Suppliers 99 Acronym Index 100 Our Commitment to Transparency This report provides a comprehensive summary of our approach to corporate responsibility and our performance for calendar and fiscal 2021, unless otherwise stated.","('Product_Design_And_Lifecycle_Management', 0.9404139518737793)","('Energy_Management', 0.012593480758368969)","('Business_Model_Resilience', 0.004304155241698027)","(['Product Stewardship'], 0.9404139518737793)","('NON-ESG', 0.012593480758368969)","('NON-ESG', 0.004304155241698027)"
Line 4,"Corporate Responsibility Report 2021-22Our Business Responsible Inclusive Sustainable Enabling Appendix 2 intel.com/responsibility 2021-22 Corporate Responsibility ReportIntroduction T able of Contents Introduction 2 T able of Contents 2 Letter From Our CEO 3 Letter From Our CPO 4 A Year in Review 5 IRTI: Going Beyond COVID-19 6 Corporate Responsibility 7 and Our 2030 RISE Strategy Awards and Recognitions 11 Our Business 12 Company Profile 13 Our People and Culture 20 Governance, Ethics, and Public Policy 24 Stakeholder Engagement 28 Respecting Human Rights 29 Supply Chain Responsibility 32 Responsible 35 Responsible: Our Approach 36 Employee Health, Safety, and Wellness 37 Protecting Human Rights in the Supply Chain 40 Responsible Minerals Sourcing 42 Responsible Mobility 44 Revolutionizing Health 45 and Safety Through T echnologyInclusive 47 Inclusive: Our Approach 48 Inclusive Workforce 49 Social Equity 56 Building a Diverse T echnology Industry 58 Supplier Diversity and Inclusion 59 Making T echnology Fully Inclusive 61 and Expanding Digital Readiness Sustainable 64 Sustainable: Our Approach 65 Environmental Management 66 Climate and Energy 68 Product Energy Efficiency 71 Water Stewardship 72 Waste and Circular Economy Solutions 74 Sustainable Manufacturing 76 and Chemistry Initiatives Achieving Carbon Neutral Computing 77 Enabling 79 Enabling: Our Approach 80 Employees Changing the World 81 Intel Foundation: Rising to the Future 84 Collaborating for T echnology Impact 85 Appendix 87 About this Report 88 Independent Limited Assurance Statement 89 Performance Data Summary 90SASB and TCFD Framework Alignment 91 UN Sustainable Development Goals 94 Non-GAAP Financial Measures 95 Intel 2021 Water Inventory by Location and Source 96 2021 Environmental, Health, and Safety Violations 98 T op 100 Production and Service Suppliers 99 Acronym Index 100 Our Commitment to Transparency This report provides a comprehensive summary of our approach to corporate responsibility and our performance for calendar and fiscal 2021, unless otherwise stated.","('Water_And_Wastewater_Management', 0.6242357492446899)","('Supply_Chain_Management', 0.125116229057312)","('Waste_And_Hazardous_Materials_Management', 0.024859419092535973)","([], 0.6242357492446899)","('NON-ESG', 0.125116229057312)","('NON-ESG', 0.024859419092535973)"
Line 5,"Corporate Responsibility Report 2021-22Our Business Responsible Inclusive Sustainable Enabling Appendix 2 intel.com/responsibility 2021-22 Corporate Responsibility ReportIntroduction T able of Contents Introduction 2 T able of Contents 2 Letter From Our CEO 3 Letter From Our CPO 4 A Year in Review 5 IRTI: Going Beyond COVID-19 6 Corporate Responsibility 7 and Our 2030 RISE Strategy Awards and Recognitions 11 Our Business 12 Company Profile 13 Our People and Culture 20 Governance, Ethics, and Public Policy 24 Stakeholder Engagement 28 Respecting Human Rights 29 Supply Chain Responsibility 32 Responsible 35 Responsible: Our Approach 36 Employee Health, Safety, and Wellness 37 Protecting Human Rights in the Supply Chain 40 Responsible Minerals Sourcing 42 Responsible Mobility 44 Revolutionizing Health 45 and Safety Through T echnologyInclusive 47 Inclusive: Our Approach 48 Inclusive Workforce 49 Social Equity 56 Building a Diverse T echnology Industry 58 Supplier Diversity and Inclusion 59 Making T echnology Fully Inclusive 61 and Expanding Digital Readiness Sustainable 64 Sustainable: Our Approach 65 Environmental Management 66 Climate and Energy 68 Product Energy Efficiency 71 Water Stewardship 72 Waste and Circular Economy Solutions 74 Sustainable Manufacturing 76 and Chemistry Initiatives Achieving Carbon Neutral Computing 77 Enabling 79 Enabling: Our Approach 80 Employees Changing the World 81 Intel Foundation: Rising to the Future 84 Collaborating for T echnology Impact 85 Appendix 87 About this Report 88 Independent Limited Assurance Statement 89 Performance Data Summary 90SASB and TCFD Framework Alignment 91 UN Sustainable Development Goals 94 Non-GAAP Financial Measures 95 Intel 2021 Water Inventory by Location and Source 96 2021 Environmental, Health, and Safety Violations 98 T op 100 Production and Service Suppliers 99 Acronym Index 100 Our Commitment to Transparency This report provides a comprehensive summary of our approach to corporate responsibility and our performance for calendar and fiscal 2021, unless otherwise stated.","('Management_Of_Legal_And_Regulatory_Framework', 0.4406515657901764)","('Customer_Privacy', 0.11651714146137238)","('Business_Ethics', 0.053910959511995316)","('NON-ESG', 0.4406515657901764)","('NON-ESG', 0.11651714146137238)","('NON-ESG', 0.053910959511995316)"
Line 6,This report has been prepared in accordance with the Global Reporting Initiative (GRI) Standards: Comprehensive option.,"('Management_Of_Legal_And_Regulatory_Framework', 0.7743234038352966)","('Access_And_Affordability', 0.029844092205166817)","('Product_Quality_And_Safety', 0.02607719786465168)","([], 0.7743234038352966)","('NON-ESG', 0.029844092205166817)","('NON-ESG', 0.02607719786465168)"
Line 7,Our GRI Content Index is provided on our Report Builder website.,"('Management_Of_Legal_And_Regulatory_Framework', 0.6888360977172852)","('Access_And_Affordability', 0.028451109305024147)","('Human_Rights_And_Community_Relations', 0.028014330193400383)","([], 0.6888360977172852)","('NON-ESG', 0.028451109305024147)","('NON-ESG', 0.028014330193400383)"
Line 8,"We also use other recognized frameworks to inform the content of this report, including the United Nations (UN) Global Compact, UN Sustainable Development Goals, the T ask Force on Climate-Related Financial Disclosures (TCFD), and the Value Reporting Foundation .1 In 2021, we continued to advance our integrated reporting strategy to include environ - mental, social, and governance information in our 2021 Annual Report on Form 10-K and 2022 Proxy Statement , available on our Investor Relations website.","('Physical_Impacts_Of_Climate_Change', 0.7058805823326111)","('Business_Model_Resilience', 0.10160081088542938)","('GHG_Emissions', 0.036474473774433136)","(['Climate Strategy'], 0.7058805823326111)","('NON-ESG', 0.10160081088542938)","('NON-ESG', 0.036474473774433136)"
Line 9,"For additional information on Intels approach to corporate responsibility, supporting documents and data, past reports, and to customize a report with the sections of your choice, visit our Corporate Responsibility and Report Builder websites.","('Management_Of_Legal_And_Regulatory_Framework', 0.47418275475502014)","('Human_Rights_And_Community_Relations', 0.13413496315479279)","('Business_Model_Resilience', 0.06553203612565994)","('NON-ESG', 0.47418275475502014)","('NON-ESG', 0.13413496315479279)","('NON-ESG', 0.06553203612565994)"
Line 10,"1 SASB and IIRC announced the finalization of their merger in June 2021, creating a unified organization, the Value Reporting Foundation.","('Management_Of_Legal_And_Regulatory_Framework', 0.6573463082313538)","('Business_Model_Resilience', 0.06098947674036026)","('Competitive_Behavior', 0.039467379450798035)","([], 0.6573463082313538)","('NON-ESG', 0.06098947674036026)","('NON-ESG', 0.039467379450798035)"
