,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022 CLIMATE REPORT December 2022Contents Introduction 2 Message from Our Chairman & CEO 2 About This Report 3 TCFD Index 4 Company at a Glance 6 Climate Action to Date 8 Governance 10 Firmwide Climate-Related Governance 12 Management of Climate-Related Matters Across the Firm 14Strategy 16 Our Approach to Environmental Sustainability 18Scaling Green Solutions 19 Meeting Needs Responsibly 25 Minimizing Our Operational Impact 29 Accountability, Transparency and Engagement 32Metrics & Targets 54 Measuring Our Progress 56 Scaling Green Solutions 57 Meeting Needs Responsibly 58 Minimizing Our Operational Impact 63 Risk Management 36 Our Climate Risk Framework 38 Risk Identification 40 Scenario Analysis 42 Risk Management by Risk Type 45 Future Improvements 53Conclusion & Appendices 66 Looking Ahead 66 Appendices 68 Message from Our Chairman & CEOproviders need to invest to achieve net-zero emissions.","('Physical_Impacts_Of_Climate_Change', 0.9273580312728882)","('Business_Model_Resilience', 0.022403428331017494)","('GHG_Emissions', 0.006179828196763992)","(['Climate Strategy'], 0.9273580312728882)","('NON-ESG', 0.022403428331017494)","('NON-ESG', 0.006179828196763992)"
Line 2,"2022 CLIMATE REPORT December 2022Contents Introduction 2 Message from Our Chairman & CEO 2 About This Report 3 TCFD Index 4 Company at a Glance 6 Climate Action to Date 8 Governance 10 Firmwide Climate-Related Governance 12 Management of Climate-Related Matters Across the Firm 14Strategy 16 Our Approach to Environmental Sustainability 18Scaling Green Solutions 19 Meeting Needs Responsibly 25 Minimizing Our Operational Impact 29 Accountability, Transparency and Engagement 32Metrics & Targets 54 Measuring Our Progress 56 Scaling Green Solutions 57 Meeting Needs Responsibly 58 Minimizing Our Operational Impact 63 Risk Management 36 Our Climate Risk Framework 38 Risk Identification 40 Scenario Analysis 42 Risk Management by Risk Type 45 Future Improvements 53Conclusion & Appendices 66 Looking Ahead 66 Appendices 68 Message from Our Chairman & CEOproviders need to invest to achieve net-zero emissions.","('Systemic_Risk_Management', 0.3245474100112915)","('Business_Model_Resilience', 0.2900252342224121)","('Physical_Impacts_Of_Climate_Change', 0.2561907470226288)","('NON-ESG', 0.3245474100112915)","('NON-ESG', 0.2900252342224121)","('NON-ESG', 0.2561907470226288)"
Line 3,"To support clients, we established the Center for Carbon Transition, central - izing client access to financing, advisory and research solutions to help them make the low-carbon transition and thrive.","('Business_Model_Resilience', 0.27470263838768005)","('Physical_Impacts_Of_Climate_Change', 0.25507307052612305)","('Systemic_Risk_Management', 0.17286938428878784)","('NON-ESG', 0.27470263838768005)","('NON-ESG', 0.25507307052612305)","('NON-ESG', 0.17286938428878784)"
Line 4,"Second, we need to scale investment massively in clean tech- nologies.","('Business_Model_Resilience', 0.39592602849006653)","('Supply_Chain_Management', 0.10731634497642517)","('Systemic_Risk_Management', 0.07495509088039398)","('NON-ESG', 0.39592602849006653)","('NON-ESG', 0.10731634497642517)","('NON-ESG', 0.07495509088039398)"
Line 5,"As the International Energy Agency has emphasized, huge leaps in clean energy innovation are core to achieving net zero.","('Energy_Management', 0.9429469704627991)","('Product_Design_And_Lifecycle_Management', 0.009842524304986)","('Management_Of_Legal_And_Regulatory_Framework', 0.007414457853883505)","([], 0.9429469704627991)","('NON-ESG', 0.009842524304986)","('NON-ESG', 0.007414457853883505)"
Line 6,"This is because the world will rely on traditional fuels until alternatives, like clean hydrogen, are fully available.","('Energy_Management', 0.9266969561576843)","('Product_Design_And_Lifecycle_Management', 0.010131440125405788)","('Management_Of_Legal_And_Regulatory_Framework', 0.00800184067338705)","([], 0.9266969561576843)","('NON-ESG', 0.010131440125405788)","('NON-ESG', 0.00800184067338705)"
Line 7,"To accelerate progress, JPMorgan Chase set a target to finance and facilitate $2.5 trillion over ten years to advance sustainable development, including $1 trillion for climate action and other green initiatives with approximately $106 billion green activities financed in 2021.","('Physical_Impacts_Of_Climate_Change', 0.8307885527610779)","('Business_Model_Resilience', 0.03941772133111954)","('GHG_Emissions', 0.029250239953398705)","(['Climate Strategy'], 0.8307885527610779)","('NON-ESG', 0.03941772133111954)","('NON-ESG', 0.029250239953398705)"
Line 8,"Third, while businesses have important roles to play in driving the transition to a low-carbon economy, the private sector cannot do this alone.","('Systemic_Risk_Management', 0.2883014380931854)","('Business_Model_Resilience', 0.24029675126075745)","('Supply_Chain_Management', 0.0892934575676918)","('NON-ESG', 0.2883014380931854)","('NON-ESG', 0.24029675126075745)","('NON-ESG', 0.0892934575676918)"
Line 9,"Public sector leadership is needed to enact policies that spur long-term and large-scale capital deployment for low-carbon solutions that benefit the global economy, including measures like promoting investment in technology R&D and re-ductions in permitting timelines for energy infrastructure, such as wind and solar farms, transmission lines and liquefied natural gas.","('Management_Of_Legal_And_Regulatory_Framework', 0.3051873445510864)","('GHG_Emissions', 0.28393951058387756)","('Energy_Management', 0.16080313920974731)","('NON-ESG', 0.3051873445510864)","('NON-ESG', 0.28393951058387756)","('NON-ESG', 0.16080313920974731)"
Line 10,"Finally, lets set meaningful goals and identify a few tangible, cost-effective solutions to reduce emissions today.","('GHG_Emissions', 0.46529772877693176)","('Air_Quality', 0.35704493522644043)","('Energy_Management', 0.0627191960811615)","('NON-ESG', 0.46529772877693176)","('NON-ESG', 0.35704493522644043)","('NON-ESG', 0.0627191960811615)"
Line 11,This should include minimizing fugitive methane emissions and virtually eliminating wasteful flaring of natural gas.,"('GHG_Emissions', 0.9663664698600769)","('Air_Quality', 0.004313912708312273)","('Ecological_Impacts', 0.0037067208904772997)","(['Decarbonization Strategy'], 0.9663664698600769)","('NON-ESG', 0.004313912708312273)","('NON-ESG', 0.0037067208904772997)"
Line 12,"Immediately actionable opportunities like these might require more financing, not less, to prepare companies to thrive in a lower-carbon future.","('Business_Model_Resilience', 0.617801308631897)","('Systemic_Risk_Management', 0.2046508491039276)","('Supply_Chain_Management', 0.02955726347863674)","(['Human Capital Development'], 0.617801308631897)","('NON-ESG', 0.2046508491039276)","('NON-ESG', 0.02955726347863674)"
Line 13,"In 2021, JPMorgan Chase set 2030 targets to reduce the carbon intensity of our financing portfolio, starting with Oil & Gas, Electric Power, and Automotive Manufacturing and now we are establishing three new sectoral goals for Iron & Steel, Cement and Aviation.","('GHG_Emissions', 0.421831876039505)","('Management_Of_Legal_And_Regulatory_Framework', 0.10870316624641418)","('Business_Model_Resilience', 0.08154603093862534)","('NON-ESG', 0.421831876039505)","('NON-ESG', 0.10870316624641418)","('NON-ESG', 0.08154603093862534)"
Line 14,"Its worth noting that while we make our own decisions for our company, we may work with coalitions or join organizations that seek to advance progress.","('Management_Of_Legal_And_Regulatory_Framework', 0.3422255218029022)","('Human_Rights_And_Community_Relations', 0.17492488026618958)","('Competitive_Behavior', 0.11943558603525162)","('NON-ESG', 0.3422255218029022)","('NON-ESG', 0.17492488026618958)","('NON-ESG', 0.11943558603525162)"
Line 15,"Introduction At the end of the day, our climate ambitions are subject to important prerequisites and considerations, both within and outside of our control, including energy security, investment in innovation, appropriate climate policy, and our own views about orderly transition.","('Physical_Impacts_Of_Climate_Change', 0.8756487965583801)","('Business_Model_Resilience', 0.05092702433466911)","('Systemic_Risk_Management', 0.008500926196575165)","(['Climate Strategy'], 0.8756487965583801)","('NON-ESG', 0.05092702433466911)","('NON-ESG', 0.008500926196575165)"
Line 16,"It is in this context that we are pleased to present our 2022 Climate Report, which outlines the measures we are taking to respond to the climate challenge across our business.","('Physical_Impacts_Of_Climate_Change', 0.935465395450592)","('Business_Model_Resilience', 0.014860211871564388)","('GHG_Emissions', 0.008077588863670826)","(['Climate Strategy'], 0.935465395450592)","('NON-ESG', 0.014860211871564388)","('NON-ESG', 0.008077588863670826)"
Line 17,"We remain committed to addressing energy and climate challenges as part of how we do business and serve our customers, clients, shareholders, and communities each day.","('Physical_Impacts_Of_Climate_Change', 0.8907161355018616)","('Business_Model_Resilience', 0.0336957648396492)","('Supply_Chain_Management', 0.009911707602441311)","(['Climate Strategy'], 0.8907161355018616)","('NON-ESG', 0.0336957648396492)","('NON-ESG', 0.009911707602441311)"
Line 18,There is no silver bullet to meet the worlds energy and climate goals.,"('Physical_Impacts_Of_Climate_Change', 0.4595456123352051)","('GHG_Emissions', 0.1250307410955429)","('Management_Of_Legal_And_Regulatory_Framework', 0.12090007960796356)","('NON-ESG', 0.4595456123352051)","('NON-ESG', 0.1250307410955429)","('NON-ESG', 0.12090007960796356)"
Line 19,"But we can start by prioritizing emissions reductions, developing meaningful short- and long-term goals and crafting innovative policy solutions.","('GHG_Emissions', 0.49688616394996643)","('Management_Of_Legal_And_Regulatory_Framework', 0.17726312577724457)","('Air_Quality', 0.0917130708694458)","('NON-ESG', 0.49688616394996643)","('NON-ESG', 0.17726312577724457)","('NON-ESG', 0.0917130708694458)"
Line 20,The curve toward net zero can still be bent before its too late.,"('Competitive_Behavior', 0.6676819920539856)","('Systemic_Risk_Management', 0.05213386192917824)","('GHG_Emissions', 0.024910330772399902)","(['Corporate Governance'], 0.6676819920539856)","('NON-ESG', 0.05213386192917824)","('NON-ESG', 0.024910330772399902)"
Line 21,"Jamie Dimon Chairman & CEO, JPMorganChase & Co.As I said in my annual letter to shareholders last April, despite the growth in well-intended climate pledges from governments and companies, the world is well short of meeting its net-zero emissions goals by 2050.","('Physical_Impacts_Of_Climate_Change', 0.6972838640213013)","('GHG_Emissions', 0.16424961388111115)","('Air_Quality', 0.02486618049442768)","(['Climate Strategy'], 0.6972838640213013)","('NON-ESG', 0.16424961388111115)","('NON-ESG', 0.02486618049442768)"
Line 22,"At the same time, resource scarcity is leading to higher energy costs and reduced reliability, hindering national security and hurting the most vulnerable.","('Supply_Chain_Management', 0.9033911228179932)","('Systemic_Risk_Management', 0.012691427953541279)","('Product_Design_And_Lifecycle_Management', 0.010432364419102669)","([], 0.9033911228179932)","('NON-ESG', 0.012691427953541279)","('NON-ESG', 0.010432364419102669)"
Line 23,"Disruptions to the global energy system are again highlighting our urgent, global need to provide energy resources securely, reliably and affordably and, at the same time, address long-term clean energy solutions and strategies to reduce our carbon footprint.","('Energy_Management', 0.9737227559089661)","('Management_Of_Legal_And_Regulatory_Framework', 0.0028309773188084364)","('Product_Design_And_Lifecycle_Management', 0.0023583886213600636)","([], 0.9737227559089661)","('NON-ESG', 0.0028309773188084364)","('NON-ESG', 0.0023583886213600636)"
Line 24,These objectives are not mutually exclusive.,"('Competitive_Behavior', 0.6230459809303284)","('Business_Ethics', 0.05717085674405098)","('Employee_Engagement_Inclusion_And_Diversity', 0.03355245664715767)","(['Corporate Governance'], 0.6230459809303284)","('NON-ESG', 0.05717085674405098)","('NON-ESG', 0.03355245664715767)"
Line 25,We can and must do both.,"('Competitive_Behavior', 0.4010772407054901)","('Management_Of_Legal_And_Regulatory_Framework', 0.07233843952417374)","('Business_Ethics', 0.060790982097387314)","('NON-ESG', 0.4010772407054901)","('NON-ESG', 0.07233843952417374)","('NON-ESG', 0.060790982097387314)"
Line 26,"To begin, we need to find a better way forward that can bring diverse stakeholders together in pursuit of an appropriate climate approach.","('Physical_Impacts_Of_Climate_Change', 0.857681930065155)","('Business_Model_Resilience', 0.02806232124567032)","('GHG_Emissions', 0.020089764147996902)","(['Climate Strategy'], 0.857681930065155)","('NON-ESG', 0.02806232124567032)","('NON-ESG', 0.020089764147996902)"
Line 27,"Last April, I set out four ways to jump-start that process.","('Competitive_Behavior', 0.2834744155406952)","('Management_Of_Legal_And_Regulatory_Framework', 0.11745161563158035)","('Business_Model_Resilience', 0.08675438910722733)","('NON-ESG', 0.2834744155406952)","('NON-ESG', 0.11745161563158035)","('NON-ESG', 0.08675438910722733)"
Line 28,"These have as much validity today as they did over six months ago: First, we must promote energy security.","('Energy_Management', 0.8608262538909912)","('Product_Design_And_Lifecycle_Management', 0.021503780037164688)","('Physical_Impacts_Of_Climate_Change', 0.01325544435530901)","([], 0.8608262538909912)","('NON-ESG', 0.021503780037164688)","('NON-ESG', 0.01325544435530901)"
