,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,Refresh the World.,"('Product_Design_And_Lifecycle_Management', 0.20416457951068878)","('Business_Model_Resilience', 0.12739524245262146)","('Competitive_Behavior', 0.09763146936893463)","('NON-ESG', 0.20416457951068878)","('NON-ESG', 0.12739524245262146)","('NON-ESG', 0.09763146936893463)"
Line 2,"Make a Difference.2021 Business & ESG Report Executive Summary The Coca-Cola Company 2021 Business & ESG Report 2CEO Message Agriculture Portfolio Data Appendix Our Company People Packaging Frameworks Water Operations Climate Chairman & CEO Message 3 Board of Directors 5 Executive Summary 6 Our Company At a Glance 10 How We Operate 11 Financial Highlights 12 Building a Total Beverage Company 13 Accelerating Innovation Across Our Portfolio 14 Encouraging Collective Action 15 Governance & Management 16 Our Priority Environmental, Social & Governance (ESG) Issues 18 Stakeholder Engagement & Partnerships 19 Spotlight Story: Driving Change Through Public Policy 20 Water Leadership 21 Spotlight Story: Protecting Water and Building Climate Resilience in Guatemala 27 Our Total Beverage Portfolio 28 Packaging: World Without Waste 32 Climate 38 Sustainable Agriculture 42 People & Communities 46 Respecting Human Rights 47 Spotlight Story: Using Technology to Better Manage Risks and Empower Workers 49 Economic Empowerment 50 Employee Safety & Health 51 Diversity, Equity & Inclusion 52 Giving Back to Communities 56 Spotlight Story: Getting COVID-19 Vaccines to Go the Last Mile in Africa and Beyond 57 Operations Highlights 58 Asia Pacific 59 Europe, Middle East & Africa 60 Latin America 61 North America 62 Global Ventures/Bottling Investments Group 63 About This Report 64 Data Appendix 65 Financial & Portfolio Data 66 Packaging 72 Water 73 Greenhouse Gas Emissions & Waste 74 Workplace, Safety & Giving Back 76 Human Rights & Agriculture 79 Assurance Statement 80 Reporting Frameworks & Sustainable Development Goals (SDGs) 85We make brands and products that people love, while building a more sustainable future for our business and for the planet.","('Business_Model_Resilience', 0.6708117127418518)","('Employee_Engagement_Inclusion_And_Diversity', 0.04262782633304596)","('Director_Removal', 0.036638401448726654)","(['Human Capital Development', 'Innovation Management'], 0.6708117127418518)","('NON-ESG', 0.04262782633304596)","('NON-ESG', 0.036638401448726654)"
Line 3,"Make a Difference.2021 Business & ESG Report Executive Summary The Coca-Cola Company 2021 Business & ESG Report 2CEO Message Agriculture Portfolio Data Appendix Our Company People Packaging Frameworks Water Operations Climate Chairman & CEO Message 3 Board of Directors 5 Executive Summary 6 Our Company At a Glance 10 How We Operate 11 Financial Highlights 12 Building a Total Beverage Company 13 Accelerating Innovation Across Our Portfolio 14 Encouraging Collective Action 15 Governance & Management 16 Our Priority Environmental, Social & Governance (ESG) Issues 18 Stakeholder Engagement & Partnerships 19 Spotlight Story: Driving Change Through Public Policy 20 Water Leadership 21 Spotlight Story: Protecting Water and Building Climate Resilience in Guatemala 27 Our Total Beverage Portfolio 28 Packaging: World Without Waste 32 Climate 38 Sustainable Agriculture 42 People & Communities 46 Respecting Human Rights 47 Spotlight Story: Using Technology to Better Manage Risks and Empower Workers 49 Economic Empowerment 50 Employee Safety & Health 51 Diversity, Equity & Inclusion 52 Giving Back to Communities 56 Spotlight Story: Getting COVID-19 Vaccines to Go the Last Mile in Africa and Beyond 57 Operations Highlights 58 Asia Pacific 59 Europe, Middle East & Africa 60 Latin America 61 North America 62 Global Ventures/Bottling Investments Group 63 About This Report 64 Data Appendix 65 Financial & Portfolio Data 66 Packaging 72 Water 73 Greenhouse Gas Emissions & Waste 74 Workplace, Safety & Giving Back 76 Human Rights & Agriculture 79 Assurance Statement 80 Reporting Frameworks & Sustainable Development Goals (SDGs) 85We make brands and products that people love, while building a more sustainable future for our business and for the planet.","('Human_Rights_And_Community_Relations', 0.8453271389007568)","('Physical_Impacts_Of_Climate_Change', 0.028100773692131042)","('Business_Model_Resilience', 0.023915184661746025)","([], 0.8453271389007568)","('NON-ESG', 0.028100773692131042)","('NON-ESG', 0.023915184661746025)"
Line 4,"Make a Difference.2021 Business & ESG Report Executive Summary The Coca-Cola Company 2021 Business & ESG Report 2CEO Message Agriculture Portfolio Data Appendix Our Company People Packaging Frameworks Water Operations Climate Chairman & CEO Message 3 Board of Directors 5 Executive Summary 6 Our Company At a Glance 10 How We Operate 11 Financial Highlights 12 Building a Total Beverage Company 13 Accelerating Innovation Across Our Portfolio 14 Encouraging Collective Action 15 Governance & Management 16 Our Priority Environmental, Social & Governance (ESG) Issues 18 Stakeholder Engagement & Partnerships 19 Spotlight Story: Driving Change Through Public Policy 20 Water Leadership 21 Spotlight Story: Protecting Water and Building Climate Resilience in Guatemala 27 Our Total Beverage Portfolio 28 Packaging: World Without Waste 32 Climate 38 Sustainable Agriculture 42 People & Communities 46 Respecting Human Rights 47 Spotlight Story: Using Technology to Better Manage Risks and Empower Workers 49 Economic Empowerment 50 Employee Safety & Health 51 Diversity, Equity & Inclusion 52 Giving Back to Communities 56 Spotlight Story: Getting COVID-19 Vaccines to Go the Last Mile in Africa and Beyond 57 Operations Highlights 58 Asia Pacific 59 Europe, Middle East & Africa 60 Latin America 61 North America 62 Global Ventures/Bottling Investments Group 63 About This Report 64 Data Appendix 65 Financial & Portfolio Data 66 Packaging 72 Water 73 Greenhouse Gas Emissions & Waste 74 Workplace, Safety & Giving Back 76 Human Rights & Agriculture 79 Assurance Statement 80 Reporting Frameworks & Sustainable Development Goals (SDGs) 85We make brands and products that people love, while building a more sustainable future for our business and for the planet.","('Employee_Health_And_Safety', 0.5356112718582153)","('Employee_Engagement_Inclusion_And_Diversity', 0.2522977888584137)","('Human_Rights_And_Community_Relations', 0.06596903502941132)","([], 0.5356112718582153)","('NON-ESG', 0.2522977888584137)","('NON-ESG', 0.06596903502941132)"
Line 5,"Make a Difference.2021 Business & ESG Report Executive Summary The Coca-Cola Company 2021 Business & ESG Report 2CEO Message Agriculture Portfolio Data Appendix Our Company People Packaging Frameworks Water Operations Climate Chairman & CEO Message 3 Board of Directors 5 Executive Summary 6 Our Company At a Glance 10 How We Operate 11 Financial Highlights 12 Building a Total Beverage Company 13 Accelerating Innovation Across Our Portfolio 14 Encouraging Collective Action 15 Governance & Management 16 Our Priority Environmental, Social & Governance (ESG) Issues 18 Stakeholder Engagement & Partnerships 19 Spotlight Story: Driving Change Through Public Policy 20 Water Leadership 21 Spotlight Story: Protecting Water and Building Climate Resilience in Guatemala 27 Our Total Beverage Portfolio 28 Packaging: World Without Waste 32 Climate 38 Sustainable Agriculture 42 People & Communities 46 Respecting Human Rights 47 Spotlight Story: Using Technology to Better Manage Risks and Empower Workers 49 Economic Empowerment 50 Employee Safety & Health 51 Diversity, Equity & Inclusion 52 Giving Back to Communities 56 Spotlight Story: Getting COVID-19 Vaccines to Go the Last Mile in Africa and Beyond 57 Operations Highlights 58 Asia Pacific 59 Europe, Middle East & Africa 60 Latin America 61 North America 62 Global Ventures/Bottling Investments Group 63 About This Report 64 Data Appendix 65 Financial & Portfolio Data 66 Packaging 72 Water 73 Greenhouse Gas Emissions & Waste 74 Workplace, Safety & Giving Back 76 Human Rights & Agriculture 79 Assurance Statement 80 Reporting Frameworks & Sustainable Development Goals (SDGs) 85We make brands and products that people love, while building a more sustainable future for our business and for the planet.","('Product_Design_And_Lifecycle_Management', 0.9653900265693665)","('Product_Quality_And_Safety', 0.003393696853891015)","('Selling_Practices_And_Product_Labeling', 0.003271617228165269)","(['Packaging'], 0.9653900265693665)","('NON-ESG', 0.003393696853891015)","('NON-ESG', 0.003271617228165269)"
Line 6,We do all of this while staying true to our purpose: to refresh the world and make a difference.,"('Human_Rights_And_Community_Relations', 0.2263854593038559)","('Business_Model_Resilience', 0.2004384696483612)","('Employee_Engagement_Inclusion_And_Diversity', 0.1412060558795929)","('NON-ESG', 0.2263854593038559)","('NON-ESG', 0.2004384696483612)","('NON-ESG', 0.1412060558795929)"
Line 7,ContentsExecutive Summary The Coca-Cola Company 2021 Business & ESG Report 3Agriculture Portfolio Data Appendix Our Company People Packaging Frameworks Water Operations Climate CEO Message Our people worked with great dedication in 2021 to help our company emerge stronger from the pandemic and position ourselves for continued growth in 2022 and beyond.,"('Business_Model_Resilience', 0.717602014541626)","('Systemic_Risk_Management', 0.08341778814792633)","('Physical_Impacts_Of_Climate_Change', 0.04139332100749016)","(['Human Capital Development', 'Innovation Management'], 0.717602014541626)","('NON-ESG', 0.08341778814792633)","('NON-ESG', 0.04139332100749016)"
Line 8,We made important decisions about streamlining our brand portfolio; changing the way we work as an organization; and tailoring our investments to target the most promising products and priorities.,"('Product_Design_And_Lifecycle_Management', 0.9499236941337585)","('Customer_Welfare', 0.006168515887111425)","('Business_Model_Resilience', 0.006107829976826906)","(['Packaging'], 0.9499236941337585)","('NON-ESG', 0.006168515887111425)","('NON-ESG', 0.006107829976826906)"
Line 9,"Through all of the challenges, initiatives and successes of 2021, our environmental, social and governance priorities continued to be embedded in our business and the way we work.","('Human_Rights_And_Community_Relations', 0.8119382858276367)","('Management_Of_Legal_And_Regulatory_Framework', 0.031298551708459854)","('Business_Model_Resilience', 0.02478094957768917)","([], 0.8119382858276367)","('NON-ESG', 0.031298551708459854)","('NON-ESG', 0.02478094957768917)"
Line 10,"An Integrated Business Our environmental, social and governance (ESG) priorities are integrated into our strategy.","('Human_Rights_And_Community_Relations', 0.7483020424842834)","('Business_Model_Resilience', 0.04842299595475197)","('Management_Of_Legal_And_Regulatory_Framework', 0.036688245832920074)","([], 0.7483020424842834)","('NON-ESG', 0.04842299595475197)","('NON-ESG', 0.036688245832920074)"
