,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,Sustainable Development Report 2021Making our world more productive 2 Linde 2021 Sustainable Development Report 3 Linde 2021 Sustainable Development Report Forward Looking Statement This document contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995.,"('Management_Of_Legal_And_Regulatory_Framework', 0.4349291920661926)","('Human_Rights_And_Community_Relations', 0.12164515256881714)","('Ecological_Impacts', 0.09980759769678116)","('NON-ESG', 0.4349291920661926)","('NON-ESG', 0.12164515256881714)","('NON-ESG', 0.09980759769678116)"
Line 2,"These forward-looking statements are identified by terms and phrases such as: anticipate, believe, intend, estimate, expect, continue, should, could, may, plan, project, predict, will, potential, forecast, and similar expressions.","('Business_Model_Resilience', 0.6477261781692505)","('Systemic_Risk_Management', 0.06930987536907196)","('Physical_Impacts_Of_Climate_Change', 0.0671888068318367)","(['Human Capital Development', 'Innovation Management'], 0.6477261781692505)","('NON-ESG', 0.06930987536907196)","('NON-ESG', 0.0671888068318367)"
Line 3,They are based on managements reasonable expectations and assumptions as of the date the statements are made but involve risks and uncertainties.,"('Business_Ethics', 0.31486424803733826)","('Systemic_Risk_Management', 0.30375802516937256)","('Competitive_Behavior', 0.15703774988651276)","('NON-ESG', 0.31486424803733826)","('NON-ESG', 0.30375802516937256)","('NON-ESG', 0.15703774988651276)"
Line 4,"These risks and uncertainties include, without limitation: the performance of stock markets generally; developments in worldwide and national economies and other international events and circumstances, including trade conflicts and tariffs; changes in foreign currencies and in interest rates; the cost and availability of electric power, natural gas and other raw materials; the ability to achieve price increases to offset cost increases; catastrophic events including natural disasters, epidemics, pandemics such as COVID-19 and acts of war and terrorism; the ability to attract, hire, and retain qualified personnel; the impact of changes in financial accounting standards; the impact of changes in pension plan liabilities; the impact of tax, environmental, healthcare and other legislation and government regulation in jurisdictions in which the company operates; the cost and outcomes of investigations, litigation and regulatory proceedings; the impact of potential unusual or non-recurring items; continued timely development and market acceptance of new products and applications; the impact of competitive products and pricing; future financial and operating performance of major customers and industries served; the impact of information technology system failures, network disruptions and breaches in data security; and the effectiveness and speed of integrating new acquisitions into the business.","('Systemic_Risk_Management', 0.7823794484138489)","('Physical_Impacts_Of_Climate_Change', 0.0702279657125473)","('Management_Of_Legal_And_Regulatory_Framework', 0.021523376926779747)","([], 0.7823794484138489)","('NON-ESG', 0.0702279657125473)","('NON-ESG', 0.021523376926779747)"
Line 5,"These risks and uncertainties include, without limitation: the performance of stock markets generally; developments in worldwide and national economies and other international events and circumstances, including trade conflicts and tariffs; changes in foreign currencies and in interest rates; the cost and availability of electric power, natural gas and other raw materials; the ability to achieve price increases to offset cost increases; catastrophic events including natural disasters, epidemics, pandemics such as COVID-19 and acts of war and terrorism; the ability to attract, hire, and retain qualified personnel; the impact of changes in financial accounting standards; the impact of changes in pension plan liabilities; the impact of tax, environmental, healthcare and other legislation and government regulation in jurisdictions in which the company operates; the cost and outcomes of investigations, litigation and regulatory proceedings; the impact of potential unusual or non-recurring items; continued timely development and market acceptance of new products and applications; the impact of competitive products and pricing; future financial and operating performance of major customers and industries served; the impact of information technology system failures, network disruptions and breaches in data security; and the effectiveness and speed of integrating new acquisitions into the business.","('Management_Of_Legal_And_Regulatory_Framework', 0.9577656984329224)","('Business_Ethics', 0.00812495592981577)","('Systemic_Risk_Management', 0.0038362869527190924)","([], 0.9577656984329224)","('NON-ESG', 0.00812495592981577)","('NON-ESG', 0.0038362869527190924)"
Line 6,"These risks and uncertainties include, without limitation: the performance of stock markets generally; developments in worldwide and national economies and other international events and circumstances, including trade conflicts and tariffs; changes in foreign currencies and in interest rates; the cost and availability of electric power, natural gas and other raw materials; the ability to achieve price increases to offset cost increases; catastrophic events including natural disasters, epidemics, pandemics such as COVID-19 and acts of war and terrorism; the ability to attract, hire, and retain qualified personnel; the impact of changes in financial accounting standards; the impact of changes in pension plan liabilities; the impact of tax, environmental, healthcare and other legislation and government regulation in jurisdictions in which the company operates; the cost and outcomes of investigations, litigation and regulatory proceedings; the impact of potential unusual or non-recurring items; continued timely development and market acceptance of new products and applications; the impact of competitive products and pricing; future financial and operating performance of major customers and industries served; the impact of information technology system failures, network disruptions and breaches in data security; and the effectiveness and speed of integrating new acquisitions into the business.","('Data_Security', 0.6227681040763855)","('Product_Design_And_Lifecycle_Management', 0.07819702476263046)","('Competitive_Behavior', 0.03673531115055084)","([], 0.6227681040763855)","('NON-ESG', 0.07819702476263046)","('NON-ESG', 0.03673531115055084)"
Line 7,"These risks and uncertainties may cause future results or circumstances to differ materially from adjusted projections, estimates or other forward-looking statements.","('Systemic_Risk_Management', 0.8975003361701965)","('Business_Model_Resilience', 0.020448168739676476)","('Physical_Impacts_Of_Climate_Change', 0.017076818272471428)","([], 0.8975003361701965)","('NON-ESG', 0.020448168739676476)","('NON-ESG', 0.017076818272471428)"
Line 8,Linde plc assumes no obligation to update or provide revisions to any forward-looking statement in response to changing circumstances.,"('Management_Of_Legal_And_Regulatory_Framework', 0.8422356247901917)","('Systemic_Risk_Management', 0.016018575057387352)","('Business_Model_Resilience', 0.015669260174036026)","([], 0.8422356247901917)","('NON-ESG', 0.016018575057387352)","('NON-ESG', 0.015669260174036026)"
Line 9,The above listed risks and uncertainties are further described in Item 1A.,"('Systemic_Risk_Management', 0.9203552007675171)","('Competitive_Behavior', 0.01170478668063879)","('Business_Ethics', 0.009694766253232956)","([], 0.9203552007675171)","('NON-ESG', 0.01170478668063879)","('NON-ESG', 0.009694766253232956)"
Line 10,"Risk Factors in Linde plcs Form 10-K for the fiscal year ended December 31, 2021 filed with the SEC on February 28, 2022 which should be reviewed carefully.","('Systemic_Risk_Management', 0.8205084800720215)","('Business_Model_Resilience', 0.03831648826599121)","('Physical_Impacts_Of_Climate_Change', 0.01899811625480652)","([], 0.8205084800720215)","('NON-ESG', 0.03831648826599121)","('NON-ESG', 0.01899811625480652)"
