,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2020UNITED NATIONS GLOBAL COMPACT COMMUNICATION ON PROGRESS REPORT UNGC COP1To our stakeholders, Eli Lilly and Company joined the United Nations Global Compact in 2009, underscoring our commitment to the 10 principles underlying the UNGC.","('Management_Of_Legal_And_Regulatory_Framework', 0.5130234956741333)","('Human_Rights_And_Community_Relations', 0.23986437916755676)","('GHG_Emissions', 0.02599022537469864)","([], 0.5130234956741333)","('NON-ESG', 0.23986437916755676)","('NON-ESG', 0.02599022537469864)"
Line 2,"Lilly sets and measures increasingly aggressive goals related to these principles and our own Environmental, Social and Governance strategy.","('Human_Rights_And_Community_Relations', 0.7255085706710815)","('Management_Of_Legal_And_Regulatory_Framework', 0.0801834985613823)","('Business_Model_Resilience', 0.024091551080346107)","([], 0.7255085706710815)","('NON-ESG', 0.0801834985613823)","('NON-ESG', 0.024091551080346107)"
Line 3,"Through this communication, we are reaffirming our commitment to the 10 principles outlined by the UNGC.","('Human_Rights_And_Community_Relations', 0.5652900338172913)","('Management_Of_Legal_And_Regulatory_Framework', 0.17792390286922455)","('Ecological_Impacts', 0.03765689209103584)","([], 0.5652900338172913)","('NON-ESG', 0.17792390286922455)","('NON-ESG', 0.03765689209103584)"
Line 4,"In the index below, organized by the UNGCs 10 principles, we describe our actions to continually improve how we integrate the UNGC principles into our business strategy, culture and daily operations.","('Human_Rights_And_Community_Relations', 0.33359333872795105)","('Business_Model_Resilience', 0.2669079303741455)","('Management_Of_Legal_And_Regulatory_Framework', 0.0534934364259243)","('NON-ESG', 0.33359333872795105)","('NON-ESG', 0.2669079303741455)","('NON-ESG', 0.0534934364259243)"
Line 5,We also share this and additional information with other stakeholders through our ESG Report at esg.lilly.com.,"('Business_Model_Resilience', 0.24801041185855865)","('Management_Of_Legal_And_Regulatory_Framework', 0.1761837899684906)","('Systemic_Risk_Management', 0.12062400579452515)","('NON-ESG', 0.24801041185855865)","('NON-ESG', 0.1761837899684906)","('NON-ESG', 0.12062400579452515)"
Line 6,"Message from James Greffet Lilly Senior Advisor, Environmental Social and Governance June 3, 2021UNGC COP2UN Global Compact Index 1.","('Human_Rights_And_Community_Relations', 0.34483885765075684)","('Management_Of_Legal_And_Regulatory_Framework', 0.1630682796239853)","('Business_Model_Resilience', 0.1490253359079361)","('NON-ESG', 0.34483885765075684)","('NON-ESG', 0.1630682796239853)","('NON-ESG', 0.1490253359079361)"
Line 7,Statement of continued support by the Chief Executive Officer CEO Letter 2.,"('Director_Removal', 0.44396957755088806)","('Business_Model_Resilience', 0.19706174731254578)","('Management_Of_Legal_And_Regulatory_Framework', 0.042026955634355545)","('NON-ESG', 0.44396957755088806)","('NON-ESG', 0.19706174731254578)","('NON-ESG', 0.042026955634355545)"
Line 8,Description of actions: Human Rights Principle 1:Businesses should support and respect the protection of internationally proclaimed human rights; andHuman Rights Access and Affordability Patient Safety Community Engagement Principle 2:Make sure that they are not complicit in human rights abuses.,"('Human_Rights_And_Community_Relations', 0.9612571001052856)","('Access_And_Affordability', 0.0036139285657554865)","('Labor_Practices', 0.0027060722932219505)","([], 0.9612571001052856)","('NON-ESG', 0.0036139285657554865)","('NON-ESG', 0.0027060722932219505)"
Line 9,Human Rights Code of Conduct Supplier Code of Conduct Labor Principle 3:Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining;Human Rights Employee Well-Being Business Ethics Corporate Governance Principle 4:The elimination of all forms of forced and compulsory labor;Human Rights Corporate Governance Supplier Code of Conduct Principle 5:The effective abolition of child labor; andHuman Rights Corporate Governance Supplier Code of Conduct Principle 6:The elimination of discrimination in respect of employment and occupation.,"('Labor_Practices', 0.9758450388908386)","('Human_Rights_And_Community_Relations', 0.002423754893243313)","('Director_Removal', 0.001818799413740635)","([], 0.9758450388908386)","('NON-ESG', 0.002423754893243313)","('NON-ESG', 0.001818799413740635)"
Line 10,Human Rights Code of Conduct Supplier Code of Conduct Labor Principle 3:Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining;Human Rights Employee Well-Being Business Ethics Corporate Governance Principle 4:The elimination of all forms of forced and compulsory labor;Human Rights Corporate Governance Supplier Code of Conduct Principle 5:The effective abolition of child labor; andHuman Rights Corporate Governance Supplier Code of Conduct Principle 6:The elimination of discrimination in respect of employment and occupation.,"('Employee_Engagement_Inclusion_And_Diversity', 0.7990007400512695)","('Labor_Practices', 0.11738643795251846)","('Employee_Health_And_Safety', 0.008575492538511753)","(['Talent Attraction & Retention'], 0.7990007400512695)","('NON-ESG', 0.11738643795251846)","('NON-ESG', 0.008575492538511753)"
Line 11,Employee Well-Being Diversity and Inclusion Environment Principle 7:Businesses should support a precautionary approach to environmental challenges;Corporate Governance Climate Product Stewardship Supply Chain Management Waste Water CDP Climate Change Response CDP Water Security ResponseUNGC COP3Environment Principle 8:Undertake initiatives to promote greater environmental responsibility; andCorporate Governance Climate Product Stewardship Supply Chain Management Waste Water CDP Climate Change Response CDP Water Security Response Principle 9:Encourage the development and diffusion of environmentally friendly technologies.,"('Supply_Chain_Management', 0.7149237990379333)","('Business_Model_Resilience', 0.07259970903396606)","('Physical_Impacts_Of_Climate_Change', 0.06945905089378357)","([], 0.7149237990379333)","('NON-ESG', 0.07259970903396606)","('NON-ESG', 0.06945905089378357)"
Line 12,Employee Well-Being Diversity and Inclusion Environment Principle 7:Businesses should support a precautionary approach to environmental challenges;Corporate Governance Climate Product Stewardship Supply Chain Management Waste Water CDP Climate Change Response CDP Water Security ResponseUNGC COP3Environment Principle 8:Undertake initiatives to promote greater environmental responsibility; andCorporate Governance Climate Product Stewardship Supply Chain Management Waste Water CDP Climate Change Response CDP Water Security Response Principle 9:Encourage the development and diffusion of environmentally friendly technologies.,"('Product_Design_And_Lifecycle_Management', 0.8064209222793579)","('Energy_Management', 0.06007956713438034)","('Ecological_Impacts', 0.013614603318274021)","([], 0.8064209222793579)","('NON-ESG', 0.06007956713438034)","('NON-ESG', 0.013614603318274021)"
