,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1," Doing well by doing good Corporate Sustainability Report 2021 ABOUT THIS REPORT The report covers Mastercards global operations for the fiscal year ended Dec. 31, 2021, unless otherwise noted.","('Business_Model_Resilience', 0.6068536043167114)","('Systemic_Risk_Management', 0.07580289244651794)","('Director_Removal', 0.03641413152217865)","(['Human Capital Development', 'Innovation Management'], 0.6068536043167114)","('NON-ESG', 0.07580289244651794)","('NON-ESG', 0.03641413152217865)"
Line 2,"In selecting content for inclusion in our 2021 report, we used the Global Reporting Initiative (GRI)s reporting principles of materiality,* sustainability context, and stakeholder inclusiveness and completeness.","('Management_Of_Legal_And_Regulatory_Framework', 0.2348008006811142)","('Business_Model_Resilience', 0.19214138388633728)","('Human_Rights_And_Community_Relations', 0.10353915393352509)","('NON-ESG', 0.2348008006811142)","('NON-ESG', 0.19214138388633728)","('NON-ESG', 0.10353915393352509)"
Line 3,This report was prepared in accordance with the GRI Standards: Core option.,"('Management_Of_Legal_And_Regulatory_Framework', 0.6023439764976501)","('Product_Quality_And_Safety', 0.14669637382030487)","('Human_Rights_And_Community_Relations', 0.028986526653170586)","([], 0.6023439764976501)","('NON-ESG', 0.14669637382030487)","('NON-ESG', 0.028986526653170586)"
Line 4,We have also reported in accordance with our industry-specific Sustainability Accounting Standards Board (SASB) framework.,"('Management_Of_Legal_And_Regulatory_Framework', 0.4976598918437958)","('Product_Quality_And_Safety', 0.11814282089471817)","('Systemic_Risk_Management', 0.048730794340372086)","('NON-ESG', 0.4976598918437958)","('NON-ESG', 0.11814282089471817)","('NON-ESG', 0.048730794340372086)"
Line 5,* This report contains forward-looking statements pursuant to the safe harbor provisions of the U.,"('Data_Security', 0.3246597349643707)","('Management_Of_Legal_And_Regulatory_Framework', 0.13232222199440002)","('Customer_Privacy', 0.09156326949596405)","('NON-ESG', 0.3246597349643707)","('NON-ESG', 0.13232222199440002)","('NON-ESG', 0.09156326949596405)"
Line 6,S.,"('Product_Design_And_Lifecycle_Management', 0.09914591163396835)","('Waste_And_Hazardous_Materials_Management', 0.09464520215988159)","('Management_Of_Legal_And_Regulatory_Framework', 0.07568437606096268)","('NON-ESG', 0.09914591163396835)","('NON-ESG', 0.09464520215988159)","('NON-ESG', 0.07568437606096268)"
Line 7,Private Securities Litigation Reform Act of 1995.,"('Management_Of_Legal_And_Regulatory_Framework', 0.8805116415023804)","('Business_Ethics', 0.04841826856136322)","('Competitive_Behavior', 0.009013179689645767)","([], 0.8805116415023804)","('NON-ESG', 0.04841826856136322)","('NON-ESG', 0.009013179689645767)"
Line 8,All statements other than statements of historical fact could be forward-looking statements.,"('Management_Of_Legal_And_Regulatory_Framework', 0.34337177872657776)","('Business_Ethics', 0.29331517219543457)","('Competitive_Behavior', 0.07537863403558731)","('NON-ESG', 0.34337177872657776)","('NON-ESG', 0.29331517219543457)","('NON-ESG', 0.07537863403558731)"
Line 9,"When used in this report, the words believe, expect, could, may, would, will, trend, intend, and other similar words and expressions are intended to identify forward-looking statements.","('Business_Model_Resilience', 0.20837295055389404)","('Management_Of_Legal_And_Regulatory_Framework', 0.11474431306123734)","('Competitive_Behavior', 0.11025642603635788)","('NON-ESG', 0.20837295055389404)","('NON-ESG', 0.11474431306123734)","('NON-ESG', 0.11025642603635788)"
Line 10,"Examples of forward-looking statements include, but are not limited to, statements that relate to Mastercards future prospects, developments, and business strategies, as well as ESG targets, goals, and commitments outlined in this report or elsewhere.","('Business_Model_Resilience', 0.8632012605667114)","('Physical_Impacts_Of_Climate_Change', 0.024110715836286545)","('Systemic_Risk_Management', 0.012296529486775398)","(['Human Capital Development', 'Innovation Management'], 0.8632012605667114)","('NON-ESG', 0.024110715836286545)","('NON-ESG', 0.012296529486775398)"
