,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,ESG Reporting Website Archive 2020 A download of the Our Purpose & Impact section of the McDonalds corporate website.,"('Business_Model_Resilience', 0.6968312859535217)","('Systemic_Risk_Management', 0.039035897701978683)","('Physical_Impacts_Of_Climate_Change', 0.02663222886621952)","([], 0.6968312859535217)","('NON-ESG', 0.039035897701978683)","('NON-ESG', 0.02663222886621952)"
Line 2,Content covers McDonalds Corporation and its majority-owned subsidiaries worldwide operations during the fiscal year 2020 (January to December) unless otherwise stated.,"('Business_Model_Resilience', 0.24435000121593475)","('Director_Removal', 0.09607038646936417)","('Management_Of_Legal_And_Regulatory_Framework', 0.09415008127689362)","('NON-ESG', 0.24435000121593475)","('NON-ESG', 0.09607038646936417)","('NON-ESG', 0.09415008127689362)"
Line 3,"2 Contents The content of this document was archived from across the Our Purpose & Impact section of our global website in January 2022, originally published online during 2021.","('Management_Of_Legal_And_Regulatory_Framework', 0.4152078628540039)","('Business_Model_Resilience', 0.09376159310340881)","('Access_And_Affordability', 0.07002849131822586)","('NON-ESG', 0.4152078628540039)","('NON-ESG', 0.09376159310340881)","('NON-ESG', 0.07002849131822586)"
Line 4,"Unless otherwise stated, the information and data covers McDonalds Corporation and its m ajority -owned subsidiaries worldwide during fiscal year 2020 (January to December).","('Customer_Privacy', 0.7231485247612)","('Business_Model_Resilience', 0.04309858754277229)","('Data_Security', 0.037603653967380524)","([], 0.7231485247612)","('NON-ESG', 0.04309858754277229)","('NON-ESG', 0.037603653967380524)"
Line 5,"3 Our Purpose & Impact 4 Impact Strategy & ESG Reporting 8 Governance & Stakeholder Engagement 14 Food Quality & Sourcing 17 Food Safety 26 Nutrition & Marketing Practices 33 Responsible Sourcing 46 Responsible Antibiotic Use 53 Animal Health & Welfare 63 Farming Communities 69 Supply Chain Human Rights 79 Our Planet 82 Climate Action 96 Packaging & Waste 111 Sustainable Agriculture & Beef 123 Conserving Forests 141 Water Stewardship 145 Community Connection 147 Community Support & Crisis Response 153 Ronald McDonald House Charities 158 Food Waste & Donation 164 Jobs, Inclusion & Empowerment 166 Diversity, Equity & Inclusion 180 Skills & Education 188 Human Rights & Respectful Workplaces 196 People Safety 201 Performance & Reporting 3 Our Purpose & Impact What matters to you matters to us.","('Human_Rights_And_Community_Relations', 0.15670351684093475)","('Product_Design_And_Lifecycle_Management', 0.12922924757003784)","('Supply_Chain_Management', 0.12432392686605453)","('NON-ESG', 0.15670351684093475)","('NON-ESG', 0.12922924757003784)","('NON-ESG', 0.12432392686605453)"
Line 6,"3 Our Purpose & Impact 4 Impact Strategy & ESG Reporting 8 Governance & Stakeholder Engagement 14 Food Quality & Sourcing 17 Food Safety 26 Nutrition & Marketing Practices 33 Responsible Sourcing 46 Responsible Antibiotic Use 53 Animal Health & Welfare 63 Farming Communities 69 Supply Chain Human Rights 79 Our Planet 82 Climate Action 96 Packaging & Waste 111 Sustainable Agriculture & Beef 123 Conserving Forests 141 Water Stewardship 145 Community Connection 147 Community Support & Crisis Response 153 Ronald McDonald House Charities 158 Food Waste & Donation 164 Jobs, Inclusion & Empowerment 166 Diversity, Equity & Inclusion 180 Skills & Education 188 Human Rights & Respectful Workplaces 196 People Safety 201 Performance & Reporting 3 Our Purpose & Impact What matters to you matters to us.","('Employee_Engagement_Inclusion_And_Diversity', 0.9290251135826111)","('Human_Rights_And_Community_Relations', 0.02153775654733181)","('Access_And_Affordability', 0.005125487223267555)","([], 0.9290251135826111)","('NON-ESG', 0.02153775654733181)","('NON-ESG', 0.005125487223267555)"
Line 7,"Here at McDonalds, our purpose is to feed and foster communities.","('Human_Rights_And_Community_Relations', 0.5737349987030029)","('Access_And_Affordability', 0.20226094126701355)","('Employee_Engagement_Inclusion_And_Diversity', 0.0377124585211277)","(['Human Rights'], 0.5737349987030029)","('NON-ESG', 0.20226094126701355)","('NON-ESG', 0.0377124585211277)"
Line 8,"When we say, billions served, were not just talking about burgers.","('Customer_Welfare', 0.24733193218708038)","('Competitive_Behavior', 0.19811327755451202)","('Selling_Practices_And_Product_Labeling', 0.09890665113925934)","('NON-ESG', 0.24733193218708038)","('NON-ESG', 0.19811327755451202)","('NON-ESG', 0.09890665113925934)"
Line 9,"Were talking about serving our communities, customers, crew, farmers, franchisees and suppliers.","('Supply_Chain_Management', 0.43975576758384705)","('Human_Rights_And_Community_Relations', 0.24006067216396332)","('Access_And_Affordability', 0.033195171505212784)","('NON-ESG', 0.43975576758384705)","('NON-ESG', 0.24006067216396332)","('NON-ESG', 0.033195171505212784)"
Line 10,Because we believe theres a difference between being in a community and being part of o ne.,"('Human_Rights_And_Community_Relations', 0.6214312314987183)","('Employee_Engagement_Inclusion_And_Diversity', 0.16625577211380005)","('Access_And_Affordability', 0.023740621283650398)","(['Human Rights'], 0.6214312314987183)","('NON-ESG', 0.16625577211380005)","('NON-ESG', 0.023740621283650398)"
Line 11,"City lines, county lines, even state lines.","('Management_Of_Legal_And_Regulatory_Framework', 0.28153756260871887)","('Competitive_Behavior', 0.17212627828121185)","('Customer_Privacy', 0.05926859378814697)","('NON-ESG', 0.28153756260871887)","('NON-ESG', 0.17212627828121185)","('NON-ESG', 0.05926859378814697)"
Line 12,These things dont create communities.,"('Human_Rights_And_Community_Relations', 0.37966814637184143)","('Employee_Engagement_Inclusion_And_Diversity', 0.08094768971204758)","('Business_Model_Resilience', 0.07952649891376495)","('NON-ESG', 0.37966814637184143)","('NON-ESG', 0.08094768971204758)","('NON-ESG', 0.07952649891376495)"
