,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,2021 Sustainability ReportFor a Better Reality.,"('Business_Model_Resilience', 0.2982707619667053)","('Product_Design_And_Lifecycle_Management', 0.2515767514705658)","('Supply_Chain_Management', 0.06632927805185318)","('NON-ESG', 0.2982707619667053)","('NON-ESG', 0.2515767514705658)","('NON-ESG', 0.06632927805185318)"
Line 2,Photo courtesy of rsted03 Leadership Messages 09 About 20 Our Sustainability Vision 24 2021 Highlights 30 How We Operate Responsible Supply Chain Workplaces Data Centers Circularity Greenhouse Gas Emissions Energy Water Biodiversity 64 What We Create Raising Awareness Tackling Climate Misinformation Building the Metaverse72 How We Collaborate Internal Engagement External Partnerships Advancing Industry Change 83 Governance 85 Looking Ahead 86 Data Index Table of Contents 216 million people could be forced to migrate within their own countries by 2050 because of climate change.,"('GHG_Emissions', 0.4110983908176422)","('Supply_Chain_Management', 0.28471529483795166)","('Physical_Impacts_Of_Climate_Change', 0.1012866273522377)","('NON-ESG', 0.4110983908176422)","('NON-ESG', 0.28471529483795166)","('NON-ESG', 0.1012866273522377)"
Line 3,Photo courtesy of rsted03 Leadership Messages 09 About 20 Our Sustainability Vision 24 2021 Highlights 30 How We Operate Responsible Supply Chain Workplaces Data Centers Circularity Greenhouse Gas Emissions Energy Water Biodiversity 64 What We Create Raising Awareness Tackling Climate Misinformation Building the Metaverse72 How We Collaborate Internal Engagement External Partnerships Advancing Industry Change 83 Governance 85 Looking Ahead 86 Data Index Table of Contents 216 million people could be forced to migrate within their own countries by 2050 because of climate change.,"('Physical_Impacts_Of_Climate_Change', 0.9496166706085205)","('Business_Model_Resilience', 0.007874888367950916)","('GHG_Emissions', 0.00773576507344842)","(['Climate Strategy'], 0.9496166706085205)","('NON-ESG', 0.007874888367950916)","('NON-ESG', 0.00773576507344842)"
Line 4,2021 Meta Sustainability Report 2 The possibilities our technology will unlock for people only matter if we have a safe and thriving planet.,"('Product_Design_And_Lifecycle_Management', 0.3308495879173279)","('Access_And_Affordability', 0.12032079696655273)","('Human_Rights_And_Community_Relations', 0.08538372814655304)","('NON-ESG', 0.3308495879173279)","('NON-ESG', 0.12032079696655273)","('NON-ESG', 0.08538372814655304)"
Line 5,"Leadership Messages Mark ZuckerbergAbout Leadership Highlights How We Operate What We Create How We Collaborate Governance Looking Ahead Data Index Vision 2021 Meta Sustainability Report 3About Leadership Highlights How We Operate What We Create How We Collaborate Governance Looking Ahead Data Index Vision A Message from Nick Clegg & President of Global Affairs Mark Zuckerberg Founder, Chairman, and Chief Executive Officer Were optimistic about the role technology will play in helping us address the climate crisis.","('Physical_Impacts_Of_Climate_Change', 0.8677244186401367)","('Business_Model_Resilience', 0.03329239785671234)","('Systemic_Risk_Management', 0.011633208952844143)","(['Climate Strategy'], 0.8677244186401367)","('NON-ESG', 0.03329239785671234)","('NON-ESG', 0.011633208952844143)"
Line 6,"Leadership Messages Mark ZuckerbergAbout Leadership Highlights How We Operate What We Create How We Collaborate Governance Looking Ahead Data Index Vision 2021 Meta Sustainability Report 3About Leadership Highlights How We Operate What We Create How We Collaborate Governance Looking Ahead Data Index Vision A Message from Nick Clegg & President of Global Affairs Mark Zuckerberg Founder, Chairman, and Chief Executive Officer Were optimistic about the role technology will play in helping us address the climate crisis.","('Critical_Incident_Risk_Management', 0.7291922569274902)","('Physical_Impacts_Of_Climate_Change', 0.08134428411722183)","('Systemic_Risk_Management', 0.021431829780340195)","([], 0.7291922569274902)","('NON-ESG', 0.08134428411722183)","('NON-ESG', 0.021431829780340195)"
Line 7,But the task ahead is massive.,"('Systemic_Risk_Management', 0.21386809647083282)","('Business_Model_Resilience', 0.15518321096897125)","('Ecological_Impacts', 0.0776086300611496)","('NON-ESG', 0.21386809647083282)","('NON-ESG', 0.15518321096897125)","('NON-ESG', 0.0776086300611496)"
Line 8,"As both a company and a platform for social connection, we take our responsibility seriously.","('Human_Rights_And_Community_Relations', 0.9048145413398743)","('Management_Of_Legal_And_Regulatory_Framework', 0.00963478721678257)","('Business_Model_Resilience', 0.008195416070520878)","([], 0.9048145413398743)","('NON-ESG', 0.00963478721678257)","('NON-ESG', 0.008195416070520878)"
Line 9,Well continue our sustainability work across our business and productsand will share our progress through reports like this one.,"('Product_Design_And_Lifecycle_Management', 0.9523164629936218)","('Product_Quality_And_Safety', 0.008317451924085617)","('Supply_Chain_Management', 0.004044961649924517)","([], 0.9523164629936218)","('NON-ESG', 0.008317451924085617)","('NON-ESG', 0.004044961649924517)"
Line 10,"At Meta, were building technology that will help shape the next chapter of the internet and the future of social connection.","('Data_Security', 0.6608182787895203)","('Business_Model_Resilience', 0.036939412355422974)","('Customer_Privacy', 0.03222183138132095)","(['Information Security Cybersecurity & System Availability'], 0.6608182787895203)","('NON-ESG', 0.036939412355422974)","('NON-ESG', 0.03222183138132095)"
Line 11,"These long-term investments are in service of a vision for the future where everyone can be present with each other, create new opportunities, and experience new things.","('Employee_Engagement_Inclusion_And_Diversity', 0.2843787968158722)","('Business_Model_Resilience', 0.1978011429309845)","('Human_Rights_And_Community_Relations', 0.09892033785581589)","('NON-ESG', 0.2843787968158722)","('NON-ESG', 0.1978011429309845)","('NON-ESG', 0.09892033785581589)"
Line 12,We view our sustainability work with this same eye to the future.,"('Business_Model_Resilience', 0.5757501125335693)","('Product_Design_And_Lifecycle_Management', 0.1041894182562828)","('Supply_Chain_Management', 0.05963389575481415)","(['Human Capital Development', 'Innovation Management'], 0.5757501125335693)","('NON-ESG', 0.1041894182562828)","('NON-ESG', 0.05963389575481415)"
Line 13,"After all, the possibilities that our technology will unlock for people only matter if we have a safe and thriving planet.","('Access_And_Affordability', 0.21595148742198944)","('Human_Rights_And_Community_Relations', 0.09278379380702972)","('Employee_Health_And_Safety', 0.07570075988769531)","('NON-ESG', 0.21595148742198944)","('NON-ESG', 0.09278379380702972)","('NON-ESG', 0.07570075988769531)"
Line 14,We think about our work here in three areas: limiting the environmental footprint of our operations and devices; driving climate action with our products; and forming partnerships to scale our impact.,"('Product_Design_And_Lifecycle_Management', 0.7396007776260376)","('Physical_Impacts_Of_Climate_Change', 0.04897678643465042)","('Supply_Chain_Management', 0.04694119840860367)","([], 0.7396007776260376)","('NON-ESG', 0.04897678643465042)","('NON-ESG', 0.04694119840860367)"
