,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental, Social & Governance (ESG) Progress Report 2021/2022 2 Overview 3 A letter from our CEO 5 Our Company 6 Our ESG approach 7 ESG focus areas 14 Access to Health 18 Employees 21 Environmental Sustainability 23 Ethics & Values 25 References 26 GRI/SASB disclosures 27 General disclosures 52 Economic 83 Environmental 124 Social 178 Indices 178 Global Reporting Initiative (GRI) 186 Sustainability Accounting Standards Board (SASB) 189 UN Global Compact 190 UN Sustainable Development Goals (SDGs) 192 Culture of Health for Business (COH4B) 194 World Economic Forum (WEF) Stakeholder Capitalism Metrics About this report This is the 2021/2022 Environmental, Social & Governance (ESG) Progress Report of Merck & Co., Inc., Rahway, NJ, USA, which is known as MSD outside the United States and Canada.","('Human_Rights_And_Community_Relations', 0.4953790307044983)","('Business_Model_Resilience', 0.09181389212608337)","('Management_Of_Legal_And_Regulatory_Framework', 0.08661359548568726)","('NON-ESG', 0.4953790307044983)","('NON-ESG', 0.09181389212608337)","('NON-ESG', 0.08661359548568726)"
Line 2,"Environmental, Social & Governance (ESG) Progress Report 2021/2022 2 Overview 3 A letter from our CEO 5 Our Company 6 Our ESG approach 7 ESG focus areas 14 Access to Health 18 Employees 21 Environmental Sustainability 23 Ethics & Values 25 References 26 GRI/SASB disclosures 27 General disclosures 52 Economic 83 Environmental 124 Social 178 Indices 178 Global Reporting Initiative (GRI) 186 Sustainability Accounting Standards Board (SASB) 189 UN Global Compact 190 UN Sustainable Development Goals (SDGs) 192 Culture of Health for Business (COH4B) 194 World Economic Forum (WEF) Stakeholder Capitalism Metrics About this report This is the 2021/2022 Environmental, Social & Governance (ESG) Progress Report of Merck & Co., Inc., Rahway, NJ, USA, which is known as MSD outside the United States and Canada.","('Human_Rights_And_Community_Relations', 0.5537459254264832)","('Business_Model_Resilience', 0.09314090013504028)","('Management_Of_Legal_And_Regulatory_Framework', 0.06533720344305038)","([], 0.5537459254264832)","('NON-ESG', 0.09314090013504028)","('NON-ESG', 0.06533720344305038)"
Line 3,This report also serves as our Communication on Progress to the United Nations Global Compact (UNGC).,"('Management_Of_Legal_And_Regulatory_Framework', 0.6146478056907654)","('Human_Rights_And_Community_Relations', 0.15000395476818085)","('Ecological_Impacts', 0.03553258255124092)","([], 0.6146478056907654)","('NON-ESG', 0.15000395476818085)","('NON-ESG', 0.03553258255124092)"
Line 4,"All data is current as of December 31, 2021, unless otherwise noted.","('Customer_Privacy', 0.14551323652267456)","('Business_Model_Resilience', 0.12460222095251083)","('Director_Removal', 0.09580859541893005)","('NON-ESG', 0.14551323652267456)","('NON-ESG', 0.12460222095251083)","('NON-ESG', 0.09580859541893005)"
Line 5,"Information on documents filed with the Securities and Exchange Commission (SEC), such as our 2021 Form 10-K and 2022 Proxy Statement, can be found on our corporate website, which is intended only forresidents of the U.","('Management_Of_Legal_And_Regulatory_Framework', 0.8964065313339233)","('Business_Ethics', 0.018726695328950882)","('Director_Removal', 0.011311988346278667)","([], 0.8964065313339233)","('NON-ESG', 0.018726695328950882)","('NON-ESG', 0.011311988346278667)"
Line 6,S. andCanada.,"('Business_Model_Resilience', 0.09571727365255356)","('Competitive_Behavior', 0.09197843819856644)","('Water_And_Wastewater_Management', 0.09121844917535782)","('NON-ESG', 0.09571727365255356)","('NON-ESG', 0.09197843819856644)","('NON-ESG', 0.09121844917535782)"
Line 7,To align with U.,"('Product_Design_And_Lifecycle_Management', 0.1661994308233261)","('Business_Model_Resilience', 0.15775853395462036)","('Employee_Engagement_Inclusion_And_Diversity', 0.12257901579141617)","('NON-ESG', 0.1661994308233261)","('NON-ESG', 0.15775853395462036)","('NON-ESG', 0.12257901579141617)"
Line 8,"S. government reporting requirements, the ESG data for gender diversity in this report uses the terms men and women.","('Employee_Engagement_Inclusion_And_Diversity', 0.9697942733764648)","('Labor_Practices', 0.0030669185798615217)","('Employee_Health_And_Safety', 0.002265550661832094)","(['Talent Attraction & Retention'], 0.9697942733764648)","('NON-ESG', 0.0030669185798615217)","('NON-ESG', 0.002265550661832094)"
Line 9,"We recognize and embrace the gender spectrum and diversity in our employees, and have internally established voluntary Self-ID options for employees to self-report on their gender identity.","('Employee_Engagement_Inclusion_And_Diversity', 0.9740899205207825)","('Labor_Practices', 0.0022285052109509706)","('Employee_Health_And_Safety', 0.002171519910916686)","(['Talent Attraction & Retention'], 0.9740899205207825)","('NON-ESG', 0.0022285052109509706)","('NON-ESG', 0.002171519910916686)"
Line 10,The totals in this report may not equal 100 percent due to rounding or employees who have not reported their gender and/ orrace/ethnicity.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9677956700325012)","('Customer_Privacy', 0.003195413388311863)","('Employee_Health_And_Safety', 0.0025538173504173756)","(['Talent Attraction & Retention'], 0.9677956700325012)","('NON-ESG', 0.003195413388311863)","('NON-ESG', 0.0025538173504173756)"
Line 11,"Merck ESG Progress Report 2021/2022 2 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Dear Stakeholders, At Merck, were proud to use the power of leading-edge science to save and improve lives around the world.","('Human_Rights_And_Community_Relations', 0.580771267414093)","('Business_Model_Resilience', 0.08695477992296219)","('Access_And_Affordability', 0.047944895923137665)","([], 0.580771267414093)","('NON-ESG', 0.08695477992296219)","('NON-ESG', 0.047944895923137665)"
Line 12,"This is our purpose, and it anchors every decision we make.","('Human_Rights_And_Community_Relations', 0.2025512307882309)","('Director_Removal', 0.1534317135810852)","('Business_Model_Resilience', 0.08827123045921326)","('NON-ESG', 0.2025512307882309)","('NON-ESG', 0.1534317135810852)","('NON-ESG', 0.08827123045921326)"
