,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1, 2021 Environmental Sustainability Report From pledges to progress Contents Overview Foreword 4 2021 progress 6 How we work 7 Feature story: Emp loyee engagement 9 Commitments and progress 11 About this report 13 Carbon negative Our approach 16 Getting to carbon negative 20 Reducing Scope 1 and 2 e missions 21 Feature story: 100 /100/0 carbon-free energy 23 Reducing Scope 3 emissions 25 Removing carbon 30 Driving transformation 31 Enabling systems change 34 Key trends 41 Whats next?,"('GHG_Emissions', 0.25578126311302185)","('Business_Model_Resilience', 0.1819317787885666)","('Physical_Impacts_Of_Climate_Change', 0.08138948678970337)","('NON-ESG', 0.25578126311302185)","('NON-ESG', 0.1819317787885666)","('NON-ESG', 0.08138948678970337)"
Line 2,42 Resources 43 Water positive Our approach 45 Getting to water positive 48 Reducing our water footprint 48 Replenishing water 50 Improving access to water 52 Driving transformation 53 Enabling systems change 55 Key trends 58 Whats next?,"('Water_And_Wastewater_Management', 0.9763240814208984)","('Ecological_Impacts', 0.002475468209013343)","('GHG_Emissions', 0.0020264447666704655)","([], 0.9763240814208984)","('NON-ESG', 0.002475468209013343)","('NON-ESG', 0.0020264447666704655)"
Line 3,59 Resources 60 Zero waste Our approach 62 Getting to zero waste 65 Driving transformation 69 Enabling systems change 71 Key trends 74 Whats next?,"('Waste_And_Hazardous_Materials_Management', 0.9826918840408325)","('Water_And_Wastewater_Management', 0.001567015191540122)","('Product_Design_And_Lifecycle_Management', 0.0011470438912510872)","([], 0.9826918840408325)","('NON-ESG', 0.001567015191540122)","('NON-ESG', 0.0011470438912510872)"
Line 4,75 Resources 77 Ecosystems Our approach 79 Taking responsibility for our land f ootprint 81 Driving transformation 82 Enabling systems change 84 Key trends 87 Whats next?,"('Business_Model_Resilience', 0.5866720080375671)","('Ecological_Impacts', 0.11542367935180664)","('Systemic_Risk_Management', 0.0466630645096302)","(['Human Capital Development', 'Innovation Management'], 0.5866720080375671)","('NON-ESG', 0.11542367935180664)","('NON-ESG', 0.0466630645096302)"
Line 5,"88 Resources 89 Appendix Appendix A: How we report 91 Appendix B: Commitments 92 Partnerships 93 Memberships 93 Recognitions 94 EPEAT 95 Appendix C: Endnotes 96 Appendix D: Section 1: Our environmental data 97 Independent accountants revi ew report 112 Section 2: Additional env ironmental indicators 113 Appendix E: Policy 117 For the best experience, we reco mmend using the free software Adobe Reader, or iBooks if viewing on an Apple mobile device.","('Management_Of_Legal_And_Regulatory_Framework', 0.7535656094551086)","('Human_Rights_And_Community_Relations', 0.10030794143676758)","('Ecological_Impacts', 0.02050328627228737)","([], 0.7535656094551086)","('NON-ESG', 0.10030794143676758)","('NON-ESG', 0.02050328627228737)"
Line 6,Interactive functionality may be limited when viewed in a web browser.,"('Data_Security', 0.4131258428096771)","('Energy_Management', 0.08085097372531891)","('Customer_Privacy', 0.06677266955375671)","('NON-ESG', 0.4131258428096771)","('NON-ESG', 0.08085097372531891)","('NON-ESG', 0.06677266955375671)"
Line 7,This report is part of the Microsoft CSR an d sustainability reporting suite.,"('Management_Of_Legal_And_Regulatory_Framework', 0.20319196581840515)","('Business_Model_Resilience', 0.19557657837867737)","('Physical_Impacts_Of_Climate_Change', 0.06945421546697617)","('NON-ESG', 0.20319196581840515)","('NON-ESG', 0.19557657837867737)","('NON-ESG', 0.06945421546697617)"
Line 8,"Visit the Microsoft reports hub 2.5M metric tons of carbon removal contracted in FY21 and FY22 1.3M cubic meters of water replenishment projects funded in FY21 15.2K metric tons of waste diverted from landfills 24 petabytes of environmental data now available 2 Overview Contents Foreword 4 2021 progress 6 How we work 7 Feature story: Employee engagement 9 Commitments and progress 11 About this report 13 3 Foreword Microsofts sustainability commitments: two years into our ten-year journey By Brad Smith, President and Vice Chair and Dr. Lucas Joppa, Chief Environmental Officer As we look towards 2030, the world will need all the ingenuity it can muster.","('Waste_And_Hazardous_Materials_Management', 0.9742185473442078)","('Water_And_Wastewater_Management', 0.005070808809250593)","('Air_Quality', 0.001994228921830654)","([], 0.9742185473442078)","('NON-ESG', 0.005070808809250593)","('NON-ESG', 0.001994228921830654)"
Line 9,"Visit the Microsoft reports hub 2.5M metric tons of carbon removal contracted in FY21 and FY22 1.3M cubic meters of water replenishment projects funded in FY21 15.2K metric tons of waste diverted from landfills 24 petabytes of environmental data now available 2 Overview Contents Foreword 4 2021 progress 6 How we work 7 Feature story: Employee engagement 9 Commitments and progress 11 About this report 13 3 Foreword Microsofts sustainability commitments: two years into our ten-year journey By Brad Smith, President and Vice Chair and Dr. Lucas Joppa, Chief Environmental Officer As we look towards 2030, the world will need all the ingenuity it can muster.","('Business_Model_Resilience', 0.3368838429450989)","('Ecological_Impacts', 0.11077272891998291)","('Management_Of_Legal_And_Regulatory_Framework', 0.08769287914037704)","('NON-ESG', 0.3368838429450989)","('NON-ESG', 0.11077272891998291)","('NON-ESG', 0.08769287914037704)"
Line 10,"Because as significant as COVID -19 is, its not the only challenge our world faces.","('Competitive_Behavior', 0.3525838851928711)","('Business_Model_Resilience', 0.10702565312385559)","('Systemic_Risk_Management', 0.08185591548681259)","('NON-ESG', 0.3525838851928711)","('NON-ESG', 0.10702565312385559)","('NON-ESG', 0.08185591548681259)"
Line 11,"Climate change presents environmental, social, and economic crises on a whole new level.","('Physical_Impacts_Of_Climate_Change', 0.9544978141784668)","('Business_Model_Resilience', 0.007631314918398857)","('Systemic_Risk_Management', 0.004152812995016575)","(['Climate Strategy'], 0.9544978141784668)","('NON-ESG', 0.007631314918398857)","('NON-ESG', 0.004152812995016575)"
