,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT2022 2CONTENTS Vision and strategy: A letter from our chairman, president and CEO .  3 NextEra Energys blueprint to reach Real Zero .  5 About this report .  8 Confronting climate change .  9 NextEra Energys environmental, social and governance journey .  14 Our portfolio .  15 Building the worlds leading clean energy provider .  17 Florida Power & Light Company NextEra Energy Resources, LLC Environment al .  27 Social .  35 Governance .  48 Risks and opportunities .  52 2021-2022 awards and recognitions .  59 Conclusion .  60 Appendix A .  61 Sustainability Accounting Standards Board Metrics Appendix B .  66 Task Force on Climate-Related Financial Disclosures Appendix C .  67 Edison Electric Institute ESG/Sustainability Quantitative Metrics Appendix D .  70 United Nations Sustainable Development Goals Metrics Appendix E .  72 Emissions Data and Third-Party Emissions Assurance Statement Forward-looking statements .  73 Cover photo: The Wheatridge Renewable Energy Facility, which went online in Lexington, Ore., in March 2022, combines wind, solar and battery energy storage technology in one location.","('Physical_Impacts_Of_Climate_Change', 0.8203596472740173)","('Business_Model_Resilience', 0.05857984721660614)","('Systemic_Risk_Management', 0.02228628098964691)","(['Climate Strategy'], 0.8203596472740173)","('NON-ESG', 0.05857984721660614)","('NON-ESG', 0.02228628098964691)"
Line 2,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT2022 2CONTENTS Vision and strategy: A letter from our chairman, president and CEO .  3 NextEra Energys blueprint to reach Real Zero .  5 About this report .  8 Confronting climate change .  9 NextEra Energys environmental, social and governance journey .  14 Our portfolio .  15 Building the worlds leading clean energy provider .  17 Florida Power & Light Company NextEra Energy Resources, LLC Environment al .  27 Social .  35 Governance .  48 Risks and opportunities .  52 2021-2022 awards and recognitions .  59 Conclusion .  60 Appendix A .  61 Sustainability Accounting Standards Board Metrics Appendix B .  66 Task Force on Climate-Related Financial Disclosures Appendix C .  67 Edison Electric Institute ESG/Sustainability Quantitative Metrics Appendix D .  70 United Nations Sustainable Development Goals Metrics Appendix E .  72 Emissions Data and Third-Party Emissions Assurance Statement Forward-looking statements .  73 Cover photo: The Wheatridge Renewable Energy Facility, which went online in Lexington, Ore., in March 2022, combines wind, solar and battery energy storage technology in one location.","('GHG_Emissions', 0.6388751268386841)","('Air_Quality', 0.18347802758216858)","('Management_Of_Legal_And_Regulatory_Framework', 0.03277232125401497)","(['Operational Eco-Efficiency'], 0.6388751268386841)","('NON-ESG', 0.18347802758216858)","('NON-ESG', 0.03277232125401497)"
Line 3,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT2022 2CONTENTS Vision and strategy: A letter from our chairman, president and CEO .  3 NextEra Energys blueprint to reach Real Zero .  5 About this report .  8 Confronting climate change .  9 NextEra Energys environmental, social and governance journey .  14 Our portfolio .  15 Building the worlds leading clean energy provider .  17 Florida Power & Light Company NextEra Energy Resources, LLC Environment al .  27 Social .  35 Governance .  48 Risks and opportunities .  52 2021-2022 awards and recognitions .  59 Conclusion .  60 Appendix A .  61 Sustainability Accounting Standards Board Metrics Appendix B .  66 Task Force on Climate-Related Financial Disclosures Appendix C .  67 Edison Electric Institute ESG/Sustainability Quantitative Metrics Appendix D .  70 United Nations Sustainable Development Goals Metrics Appendix E .  72 Emissions Data and Third-Party Emissions Assurance Statement Forward-looking statements .  73 Cover photo: The Wheatridge Renewable Energy Facility, which went online in Lexington, Ore., in March 2022, combines wind, solar and battery energy storage technology in one location.","('Energy_Management', 0.9731167554855347)","('Management_Of_Legal_And_Regulatory_Framework', 0.0026716378051787615)","('Product_Design_And_Lifecycle_Management', 0.002263394882902503)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.9731167554855347)","('NON-ESG', 0.0026716378051787615)","('NON-ESG', 0.002263394882902503)"
Line 4,The wind component encompasses up to 300 megawatts of wind capacity produced by approximately 120 wind turbines.,"('Energy_Management', 0.8130017518997192)","('Management_Of_Legal_And_Regulatory_Framework', 0.0639103576540947)","('GHG_Emissions', 0.01891259290277958)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.8130017518997192)","('NON-ESG', 0.0639103576540947)","('NON-ESG', 0.01891259290277958)"
Line 5,"Photo left: Catch a quick glimpse of employee Jeff Elms as he appears between the solar panels during an equipment check at the Blythe and McCoy Energy Centers in Blythe, Calif.","('Energy_Management', 0.870429277420044)","('Product_Design_And_Lifecycle_Management', 0.01902593858540058)","('Management_Of_Legal_And_Regulatory_Framework', 0.014907167293131351)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.870429277420044)","('NON-ESG', 0.01902593858540058)","('NON-ESG', 0.014907167293131351)"
Line 6,"Environmental, Social and Governance Report 2022 Vision and strategy: A letter from our chairman, PRESIDENT AND CEO To all our stakeholders: It is the honor of my professional life to lead the best team in our industry at NextEra Energy.","('Human_Rights_And_Community_Relations', 0.6417593359947205)","('Management_Of_Legal_And_Regulatory_Framework', 0.07211370021104813)","('Business_Model_Resilience', 0.059889525175094604)","(['Stakeholder Engagement'], 0.6417593359947205)","('NON-ESG', 0.07211370021104813)","('NON-ESG', 0.059889525175094604)"
Line 7,Our team has a clear vision: We will help lead the decarbonization of the U.,"('Business_Model_Resilience', 0.2488093376159668)","('Management_Of_Legal_And_Regulatory_Framework', 0.2220078557729721)","('Systemic_Risk_Management', 0.15403027832508087)","('NON-ESG', 0.2488093376159668)","('NON-ESG', 0.2220078557729721)","('NON-ESG', 0.15403027832508087)"
Line 8,S. economy.,"('Systemic_Risk_Management', 0.2669188380241394)","('Business_Model_Resilience', 0.1699354648590088)","('Competitive_Behavior', 0.06986851245164871)","('NON-ESG', 0.2669188380241394)","('NON-ESG', 0.1699354648590088)","('NON-ESG', 0.06986851245164871)"
Line 9,This vision is bold even unprecedented.,"('Business_Model_Resilience', 0.21556036174297333)","('Management_Of_Legal_And_Regulatory_Framework', 0.07802505046129227)","('Competitive_Behavior', 0.06571820378303528)","('NON-ESG', 0.21556036174297333)","('NON-ESG', 0.07802505046129227)","('NON-ESG', 0.06571820378303528)"
Line 10,"Yet, its consistent with our decades-long record of performance for all our stakeholders, including our accomplishments and goals related to environmental, social and governance (ESG) that we share with you in this report.","('Human_Rights_And_Community_Relations', 0.7159930467605591)","('Business_Model_Resilience', 0.05658941715955734)","('Ecological_Impacts', 0.03663521260023117)","(['Stakeholder Engagement'], 0.7159930467605591)","('NON-ESG', 0.05658941715955734)","('NON-ESG', 0.03663521260023117)"
Line 11,"I joined this company nearly 20 years ago, and right away was given the opportunity to work on a game-changing step we took at that time to move forward to a clean energy future.","('Energy_Management', 0.5300350189208984)","('Product_Design_And_Lifecycle_Management', 0.10486006736755371)","('Business_Model_Resilience', 0.06824221462011337)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.5300350189208984)","('NON-ESG', 0.10486006736755371)","('NON-ESG', 0.06824221462011337)"
Line 12,"That transaction was the conversion of a gas turbine contract with General Electric, still one of our largest suppliers today, to a contract for wind turbines.","('Energy_Management', 0.3005216121673584)","('Management_Of_Legal_And_Regulatory_Framework', 0.18687143921852112)","('Supply_Chain_Management', 0.1557457447052002)","('NON-ESG', 0.3005216121673584)","('NON-ESG', 0.18687143921852112)","('NON-ESG', 0.1557457447052002)"
Line 13,"We made that decision because we saw something others didnt see, that renewables would soon become the low-cost generation source of choice.","('Energy_Management', 0.9191362261772156)","('Product_Design_And_Lifecycle_Management', 0.014632195234298706)","('Supply_Chain_Management', 0.010578577406704426)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.9191362261772156)","('NON-ESG', 0.014632195234298706)","('NON-ESG', 0.010578577406704426)"
Line 14,Our first-mover advantage in wind at what is now NextEra Energy Resources was soon expanded to solar.,"('Energy_Management', 0.9672020077705383)","('Management_Of_Legal_And_Regulatory_Framework', 0.006450707092881203)","('GHG_Emissions', 0.0025185449048876762)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.9672020077705383)","('NON-ESG', 0.006450707092881203)","('NON-ESG', 0.0025185449048876762)"
Line 15,"We started first with solar-thermal technology, but then photovoltaic technology came along and was a game-changer for us and for our entire economy, and our solar business began to take off.","('Energy_Management', 0.7628029584884644)","('Product_Design_And_Lifecycle_Management', 0.06660249829292297)","('Data_Security', 0.02033218927681446)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.7628029584884644)","('NON-ESG', 0.06660249829292297)","('NON-ESG', 0.02033218927681446)"
Line 16,"Over the years, NextEra Energy Resources became the largest generator of wind and solar energy in the world.","('Energy_Management', 0.9751474261283875)","('Management_Of_Legal_And_Regulatory_Framework', 0.0038420450873672962)","('Water_And_Wastewater_Management', 0.0020135012455284595)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.9751474261283875)","('NON-ESG', 0.0038420450873672962)","('NON-ESG', 0.0020135012455284595)"
Line 17,"Over this same period, Florida Power & Light Company (FPL) led its own transformation.","('Energy_Management', 0.615993320941925)","('Supply_Chain_Management', 0.05100012198090553)","('Product_Design_And_Lifecycle_Management', 0.040997229516506195)","(['Operational Eco-Efficiency', 'Electricity Generation'], 0.615993320941925)","('NON-ESG', 0.05100012198090553)","('NON-ESG', 0.040997229516506195)"
Line 18,FPL was already one of the best utilities in the nation.,"('Management_Of_Legal_And_Regulatory_Framework', 0.3069387674331665)","('Systemic_Risk_Management', 0.19825074076652527)","('Competitive_Behavior', 0.11676018685102463)","('NON-ESG', 0.3069387674331665)","('NON-ESG', 0.19825074076652527)","('NON-ESG', 0.11676018685102463)"
Line 19,"But the FPL team was not satisfied 20 years ago, and still is not satisfied today, and we have chosen to be a first mover in the utility space time and time again.","('Competitive_Behavior', 0.6805122494697571)","('Business_Model_Resilience', 0.06072833016514778)","('Systemic_Risk_Management', 0.05334913358092308)","(['Market Opportunities'], 0.6805122494697571)","('NON-ESG', 0.06072833016514778)","('NON-ESG', 0.05334913358092308)"
Line 20,FPL voluntarily reduced our reliance on foreign oil by 99% starting in 2001.,"('Management_Of_Legal_And_Regulatory_Framework', 0.5585126876831055)","('Competitive_Behavior', 0.14442229270935059)","('Systemic_Risk_Management', 0.10484561324119568)","([], 0.5585126876831055)","('NON-ESG', 0.14442229270935059)","('NON-ESG', 0.10484561324119568)"
Line 21,We were also one of the very first utilities to fully deploy smart meters across our service area and to launch a comprehensive storm hardening program to help us restore power faster after major storms and to help us improve everyday reliability.,"('Physical_Impacts_Of_Climate_Change', 0.8137206435203552)","('Critical_Incident_Risk_Management', 0.07112982124090195)","('Business_Model_Resilience', 0.021868908777832985)","(['Climate Strategy'], 0.8137206435203552)","('NON-ESG', 0.07112982124090195)","('NON-ESG', 0.021868908777832985)"
