,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental Social Governance Report 2021 Sustainability Accounting Standards Board (SASB) Report Environmental Social Governance Report 2021 Sustainability Accounting Standards Board (SASB) Report 2 At Netflix we want to entertain the world, with best-in-class stories across a wide variety of different genres, and in more than 30 languages and 190 countries.","('Management_Of_Legal_And_Regulatory_Framework', 0.6719290614128113)","('Human_Rights_And_Community_Relations', 0.04200171306729317)","('Director_Removal', 0.03831063583493233)","(['Responsibility of Content'], 0.6719290614128113)","('NON-ESG', 0.04200171306729317)","('NON-ESG', 0.03831063583493233)"
Line 2,"As weve learned over the years, great stories are universal: they can come from anywhere and be loved everywhere.","('Access_And_Affordability', 0.14973141252994537)","('Employee_Engagement_Inclusion_And_Diversity', 0.147369384765625)","('Employee_Health_And_Safety', 0.12064974755048752)","('NON-ESG', 0.14973141252994537)","('NON-ESG', 0.147369384765625)","('NON-ESG', 0.12064974755048752)"
Line 3,"Its why we invest in TV and film from all around the world, and make our titles available globally (where we have the rights) so creators can reach the broadest possible audience and our members can have access to new perspectives and voices.","('Management_Of_Legal_And_Regulatory_Framework', 0.1588655412197113)","('Access_And_Affordability', 0.12328831851482391)","('Competitive_Behavior', 0.11326177418231964)","('NON-ESG', 0.1588655412197113)","('NON-ESG', 0.12328831851482391)","('NON-ESG', 0.11326177418231964)"
Line 4,"As Netflix grows, we want to ensure that: more people get to see their lives and cultures reflected on screen; our employee base - and the creators we work with - are as diverse as the communities we seek to serve; we contribute to the local creative communities in which we operate; and we minimize our impact on the environment.","('Human_Rights_And_Community_Relations', 0.8490583300590515)","('Employee_Engagement_Inclusion_And_Diversity', 0.06205754727125168)","('Access_And_Affordability', 0.010105544701218605)","([], 0.8490583300590515)","('NON-ESG', 0.06205754727125168)","('NON-ESG', 0.010105544701218605)"
Line 5,"Below is our third report covering our environmental, social, and governance (ESG) performance.","('Human_Rights_And_Community_Relations', 0.512544572353363)","('Business_Model_Resilience', 0.1334797441959381)","('Management_Of_Legal_And_Regulatory_Framework', 0.05634754151105881)","([], 0.512544572353363)","('NON-ESG', 0.1334797441959381)","('NON-ESG', 0.05634754151105881)"
Line 6,It looks back at the previous year and gives investors as well as other stakeholders information about our broader impact in society.,"('Human_Rights_And_Community_Relations', 0.5403090119361877)","('Management_Of_Legal_And_Regulatory_Framework', 0.1926327645778656)","('Business_Model_Resilience', 0.03721265494823456)","([], 0.5403090119361877)","('NON-ESG', 0.1926327645778656)","('NON-ESG', 0.03721265494823456)"
Line 7,The report will focus on whats material to our business and our industry using the Sustainability Accounting Standards Board (SASB) framework as a benchmark.,"('Management_Of_Legal_And_Regulatory_Framework', 0.3976706862449646)","('Business_Model_Resilience', 0.1259119063615799)","('Systemic_Risk_Management', 0.08953128755092621)","('NON-ESG', 0.3976706862449646)","('NON-ESG', 0.1259119063615799)","('NON-ESG', 0.08953128755092621)"
Line 8,SASB guidelines differ depending on the industry.,"('Management_Of_Legal_And_Regulatory_Framework', 0.8105334043502808)","('Product_Quality_And_Safety', 0.028096992522478104)","('Director_Removal', 0.015488688834011555)","(['Responsibility of Content'], 0.8105334043502808)","('NON-ESG', 0.028096992522478104)","('NON-ESG', 0.015488688834011555)"
Line 9,"This report provides ESG information for the 2021 calendar year, referencing SASBs reporting framework for the Internet & Media Services and Media & Entertainment industries.","('Business_Model_Resilience', 0.44077417254447937)","('Systemic_Risk_Management', 0.13411447405815125)","('Management_Of_Legal_And_Regulatory_Framework', 0.05788382887840271)","('NON-ESG', 0.44077417254447937)","('NON-ESG', 0.13411447405815125)","('NON-ESG', 0.05788382887840271)"
Line 10,"For more information on SASB, visit www.sasb.org.","('Management_Of_Legal_And_Regulatory_Framework', 0.3482855558395386)","('Product_Design_And_Lifecycle_Management', 0.06524399667978287)","('Selling_Practices_And_Product_Labeling', 0.05036710575222969)","('NON-ESG', 0.3482855558395386)","('NON-ESG', 0.06524399667978287)","('NON-ESG', 0.05036710575222969)"
