,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"BARRIERSBREAKING FY21 NIKE, Inc.","('Competitive_Behavior', 0.30682048201560974)","('Business_Model_Resilience', 0.10133937001228333)","('Product_Design_And_Lifecycle_Management', 0.08481503278017044)","('NON-ESG', 0.30682048201560974)","('NON-ESG', 0.10133937001228333)","('NON-ESG', 0.08481503278017044)"
Line 2,"Impact Report Introduction 3 Purpose Overview 4 Letter From John 6 50/20: Looking Back On 20 Years of Reporting 8 Letter From Our Chair, CRS&G Committee 2025 Targets 11 FY21 Performance Summary People 17 Representation & Hiring 32 Pay & Benefits 38 Health & Safety 42 Inclusive Culture & Engagement 52 Education & Professional Development 54 Business Diversity & Inclusion 56 Occupational Health & Safety Foundational Expectations 61 Foundational ExpectationsContents Play 72 Active Kids 75 Inclusive Community 77 Employee Engagement 80 Community Investment Planet 84 Carbon 104 Waste 123 Water 130 Chemistry Our Approach 137 About This Report 138 Issue Prioritization 142 Governance 143 Risk Management Appendix 145 Data Tables 159 Assurance Report 161 NIKE, Inc.","('Employee_Engagement_Inclusion_And_Diversity', 0.9721808433532715)","('Human_Rights_And_Community_Relations', 0.002821226604282856)","('Employee_Health_And_Safety', 0.0024184761568903923)","([], 0.9721808433532715)","('NON-ESG', 0.002821226604282856)","('NON-ESG', 0.0024184761568903923)"
Line 3,"Impact Report Introduction 3 Purpose Overview 4 Letter From John 6 50/20: Looking Back On 20 Years of Reporting 8 Letter From Our Chair, CRS&G Committee 2025 Targets 11 FY21 Performance Summary People 17 Representation & Hiring 32 Pay & Benefits 38 Health & Safety 42 Inclusive Culture & Engagement 52 Education & Professional Development 54 Business Diversity & Inclusion 56 Occupational Health & Safety Foundational Expectations 61 Foundational ExpectationsContents Play 72 Active Kids 75 Inclusive Community 77 Employee Engagement 80 Community Investment Planet 84 Carbon 104 Waste 123 Water 130 Chemistry Our Approach 137 About This Report 138 Issue Prioritization 142 Governance 143 Risk Management Appendix 145 Data Tables 159 Assurance Report 161 NIKE, Inc.","('Human_Rights_And_Community_Relations', 0.7435193061828613)","('Management_Of_Legal_And_Regulatory_Framework', 0.04409582540392876)","('Business_Model_Resilience', 0.026201248168945312)","(['Human Rights'], 0.7435193061828613)","('NON-ESG', 0.04409582540392876)","('NON-ESG', 0.026201248168945312)"
Line 4,"Management Assertion 170 Global Reporting Initiative (GRI) Index 2 FY21 NIKE, Inc.","('Systemic_Risk_Management', 0.27232784032821655)","('Management_Of_Legal_And_Regulatory_Framework', 0.21120455861091614)","('Business_Model_Resilience', 0.1134166270494461)","('NON-ESG', 0.27232784032821655)","('NON-ESG', 0.21120455861091614)","('NON-ESG', 0.1134166270494461)"
Line 5,"Impact ReportIntroduction Appendix Our Approach 2025 TargetsPurpose Guides Us This year, NIKE celebrates its 50th anniversary and 50 years of moving the world forward through the power of sport.","('Human_Rights_And_Community_Relations', 0.14349044859409332)","('Employee_Engagement_Inclusion_And_Diversity', 0.13427197933197021)","('Business_Model_Resilience', 0.09997178614139557)","('NON-ESG', 0.14349044859409332)","('NON-ESG', 0.13427197933197021)","('NON-ESG', 0.09997178614139557)"
Line 6,Our journey started with Phil Knight and Bill Bowermans vision to build the best running shoes in the world.,"('Employee_Engagement_Inclusion_And_Diversity', 0.29348164796829224)","('Business_Model_Resilience', 0.14808063209056854)","('Product_Design_And_Lifecycle_Management', 0.10477251559495926)","('NON-ESG', 0.29348164796829224)","('NON-ESG', 0.14808063209056854)","('NON-ESG', 0.10477251559495926)"
Line 7,Our goal was simple: serve athletes.,"('Employee_Engagement_Inclusion_And_Diversity', 0.21581099927425385)","('Customer_Welfare', 0.10304588079452515)","('Human_Rights_And_Community_Relations', 0.08705437183380127)","('NON-ESG', 0.21581099927425385)","('NON-ESG', 0.10304588079452515)","('NON-ESG', 0.08705437183380127)"
Line 8,And our belief was clear: do the right thing.,"('Human_Rights_And_Community_Relations', 0.2116779386997223)","('Business_Ethics', 0.07426532357931137)","('Employee_Health_And_Safety', 0.07236285507678986)","('NON-ESG', 0.2116779386997223)","('NON-ESG', 0.07426532357931137)","('NON-ESG', 0.07236285507678986)"
Line 9,"Today, our passion for innovation still drives us.","('Product_Design_And_Lifecycle_Management', 0.37081098556518555)","('Business_Model_Resilience', 0.1829240471124649)","('Supply_Chain_Management', 0.08356145024299622)","('NON-ESG', 0.37081098556518555)","('NON-ESG', 0.1829240471124649)","('NON-ESG', 0.08356145024299622)"
Line 10,Our values continue to guide our growth.,"('Human_Rights_And_Community_Relations', 0.23644062876701355)","('Business_Model_Resilience', 0.1555921584367752)","('Employee_Engagement_Inclusion_And_Diversity', 0.14467372000217438)","('NON-ESG', 0.23644062876701355)","('NON-ESG', 0.1555921584367752)","('NON-ESG', 0.14467372000217438)"
Line 11,"And our belief in sport will never, ever change.","('Human_Rights_And_Community_Relations', 0.19711121916770935)","('Management_Of_Legal_And_Regulatory_Framework', 0.10786840319633484)","('Employee_Engagement_Inclusion_And_Diversity', 0.09325898438692093)","('NON-ESG', 0.19711121916770935)","('NON-ESG', 0.10786840319633484)","('NON-ESG', 0.09325898438692093)"
Line 12,"But now more than ever, were dreaming even bigger about the difference that NIKE can make.","('Competitive_Behavior', 0.3371583819389343)","('Product_Design_And_Lifecycle_Management', 0.11371646821498871)","('Business_Model_Resilience', 0.0681251809000969)","('NON-ESG', 0.3371583819389343)","('NON-ESG', 0.11371646821498871)","('NON-ESG', 0.0681251809000969)"
