,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022 NVIDIA CORPORATION CORPORATE RESPONSIBILITY REPORT2022 NVIDIA CORPORATE RESPONSIBILITY REPORT 101 MESSAGE FROM OUR CEO 2 02 CORPORATE RESPONSIBILITY OVERVIEW 5 03 STAKEHOLDER ENGAGEMENT 7 04 OUR PEOPLE, DIVERSITY AND INCLUSION 11 05 INNOVATION AND BUSINESS MODEL 24 06 CYBERSECURITY AND DATA PRIVACY 33 07 SUPPLY CHAIN MANAGEMENT 35 08 SOCIETAL IMPACTS OF AI 41 09 ENVIRONMENTAL INITIATIVES AND PARTNERSHIPS 46 10 CLIMATE CHANGE MANAGEMENT 50 11 REPORTING FRAMEWORKS 58 ABOUT THIS REPORT 68TABLE OF CONTENTS MESSA gE FROM Ou R CEO 2 Table Of Contents 2022 NVIDIA CORPORATE RESPONSIBILITY REPORT01 MESSA gE FROM O uR CEO Its inspiring to reflect each year on NVIDIA employees body of work to create a more sustainable company and to make a positive impact in our communities, on society, and on the planet.","('Physical_Impacts_Of_Climate_Change', 0.750748872756958)","('Supply_Chain_Management', 0.0685356855392456)","('Business_Model_Resilience', 0.06503015756607056)","(['Climate Strategy'], 0.750748872756958)","('NON-ESG', 0.0685356855392456)","('NON-ESG', 0.06503015756607056)"
Line 2,"2022 NVIDIA CORPORATION CORPORATE RESPONSIBILITY REPORT2022 NVIDIA CORPORATE RESPONSIBILITY REPORT 101 MESSAGE FROM OUR CEO 2 02 CORPORATE RESPONSIBILITY OVERVIEW 5 03 STAKEHOLDER ENGAGEMENT 7 04 OUR PEOPLE, DIVERSITY AND INCLUSION 11 05 INNOVATION AND BUSINESS MODEL 24 06 CYBERSECURITY AND DATA PRIVACY 33 07 SUPPLY CHAIN MANAGEMENT 35 08 SOCIETAL IMPACTS OF AI 41 09 ENVIRONMENTAL INITIATIVES AND PARTNERSHIPS 46 10 CLIMATE CHANGE MANAGEMENT 50 11 REPORTING FRAMEWORKS 58 ABOUT THIS REPORT 68TABLE OF CONTENTS MESSA gE FROM Ou R CEO 2 Table Of Contents 2022 NVIDIA CORPORATE RESPONSIBILITY REPORT01 MESSA gE FROM O uR CEO Its inspiring to reflect each year on NVIDIA employees body of work to create a more sustainable company and to make a positive impact in our communities, on society, and on the planet.","('Human_Rights_And_Community_Relations', 0.9017257690429688)","('Employee_Engagement_Inclusion_And_Diversity', 0.010653737001121044)","('Business_Model_Resilience', 0.01009925827383995)","(['Environmental Policy & Management Systems'], 0.9017257690429688)","('NON-ESG', 0.010653737001121044)","('NON-ESG', 0.01009925827383995)"
Line 3,"It is a core value at NVIDIA that we take on only the toughest problems with the promise of the biggest impact, and where we can make a unique contribution.","('Systemic_Risk_Management', 0.6543572545051575)","('Business_Model_Resilience', 0.09966132789850235)","('Competitive_Behavior', 0.03254741430282593)","([], 0.6543572545051575)","('NON-ESG', 0.09966132789850235)","('NON-ESG', 0.03254741430282593)"
Line 4,"In doing so, we direct the scarce talents of our people to advance computing to solve grand challenges in science, medicine, and industry.","('Employee_Engagement_Inclusion_And_Diversity', 0.21545390784740448)","('Business_Model_Resilience', 0.12345053255558014)","('Access_And_Affordability', 0.12240278720855713)","('NON-ESG', 0.21545390784740448)","('NON-ESG', 0.12345053255558014)","('NON-ESG', 0.12240278720855713)"
Line 5,"NVIDIA accelerated computing has increased computational performance and scale by a million times over traditional methods in the past decade through a combination of chips, systems, and AI algorithms.","('Competitive_Behavior', 0.5119323134422302)","('Systemic_Risk_Management', 0.10062432289123535)","('Energy_Management', 0.06851182132959366)","([], 0.5119323134422302)","('NON-ESG', 0.10062432289123535)","('NON-ESG', 0.06851182132959366)"
Line 6,This lets scientists tackle problems that were previously impossible while saving huge amounts of cost and energy.,"('Energy_Management', 0.9612407684326172)","('Management_Of_Legal_And_Regulatory_Framework', 0.005668443627655506)","('Product_Design_And_Lifecycle_Management', 0.004553117789328098)","(['Operational Eco-Efficiency'], 0.9612407684326172)","('NON-ESG', 0.005668443627655506)","('NON-ESG', 0.004553117789328098)"
Line 7,">Decoding the COVID Spike Protein A team led by u C San Diegos Rommie Amaro used the NVIDIA-powered Summit supercomputer on a record- breaking, 305-million-atom simulation of the COVID spike protein.","('Data_Security', 0.14416174590587616)","('Competitive_Behavior', 0.13209080696105957)","('Systemic_Risk_Management', 0.08835011720657349)","('NON-ESG', 0.14416174590587616)","('NON-ESG', 0.13209080696105957)","('NON-ESG', 0.08835011720657349)"
Line 8,The simulation doubled the state of the art in simulation size and remains the most comprehensive simulation of the virus performed to date.,"('Critical_Incident_Risk_Management', 0.3816709518432617)","('Energy_Management', 0.0848647877573967)","('Access_And_Affordability', 0.06238264963030815)","('NON-ESG', 0.3816709518432617)","('NON-ESG', 0.0848647877573967)","('NON-ESG', 0.06238264963030815)"
Line 9,">Speeding DNA Sequencing for Same-day Diagnoses Stanford, g oogle, u C Santa Cruz, and Oxford Nanopore Technologies used rapid DNA sequencing to identify genetic variants and cut the time to diagnosis from two weeks to eight hours.","('Employee_Engagement_Inclusion_And_Diversity', 0.22747333347797394)","('Access_And_Affordability', 0.22129826247692108)","('Employee_Health_And_Safety', 0.07994269579648972)","('NON-ESG', 0.22747333347797394)","('NON-ESG', 0.22129826247692108)","('NON-ESG', 0.07994269579648972)"
Line 10,">Predicting Extreme Weather NVIDIA researchers, with scientists at Lawrence Berkeley National Laboratory, created FourCastNet, a machine learning model that can predict the behavior of 1,000-mile-long atmospheric rivers tens of thousands of times faster than numerical simulations.","('Physical_Impacts_Of_Climate_Change', 0.3550797998905182)","('Business_Model_Resilience', 0.2929101288318634)","('Air_Quality', 0.05466705933213234)","('NON-ESG', 0.3550797998905182)","('NON-ESG', 0.2929101288318634)","('NON-ESG', 0.05466705933213234)"
