,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 ESG Summary Overview The information within this PDF is as of June 28, 2022.","('Business_Model_Resilience', 0.3091605603694916)","('Systemic_Risk_Management', 0.11118260025978088)","('Management_Of_Legal_And_Regulatory_Framework', 0.10486958920955658)","('NON-ESG', 0.3091605603694916)","('NON-ESG', 0.11118260025978088)","('NON-ESG', 0.10486958920955658)"
Line 2,"Performance metrics and targets, footnotes and additional detailed information can be found in the PepsiCo 2021 ESG Performance Metrics .","('Business_Model_Resilience', 0.45943671464920044)","('Systemic_Risk_Management', 0.2521205544471741)","('Supply_Chain_Management', 0.03353652358055115)","('NON-ESG', 0.45943671464920044)","('NON-ESG', 0.2521205544471741)","('NON-ESG', 0.03353652358055115)"
Line 3,"As a general matter, recent organizational changes (e.g., acquisitions and divestitures) are reflected in our reporting as soon as data becomes available, at which point, previously reported impacted metrics that are deemed significant are recast to consistently reflect the impact of the organizational changes.","('Business_Model_Resilience', 0.5741298198699951)","('Systemic_Risk_Management', 0.1198769360780716)","('Director_Removal', 0.06280765682458878)","(['Human Capital Development', 'Innovation Management'], 0.5741298198699951)","('NON-ESG', 0.1198769360780716)","('NON-ESG', 0.06280765682458878)"
Line 4,"Un less otherwise noted, information available with respect to our acquisitions of Hangzhou Haomusi Food Co., Ltd. (Be & Cheery), BFY Brands, Inc. (BFY), Pioneer Food Group Ltd. (Pioneer Foods), Rockstar Energy Beverages (Rockstar) and SodaStream International Ltd. (SodaStream) is included herein.","('Selling_Practices_And_Product_Labeling', 0.3410521149635315)","('Customer_Welfare', 0.27651864290237427)","('Product_Design_And_Lifecycle_Management', 0.0502438098192215)","('NON-ESG', 0.3410521149635315)","('NON-ESG', 0.27651864290237427)","('NON-ESG', 0.0502438098192215)"
Line 5,"Ta rgets apply to PepsiCos operations as well as our value chain (e.g., franchise bottlers, joint ventures where PepsiCo has operational control, co-manufacturers, etc.)","('Competitive_Behavior', 0.6296041011810303)","('Customer_Welfare', 0.10650232434272766)","('Supply_Chain_Management', 0.029873069375753403)","([], 0.6296041011810303)","('NON-ESG', 0.10650232434272766)","('NON-ESG', 0.029873069375753403)"
Line 6,unless otherwise noted.,"('Management_Of_Legal_And_Regulatory_Framework', 0.16942618787288666)","('Customer_Privacy', 0.08567013591527939)","('Director_Removal', 0.08215155452489853)","('NON-ESG', 0.16942618787288666)","('NON-ESG', 0.08567013591527939)","('NON-ESG', 0.08215155452489853)"
Line 7,What does it mean to be a truly sustainable company?,"('Product_Design_And_Lifecycle_Management', 0.7930747866630554)","('Business_Model_Resilience', 0.046495236456394196)","('Ecological_Impacts', 0.017423177137970924)","(['Packaging'], 0.7930747866630554)","('NON-ESG', 0.046495236456394196)","('NON-ESG', 0.017423177137970924)"
Line 8,"At PepsiCo, we recognize that the futures of our company, communities, and planet are all inextricably linked.","('Human_Rights_And_Community_Relations', 0.7063711881637573)","('Employee_Engagement_Inclusion_And_Diversity', 0.041140422224998474)","('Business_Model_Resilience', 0.03312479332089424)","([], 0.7063711881637573)","('NON-ESG', 0.041140422224998474)","('NON-ESG', 0.03312479332089424)"
Line 9,"That reality has been driven home again and again in recent years, first by the COVID-19 pandemic, then the deadly conflict in Ukraine.","('Physical_Impacts_Of_Climate_Change', 0.3792567253112793)","('Critical_Incident_Risk_Management', 0.23894742131233215)","('Air_Quality', 0.07830400764942169)","('NON-ESG', 0.3792567253112793)","('NON-ESG', 0.23894742131233215)","('NON-ESG', 0.07830400764942169)"
Line 10,"Through it all, climate change has continued to increase its impact on our fragile ecosystems, leading to extreme weather, crop failures, and changes in the range and abundance of certain plants and animals.","('Physical_Impacts_Of_Climate_Change', 0.8442518711090088)","('Ecological_Impacts', 0.036182694137096405)","('GHG_Emissions', 0.03145943209528923)","(['Climate Strategy'], 0.8442518711090088)","('NON-ESG', 0.036182694137096405)","('NON-ESG', 0.03145943209528923)"
