,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental, Social & Governance ReportPfizer 2022Pfizer 2022 ESG Report2 In This Report Introduction A Letter from our Chairman & CEO A Letter from Our Lead Independent Director 2022 Progress and Highlights Our Approach to ESG Priority ESG Issues Impact Stories Tackling the Health Equity Gap Together Keeping Patients at the Center of Everything We Do Environment Climate Change Sustainable Medicines Social Innovation and Global Health Human Capital Governance Ethics, Transparency, and Quality Accountability Performance Environment Social Governance Appendix GRI Index SASB Index TCFD About This Report Independent Accountants Report3 4 6 7 8 10 15 16 18 21 22 24 26 27 33 37 38 46 49 50 52 58 61 62 71 74 81 82This report shares an overview of our Environmental, Social, and Governance (ESG) vision, achievements, and progress in the year from January 1, 2022 to December 31, 2022, including data on 32 key performance indicators (KPIs), as well as our path toward a sustainable life sciences future.","('Business_Ethics', 0.9042805433273315)","('Systemic_Risk_Management', 0.02135128155350685)","('Management_Of_Legal_And_Regulatory_Framework', 0.014818795956671238)","(['Business Ethics'], 0.9042805433273315)","('NON-ESG', 0.02135128155350685)","('NON-ESG', 0.014818795956671238)"
Line 2,"Environmental, Social & Governance ReportPfizer 2022Pfizer 2022 ESG Report2 In This Report Introduction A Letter from our Chairman & CEO A Letter from Our Lead Independent Director 2022 Progress and Highlights Our Approach to ESG Priority ESG Issues Impact Stories Tackling the Health Equity Gap Together Keeping Patients at the Center of Everything We Do Environment Climate Change Sustainable Medicines Social Innovation and Global Health Human Capital Governance Ethics, Transparency, and Quality Accountability Performance Environment Social Governance Appendix GRI Index SASB Index TCFD About This Report Independent Accountants Report3 4 6 7 8 10 15 16 18 21 22 24 26 27 33 37 38 46 49 50 52 58 61 62 71 74 81 82This report shares an overview of our Environmental, Social, and Governance (ESG) vision, achievements, and progress in the year from January 1, 2022 to December 31, 2022, including data on 32 key performance indicators (KPIs), as well as our path toward a sustainable life sciences future.","('Business_Model_Resilience', 0.41835176944732666)","('Human_Rights_And_Community_Relations', 0.21515290439128876)","('Ecological_Impacts', 0.04802027344703674)","('NON-ESG', 0.41835176944732666)","('NON-ESG', 0.21515290439128876)","('NON-ESG', 0.04802027344703674)"
Line 3,"For more information, please see About this Report on page 81.","('Management_Of_Legal_And_Regulatory_Framework', 0.39978671073913574)","('Access_And_Affordability', 0.08261887729167938)","('GHG_Emissions', 0.056495971977710724)","('NON-ESG', 0.39978671073913574)","('NON-ESG', 0.08261887729167938)","('NON-ESG', 0.056495971977710724)"
Line 4,"Where to find more informationWhat this report covers 2022 Annual Documents 2022 Annual Review 2022 Annual Report on Form 10-K 2023 Proxy StatementThis report provides a comprehensive overview of Pfizers commitment to our priority ESG goals toward contributing to long term value creation and a sustainable, responsible, and patient centric business model.","('Business_Model_Resilience', 0.8179495930671692)","('Product_Design_And_Lifecycle_Management', 0.023462118580937386)","('Human_Rights_And_Community_Relations', 0.018979214131832123)","(['Human Capital Development', 'Innovation Management'], 0.8179495930671692)","('NON-ESG', 0.023462118580937386)","('NON-ESG', 0.018979214131832123)"
Line 5,"Our focus is rooted in our purpose to deliver Breakthroughs that change patients lives through ethical decision-making and our core valuesCourage, Excellence, Equity, and Joy.","('Human_Rights_And_Community_Relations', 0.2291639745235443)","('Business_Ethics', 0.17775486409664154)","('Business_Model_Resilience', 0.13248416781425476)","('NON-ESG', 0.2291639745235443)","('NON-ESG', 0.17775486409664154)","('NON-ESG', 0.13248416781425476)"
Line 6,"Introduction Environment Introduction Impact Stories Social Governance Performance AppendixPfizer 2022 ESG Report4 Letter from our Chairman & CEO Stepping Up to Meet the Demands of a Changing World At Pfizer, our purposeBreakthroughs that change patients livesdrives us to be a force for good in the world.","('Business_Model_Resilience', 0.3830749988555908)","('Human_Rights_And_Community_Relations', 0.207741379737854)","('Systemic_Risk_Management', 0.06649517267942429)","('NON-ESG', 0.3830749988555908)","('NON-ESG', 0.207741379737854)","('NON-ESG', 0.06649517267942429)"
Line 7,"We believe that scientific innovation can help people live longer, healthier lives, and we are proud to continue to advance our scientific pipeline and strengthen our research and development in support of this goal.","('Access_And_Affordability', 0.3112301230430603)","('Employee_Health_And_Safety', 0.17217391729354858)","('Product_Design_And_Lifecycle_Management', 0.0711052268743515)","('NON-ESG', 0.3112301230430603)","('NON-ESG', 0.17217391729354858)","('NON-ESG', 0.0711052268743515)"
Line 8,"Specifically, to help ensure science will win against ongoing and future health threats, we invested approximately $11.4 billion in internal research and development programs in 2022.","('Employee_Health_And_Safety', 0.7517263293266296)","('Critical_Incident_Risk_Management', 0.06416597217321396)","('Access_And_Affordability', 0.030560720711946487)","(['Health Outcome Contribution'], 0.7517263293266296)","('NON-ESG', 0.06416597217321396)","('NON-ESG', 0.030560720711946487)"
Line 9,"While many people know about what Pfizer does, fewer know how we go about this work in a way that fulfills our purpose, builds trust, and takes accountability for the impact we make on society.","('Human_Rights_And_Community_Relations', 0.2395247220993042)","('Business_Model_Resilience', 0.14793050289154053)","('Business_Ethics', 0.09538303315639496)","('NON-ESG', 0.2395247220993042)","('NON-ESG', 0.14793050289154053)","('NON-ESG', 0.09538303315639496)"
Line 10,"We take our work seriously, as the impact is felt by not only the more than 1.3 billion patients treated with our medicines and vaccines in 20221, but also the communities in which we, and our stakeholders, live and work.","('Access_And_Affordability', 0.6406481862068176)","('Human_Rights_And_Community_Relations', 0.061585668474435806)","('Selling_Practices_And_Product_Labeling', 0.058981604874134064)","(['Access to Healthcare'], 0.6406481862068176)","('NON-ESG', 0.061585668474435806)","('NON-ESG', 0.058981604874134064)"
Line 11,"2022like the two years preceding itwas punctuated by a growing number of daunting global challengesfrom COVID-19, which remains a threat to global health, to political and economic instability, to the armed conflict in Ukraine, to increased attacks on marginalized groups that have made it harder for people to live safe, healthy, and productive lives.","('Human_Rights_And_Community_Relations', 0.8593618273735046)","('Access_And_Affordability', 0.04311532899737358)","('Employee_Health_And_Safety', 0.01428387500345707)","([], 0.8593618273735046)","('NON-ESG', 0.04311532899737358)","('NON-ESG', 0.01428387500345707)"
Line 12,"At the same time, continued climate change has led to observable effectsfr om floods and heat waves to droughts and dwindling ice capsand may be linked to not-so-obvious effects, such as potential increased health risks from air pollution, extreme weather events, and pressures on mental health.","('Physical_Impacts_Of_Climate_Change', 0.9390074610710144)","('Business_Model_Resilience', 0.012398267164826393)","('Air_Quality', 0.0077694738283753395)","([], 0.9390074610710144)","('NON-ESG', 0.012398267164826393)","('NON-ESG', 0.0077694738283753395)"
Line 13,"Global action and collaboration are needed to address these issues, and as a private-sector leader, Pfizer is committed to responding.","('Human_Rights_And_Community_Relations', 0.20805035531520844)","('Systemic_Risk_Management', 0.14300444722175598)","('Business_Model_Resilience', 0.09490948170423508)","('NON-ESG', 0.20805035531520844)","('NON-ESG', 0.14300444722175598)","('NON-ESG', 0.09490948170423508)"
Line 14,"At Pfizer, our commitment is anchored to our six ESG priorities: product innovation; equitable access and pricing; product quality and safety; diversity, equity, and inclusion; climate change; and business ethics.","('Employee_Engagement_Inclusion_And_Diversity', 0.8861863613128662)","('Product_Quality_And_Safety', 0.016277533024549484)","('Access_And_Affordability', 0.012033441103994846)","(['Talent Attraction & Retention'], 0.8861863613128662)","('NON-ESG', 0.016277533024549484)","('NON-ESG', 0.012033441103994846)"
Line 15,"Our progress in these areas is detailed in this report, and we look forward to continuing to engage with colleagues and other stakeholders to hear how we can continue to enhance our impact, both within and outside of Pfizer .","('Business_Model_Resilience', 0.37016791105270386)","('Human_Rights_And_Community_Relations', 0.07309725135564804)","('Access_And_Affordability', 0.06752580404281616)","('NON-ESG', 0.37016791105270386)","('NON-ESG', 0.07309725135564804)","('NON-ESG', 0.06752580404281616)"
Line 16,"We also continue to refine the metrics we use to measure our performance as the voluntary and emerging regulatory frameworks governing ESG reporting evolve at the local, national, regional, and global level.","('Management_Of_Legal_And_Regulatory_Framework', 0.9680052995681763)","('Competitive_Behavior', 0.0030189671088010073)","('Business_Ethics', 0.0029644567985087633)","([], 0.9680052995681763)","('NON-ESG', 0.0030189671088010073)","('NON-ESG', 0.0029644567985087633)"
Line 17,Acting Ethically Our approach to helping address the issues facing our planet and its people is rooted in our purpose.,"('Human_Rights_And_Community_Relations', 0.9136966466903687)","('Management_Of_Legal_And_Regulatory_Framework', 0.008635167963802814)","('Business_Ethics', 0.008027538657188416)","([], 0.9136966466903687)","('NON-ESG', 0.008635167963802814)","('NON-ESG', 0.008027538657188416)"
Line 18,"And while our breakthroughs can take the form of new medicines and vaccines, they can also shape new ways of working, new ways of helping ensure equitable access to our innovations, and new ways of leveraging our voice.","('Access_And_Affordability', 0.2994837760925293)","('Customer_Welfare', 0.153855562210083)","('Selling_Practices_And_Product_Labeling', 0.09312161058187485)","('NON-ESG', 0.2994837760925293)","('NON-ESG', 0.153855562210083)","('NON-ESG', 0.09312161058187485)"
Line 19,"Were a company that is guided by our valuescourage, excellence, equity, and joy.","('Business_Model_Resilience', 0.34163030982017517)","('Employee_Engagement_Inclusion_And_Diversity', 0.1408471018075943)","('Business_Ethics', 0.09200502932071686)","('NON-ESG', 0.34163030982017517)","('NON-ESG', 0.1408471018075943)","('NON-ESG', 0.09200502932071686)"
Line 20,"To that end, we deploy an ethical decision-making framework that seeks to guide how we discuss, consider and act to help address global challenges.","('Business_Ethics', 0.4652840495109558)","('Human_Rights_And_Community_Relations', 0.12594875693321228)","('Competitive_Behavior', 0.07681865990161896)","('NON-ESG', 0.4652840495109558)","('NON-ESG', 0.12594875693321228)","('NON-ESG', 0.07681865990161896)"
Line 21,"Values-and ethics-based decision-making promotes accountability and helps ensure that integrity, quality, safety, and ethics are foundational to all we do.","('Business_Ethics', 0.9653783440589905)","('Competitive_Behavior', 0.0032058374490588903)","('Management_Of_Legal_And_Regulatory_Framework', 0.0028503630310297012)","(['Business Ethics'], 0.9653783440589905)","('NON-ESG', 0.0032058374490588903)","('NON-ESG', 0.0028503630310297012)"
Line 22,Actions > Words These decisions have led to action.,"('Management_Of_Legal_And_Regulatory_Framework', 0.39062070846557617)","('Business_Ethics', 0.17912395298480988)","('Competitive_Behavior', 0.07754383981227875)","('NON-ESG', 0.39062070846557617)","('NON-ESG', 0.17912395298480988)","('NON-ESG', 0.07754383981227875)"
Line 23,"For example, we remain committed to working towards equitable and affordable access to the Pfizer-BioNTech COVID-19 Vaccine and Pfizers oral therapy for people around the world.","('Access_And_Affordability', 0.8355541229248047)","('Product_Quality_And_Safety', 0.022634340450167656)","('Customer_Welfare', 0.017746107652783394)","(['Access to Healthcare'], 0.8355541229248047)","('NON-ESG', 0.022634340450167656)","('NON-ESG', 0.017746107652783394)"
Line 24,Why?,"('Competitive_Behavior', 0.16973081231117249)","('Business_Ethics', 0.11068544536828995)","('Ecological_Impacts', 0.05838128551840782)","('NON-ESG', 0.16973081231117249)","('NON-ESG', 0.11068544536828995)","('NON-ESG', 0.05838128551840782)"
Line 25,Because our vaccines and medicines cannot positively impact patients if those patients do not have access to them.,"('Access_And_Affordability', 0.8327749371528625)","('Product_Quality_And_Safety', 0.01657460629940033)","('Critical_Incident_Risk_Management', 0.016562147065997124)","(['Access to Healthcare'], 0.8327749371528625)","('NON-ESG', 0.01657460629940033)","('NON-ESG', 0.016562147065997124)"
Line 26,This commitment to equitable access extends beyond COVID-19.,"('Access_And_Affordability', 0.8386074304580688)","('Human_Rights_And_Community_Relations', 0.026351651176810265)","('Employee_Engagement_Inclusion_And_Diversity', 0.02422070875763893)","(['Access to Healthcare'], 0.8386074304580688)","('NON-ESG', 0.026351651176810265)","('NON-ESG', 0.02422070875763893)"
Line 27,We live in a time when science can increasingly take on the worlds most devastating diseases.,"('Critical_Incident_Risk_Management', 0.28880470991134644)","('Physical_Impacts_Of_Climate_Change', 0.16256025433540344)","('Employee_Health_And_Safety', 0.1012461930513382)","('NON-ESG', 0.28880470991134644)","('NON-ESG', 0.16256025433540344)","('NON-ESG', 0.1012461930513382)"
Line 28,"But there is a gap determining who can access these innovations, and who cannot.","('Product_Design_And_Lifecycle_Management', 0.2783762216567993)","('Access_And_Affordability', 0.1785852015018463)","('Customer_Welfare', 0.07426078617572784)","('NON-ESG', 0.2783762216567993)","('NON-ESG', 0.1785852015018463)","('NON-ESG', 0.07426078617572784)"
Line 29,"To help bridge this gap, we announced in May 2022 that we will provide on a not-for-profit basis all our innovative medicines and vaccines available in the U.","('Selling_Practices_And_Product_Labeling', 0.32766279578208923)","('Customer_Welfare', 0.1711849421262741)","('Access_And_Affordability', 0.1330900490283966)","('NON-ESG', 0.32766279578208923)","('NON-ESG', 0.1711849421262741)","('NON-ESG', 0.1330900490283966)"
Line 30,"S. or the European Union to 1.2 billion people in 45 lower-income countries and will work closely with global health leaders to make improvements in diagnosis, education, infrastructure, storage, and more.","('Access_And_Affordability', 0.8480096459388733)","('Human_Rights_And_Community_Relations', 0.01674537919461727)","('Product_Quality_And_Safety', 0.014799334108829498)","(['Access to Healthcare'], 0.8480096459388733)","('NON-ESG', 0.01674537919461727)","('NON-ESG', 0.014799334108829498)"
Line 31,"The Accord for a Healthier Worldwhich we expanded in January 2023 to include the full portfolio of products for which we have global rights, bringing the total offering from 23 patented medicines and vaccines to around 500 patented and off-patent productsaims to greatly reduce the health inequities that exist between many lower-income countries and the rest of the world.","('Customer_Welfare', 0.2853797674179077)","('Product_Design_And_Lifecycle_Management', 0.21717889606952667)","('Product_Quality_And_Safety', 0.1008661538362503)","('NON-ESG', 0.2853797674179077)","('NON-ESG', 0.21717889606952667)","('NON-ESG', 0.1008661538362503)"
Line 32,Introduction1 Patient counts are estimates based on multiple data sources.,"('Access_And_Affordability', 0.3157515227794647)","('Customer_Privacy', 0.09605053812265396)","('Water_And_Wastewater_Management', 0.06067032739520073)","('NON-ESG', 0.3157515227794647)","('NON-ESG', 0.09605053812265396)","('NON-ESG', 0.06067032739520073)"
Line 33,See footnotes within the Performance section for more details.,"('Management_Of_Legal_And_Regulatory_Framework', 0.3791692852973938)","('Competitive_Behavior', 0.14469391107559204)","('Systemic_Risk_Management', 0.06441570073366165)","('NON-ESG', 0.3791692852973938)","('NON-ESG', 0.14469391107559204)","('NON-ESG', 0.06441570073366165)"
