,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2022 CITIZENSHIP REPORT INTRODUCTIONINTRODUCTION COMMUNITY IMPACT EQUALITY & INCLUSION ENVIRONMENTAL SUSTAINABILITY ETHICS & CORPORATE RESPONSIBILITY RECOGNITIONS & AWARDS DELIVERING FOR ALL OUR STAKEHOLDERS DEAR STAKEHOLDERS, We have been talking about the importance of balance for some time in the context of needing to deliver balanced growth and value creation.","('Business_Model_Resilience', 0.2856825292110443)","('Human_Rights_And_Community_Relations', 0.22705073654651642)","('Employee_Engagement_Inclusion_And_Diversity', 0.11739806830883026)","('NON-ESG', 0.2856825292110443)","('NON-ESG', 0.22705073654651642)","('NON-ESG', 0.11739806830883026)"
Line 2,"While that will always be an imperative, the world needs more from P&G now.","('Systemic_Risk_Management', 0.2591523230075836)","('Business_Model_Resilience', 0.126023069024086)","('Supply_Chain_Management', 0.10963056981563568)","('NON-ESG', 0.2591523230075836)","('NON-ESG', 0.126023069024086)","('NON-ESG', 0.10963056981563568)"
Line 3,It is not just top- and bottom-line growth that must be delivered and balanced.,"('Competitive_Behavior', 0.33471593260765076)","('Business_Model_Resilience', 0.2841443717479706)","('Systemic_Risk_Management', 0.13025572896003723)","('NON-ESG', 0.33471593260765076)","('NON-ESG', 0.2841443717479706)","('NON-ESG', 0.13025572896003723)"
Line 4,"We must also endeavor to deliver against the needs of an increasing number of constituentsconsumers, retail customers, employees, society and our shareowners.","('Competitive_Behavior', 0.20699773728847504)","('Product_Design_And_Lifecycle_Management', 0.16024024784564972)","('Business_Model_Resilience', 0.1361558586359024)","('NON-ESG', 0.20699773728847504)","('NON-ESG', 0.16024024784564972)","('NON-ESG', 0.1361558586359024)"
Line 5,The needs of each of these constituents must be met.,"('Management_Of_Legal_And_Regulatory_Framework', 0.25595328211784363)","('Energy_Management', 0.0907982811331749)","('Business_Model_Resilience', 0.0850399062037468)","('NON-ESG', 0.25595328211784363)","('NON-ESG', 0.0907982811331749)","('NON-ESG', 0.0850399062037468)"
Line 6,"This is especially true of our Citizenship efforts in Environmental, Social and Governance (ESG) areas, where expectations among all stakeholders are growing.","('Human_Rights_And_Community_Relations', 0.8797847628593445)","('Management_Of_Legal_And_Regulatory_Framework', 0.016626961529254913)","('Ecological_Impacts', 0.015549425035715103)","([], 0.8797847628593445)","('NON-ESG', 0.016626961529254913)","('NON-ESG', 0.015549425035715103)"
Line 7,People increasingly rely on us to deliver superior solutions that are sustainable.,"('Product_Design_And_Lifecycle_Management', 0.894845724105835)","('Business_Model_Resilience', 0.01587451808154583)","('Customer_Welfare', 0.009823762811720371)","(['Product Stewardship'], 0.894845724105835)","('NON-ESG', 0.01587451808154583)","('NON-ESG', 0.009823762811720371)"
Line 8,Our world requires that we do our part in this regard.,"('Management_Of_Legal_And_Regulatory_Framework', 0.28313419222831726)","('Human_Rights_And_Community_Relations', 0.15208424627780914)","('Competitive_Behavior', 0.1278415471315384)","('NON-ESG', 0.28313419222831726)","('NON-ESG', 0.15208424627780914)","('NON-ESG', 0.1278415471315384)"
Line 9,"This challenge is also an opportunity to extend our margin of superiority, further grow categories, and create more value.","('Competitive_Behavior', 0.8310622572898865)","('Business_Model_Resilience', 0.04450332000851631)","('Systemic_Risk_Management', 0.029422856867313385)","([], 0.8310622572898865)","('NON-ESG', 0.04450332000851631)","('NON-ESG', 0.029422856867313385)"
Line 10,"We are working across climate, waste, water and nature to improve our own environmental impact, enable consumers to reduce their footprint, and help society solve some of the most pressing global challenges.","('Water_And_Wastewater_Management', 0.6379863619804382)","('Supply_Chain_Management', 0.06684915721416473)","('Energy_Management', 0.05722426995635033)","([], 0.6379863619804382)","('NON-ESG', 0.06684915721416473)","('NON-ESG', 0.05722426995635033)"
Line 11,"We are committed to an equal, diverse and inclusive organization and culture; one which brings forth the best ideas and innovations needed to win with consumers and customers and for each other.","('Employee_Engagement_Inclusion_And_Diversity', 0.9303948283195496)","('Human_Rights_And_Community_Relations', 0.012387565337121487)","('Business_Model_Resilience', 0.006204971577972174)","([], 0.9303948283195496)","('NON-ESG', 0.012387565337121487)","('NON-ESG', 0.006204971577972174)"
Line 12,We do this best when we have a pipeline of outstanding and diverse talent at every level and an environment that supports each of us in being our full and authentic selves.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9552783966064453)","('Human_Rights_And_Community_Relations', 0.004197802860289812)","('Employee_Health_And_Safety', 0.003732173703610897)","([], 0.9552783966064453)","('NON-ESG', 0.004197802860289812)","('NON-ESG', 0.003732173703610897)"
Line 13,"Externally, we support equality and inclusion efforts with our business partners and in our communities because it is not only the right thing to do, but because it also can improve income and wealth equity for more people, creating more purchasing power, which drives market growth.","('Employee_Engagement_Inclusion_And_Diversity', 0.9172194004058838)","('Human_Rights_And_Community_Relations', 0.01867864653468132)","('Access_And_Affordability', 0.0108680110424757)","([], 0.9172194004058838)","('NON-ESG', 0.01867864653468132)","('NON-ESG', 0.0108680110424757)"
Line 14,Jon R.,"('Management_Of_Legal_And_Regulatory_Framework', 0.2009112536907196)","('Director_Removal', 0.08950560539960861)","('Employee_Engagement_Inclusion_And_Diversity', 0.08004165440797806)","('NON-ESG', 0.2009112536907196)","('NON-ESG', 0.08950560539960861)","('NON-ESG', 0.08004165440797806)"
Line 15,"Moeller Chairman of the Board, President and Chief Executive Officer 2INTRODUCTIONINTRODUCTION COMMUNITY IMPACT EQUALITY & INCLUSION ENVIRONMENTAL SUSTAINABILITY ETHICS & CORPORATE RESPONSIBILITY RECOGNITIONS & AWARDS Citizenship is how we refer to our efforts in Environmental, Social and Governance (ESG) areas, and weve built Citizenship into how we do business every day.","('Human_Rights_And_Community_Relations', 0.6427550911903381)","('Business_Model_Resilience', 0.06754614412784576)","('Employee_Engagement_Inclusion_And_Diversity', 0.06550592184066772)","([], 0.6427550911903381)","('NON-ESG', 0.06754614412784576)","('NON-ESG', 0.06550592184066772)"
