,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,INTEGRATED REPORT 2022 LARGER TITLE INTEGRATED REPORT 2022 we are transforming for good we were we will be 2022 SUSTAINABILITY PROGRESSAbout PMI Philip Morris International (PMI) is a leading international tobacco company working to deliver a smoke-free future and evolving its portfolio for the long term to include products outside of the tobacco and nicotine sector.,"('Product_Design_And_Lifecycle_Management', 0.5030967593193054)","('Customer_Welfare', 0.14080296456813812)","('Selling_Practices_And_Product_Labeling', 0.11500856280326843)","([], 0.5030967593193054)","('NON-ESG', 0.14080296456813812)","('NON-ESG', 0.11500856280326843)"
Line 2,The companys current product portfolio primarily consists of cigarettes and smoke-free products.,"('Product_Design_And_Lifecycle_Management', 0.7180650234222412)","('Selling_Practices_And_Product_Labeling', 0.0656081810593605)","('Customer_Welfare', 0.058127086609601974)","([], 0.7180650234222412)","('NON-ESG', 0.0656081810593605)","('NON-ESG', 0.058127086609601974)"
Line 3,"Since 2008, PMI has invested more than USD 10.5 billion to develop, scientifically substantiate and commercialize innovative smoke-free products for adults who would otherwise continue to smoke, with the goal of completely ending the sale of cigarettes.","('Customer_Welfare', 0.2601095736026764)","('Selling_Practices_And_Product_Labeling', 0.2155173122882843)","('Product_Design_And_Lifecycle_Management', 0.20380455255508423)","('NON-ESG', 0.2601095736026764)","('NON-ESG', 0.2155173122882843)","('NON-ESG', 0.20380455255508423)"
Line 4,"This includes the building of world-class scientific assessment capabilities, notably in the areas of pre-clinical systems toxicology, clinical and behavioral research, as well as post-market studies.","('Access_And_Affordability', 0.27103984355926514)","('Customer_Welfare', 0.08418721705675125)","('Ecological_Impacts', 0.08038221299648285)","('NON-ESG', 0.27103984355926514)","('NON-ESG', 0.08418721705675125)","('NON-ESG', 0.08038221299648285)"
Line 5,"In November 2022, PMI acquired Swedish Match a leader in oral nicotine delivery creating a global smoke-free champion led by the companies IQOS and ZYN brands.","('Customer_Welfare', 0.3902996778488159)","('Selling_Practices_And_Product_Labeling', 0.1934274584054947)","('Energy_Management', 0.06448491662740707)","('NON-ESG', 0.3902996778488159)","('NON-ESG', 0.1934274584054947)","('NON-ESG', 0.06448491662740707)"
Line 6,The U.,"('Management_Of_Legal_And_Regulatory_Framework', 0.24595479667186737)","('Competitive_Behavior', 0.13950300216674805)","('GHG_Emissions', 0.08579998463392258)","('NON-ESG', 0.24595479667186737)","('NON-ESG', 0.13950300216674805)","('NON-ESG', 0.08579998463392258)"
Line 7,S. Food and Drug Administration (FDA) has authorized versions of PMIs IQOS Platform 1 devices and consumables and Swedish Matchs General snus as Modified Risk Tobacco Products (MRTPs).,"('Selling_Practices_And_Product_Labeling', 0.6108077764511108)","('Product_Quality_And_Safety', 0.1240801066160202)","('Customer_Welfare', 0.08127419650554657)","(['Business Ethics'], 0.6108077764511108)","('NON-ESG', 0.1240801066160202)","('NON-ESG', 0.08127419650554657)"
Line 8,"As of December 31, 2022, PMIs smoke-free products were available for sale in 73 markets, and PMI estimates that approximately 17.8 million adults around the world had already switched to IQOS and stopped smoking.","('Product_Quality_And_Safety', 0.19887179136276245)","('Employee_Health_And_Safety', 0.13419198989868164)","('Customer_Welfare', 0.07968050241470337)","('NON-ESG', 0.19887179136276245)","('NON-ESG', 0.13419198989868164)","('NON-ESG', 0.07968050241470337)"
Line 9,Smoke- free products accounted for approximately 32% of PMIs total full-year 2022 net revenues.,"('Product_Design_And_Lifecycle_Management', 0.6520358324050903)","('Customer_Welfare', 0.09732788056135178)","('Selling_Practices_And_Product_Labeling', 0.07245269417762756)","([], 0.6520358324050903)","('NON-ESG', 0.09732788056135178)","('NON-ESG', 0.07245269417762756)"
Line 10,"With a strong foundation and significant expertise in life sciences, PMI announced in February 2021 its ambition to expand into wellness and healthcare areas and, through its Vectura Fertin Pharma subsidiary, aims to enhance life through the delivery of seamless health experiences.","('Product_Design_And_Lifecycle_Management', 0.2063647210597992)","('Access_And_Affordability', 0.19769655168056488)","('Customer_Welfare', 0.15835578739643097)","('NON-ESG', 0.2063647210597992)","('NON-ESG', 0.19769655168056488)","('NON-ESG', 0.15835578739643097)"
