,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Qualcomm Corporate Responsibility ReportOur environmental, social and governance (ESG) performance in 2022Table of Contents 03 Message from Our CEO 04 About Qualcomm 05 Purposeful Innovation 06 Our Corporate Responsibility Governance 07 Our Approach to Stakeholder Engagement 09 Our Goals 10 Our Awards and Recognitions 12 Empowering Digital Transformation 13 Future-Focused Research and Development 15 Breakthrough Inventions 17 Equitable Access 23 Acting Responsibly 24 Workforce 32 Business Integrity 36 Ethical Governance40 Operating Sustainably 41 Sustainability Goals 42 Resource Management 43 Operational Resilience 44 ESG Performance Summary 54 Progress on Our Goals 55 Global Reporting Initiative (GRI) Content Index 60 Sustainability Accounting Standards Board Index (SASB) 67 T ask Force on Climate-related Financial Disclosures Index (TCFD) 71 Our Alignment with the United Nations Sustainable Development Goals 72 About This Report 02 2022 Qualcomm Corporate Responsibility Report T able of ContentsMessage from Our CEO At Qualcomm, we take our responsibility as a global leader seriously.","('Human_Rights_And_Community_Relations', 0.4214780628681183)","('Business_Model_Resilience', 0.14138242602348328)","('Business_Ethics', 0.09834840148687363)","('NON-ESG', 0.4214780628681183)","('NON-ESG', 0.14138242602348328)","('NON-ESG', 0.09834840148687363)"
Line 2,"Qualcomm Corporate Responsibility ReportOur environmental, social and governance (ESG) performance in 2022Table of Contents 03 Message from Our CEO 04 About Qualcomm 05 Purposeful Innovation 06 Our Corporate Responsibility Governance 07 Our Approach to Stakeholder Engagement 09 Our Goals 10 Our Awards and Recognitions 12 Empowering Digital Transformation 13 Future-Focused Research and Development 15 Breakthrough Inventions 17 Equitable Access 23 Acting Responsibly 24 Workforce 32 Business Integrity 36 Ethical Governance40 Operating Sustainably 41 Sustainability Goals 42 Resource Management 43 Operational Resilience 44 ESG Performance Summary 54 Progress on Our Goals 55 Global Reporting Initiative (GRI) Content Index 60 Sustainability Accounting Standards Board Index (SASB) 67 T ask Force on Climate-related Financial Disclosures Index (TCFD) 71 Our Alignment with the United Nations Sustainable Development Goals 72 About This Report 02 2022 Qualcomm Corporate Responsibility Report T able of ContentsMessage from Our CEO At Qualcomm, we take our responsibility as a global leader seriously.","('Business_Model_Resilience', 0.9165389537811279)","('Physical_Impacts_Of_Climate_Change', 0.009454336948692799)","('Supply_Chain_Management', 0.007183873560279608)","(['Human Capital Development', 'Innovation Management'], 0.9165389537811279)","('NON-ESG', 0.009454336948692799)","('NON-ESG', 0.007183873560279608)"
Line 3,"Qualcomm Corporate Responsibility ReportOur environmental, social and governance (ESG) performance in 2022Table of Contents 03 Message from Our CEO 04 About Qualcomm 05 Purposeful Innovation 06 Our Corporate Responsibility Governance 07 Our Approach to Stakeholder Engagement 09 Our Goals 10 Our Awards and Recognitions 12 Empowering Digital Transformation 13 Future-Focused Research and Development 15 Breakthrough Inventions 17 Equitable Access 23 Acting Responsibly 24 Workforce 32 Business Integrity 36 Ethical Governance40 Operating Sustainably 41 Sustainability Goals 42 Resource Management 43 Operational Resilience 44 ESG Performance Summary 54 Progress on Our Goals 55 Global Reporting Initiative (GRI) Content Index 60 Sustainability Accounting Standards Board Index (SASB) 67 T ask Force on Climate-related Financial Disclosures Index (TCFD) 71 Our Alignment with the United Nations Sustainable Development Goals 72 About This Report 02 2022 Qualcomm Corporate Responsibility Report T able of ContentsMessage from Our CEO At Qualcomm, we take our responsibility as a global leader seriously.","('Business_Model_Resilience', 0.6914030909538269)","('Director_Removal', 0.04063740745186806)","('Human_Rights_And_Community_Relations', 0.03562498092651367)","(['Human Capital Development', 'Innovation Management'], 0.6914030909538269)","('NON-ESG', 0.04063740745186806)","('NON-ESG', 0.03562498092651367)"
Line 4,"We believe technology can transform industries, businesses, communities and individual lives, and I am proud of our contributions and progress towards this effort this year.","('Human_Rights_And_Community_Relations', 0.9370114207267761)","('Access_And_Affordability', 0.009848680347204208)","('Ecological_Impacts', 0.0048222471959888935)","(['Environmental Policy & Management Systems'], 0.9370114207267761)","('NON-ESG', 0.009848680347204208)","('NON-ESG', 0.0048222471959888935)"
Line 5,"With this report, I would like to introduce our new Purposeful Innovation Framework guiding our decisions and 2025 Corporate Responsibility goals as we use technology to positively impact how we live, work and thrive.","('Business_Model_Resilience', 0.49318230152130127)","('Human_Rights_And_Community_Relations', 0.15544027090072632)","('Director_Removal', 0.03571595624089241)","('NON-ESG', 0.49318230152130127)","('NON-ESG', 0.15544027090072632)","('NON-ESG', 0.03571595624089241)"
Line 6,"It lays out three strategic areas of focus: Empowering Digital T ransformation, Acting Responsibly and Operating Sustainably.","('Business_Model_Resilience', 0.6219061613082886)","('Product_Design_And_Lifecycle_Management', 0.07372396439313889)","('Human_Rights_And_Community_Relations', 0.02814849279820919)","(['Human Capital Development', 'Innovation Management'], 0.6219061613082886)","('NON-ESG', 0.07372396439313889)","('NON-ESG', 0.02814849279820919)"
Line 7,"I provide highlights of each below, and I encourage you to read the full report to learn more about our commitment to environmental, social, and governance (ESG) efforts.","('Human_Rights_And_Community_Relations', 0.7442907094955444)","('Business_Model_Resilience', 0.05734331160783768)","('Ecological_Impacts', 0.02817475236952305)","(['Environmental Policy & Management Systems'], 0.7442907094955444)","('NON-ESG', 0.05734331160783768)","('NON-ESG', 0.02817475236952305)"
Line 8,Empowering Digital Transformation The past year marked an important evolution in our long-term vision of enabling a world where everyone and everything is intelligently connected.,"('Employee_Engagement_Inclusion_And_Diversity', 0.27036380767822266)","('Business_Model_Resilience', 0.19803926348686218)","('Human_Rights_And_Community_Relations', 0.14683812856674194)","('NON-ESG', 0.27036380767822266)","('NON-ESG', 0.19803926348686218)","('NON-ESG', 0.14683812856674194)"
Line 9,We remain focused on transitioning Qualcomm from a wireless communications company for the mobile industry to a connected processor company for the intelligent edge.,"('Business_Model_Resilience', 0.4796881079673767)","('Supply_Chain_Management', 0.10404486954212189)","('Systemic_Risk_Management', 0.0744110494852066)","('NON-ESG', 0.4796881079673767)","('NON-ESG', 0.10404486954212189)","('NON-ESG', 0.0744110494852066)"
Line 10,"Our one technology roadmap is allowing us to efficiently scale and diversify our leading technologies across new industries, applications and experiences accelerating digital transformation and changing the world for the greater good.","('Product_Design_And_Lifecycle_Management', 0.3677389919757843)","('Business_Model_Resilience', 0.24741430580615997)","('Data_Security', 0.06579596549272537)","('NON-ESG', 0.3677389919757843)","('NON-ESG', 0.24741430580615997)","('NON-ESG', 0.06579596549272537)"
Line 11,"Our breakthrough innovations including advanced connectivity, high-performance low-power processing, AI-accelerated solutions and more can help tackle the worlds biggest challenges and enable society to leap forward into the digital era.","('Data_Security', 0.272001177072525)","('Business_Model_Resilience', 0.23975026607513428)","('Product_Design_And_Lifecycle_Management', 0.09862563014030457)","('NON-ESG', 0.272001177072525)","('NON-ESG', 0.23975026607513428)","('NON-ESG', 0.09862563014030457)"
Line 12,The broad digital transformation at the edge will have a profound impact and we believe everyone deserves the opportunity to participate in this intelligently connected future.,"('Business_Model_Resilience', 0.542216956615448)","('Employee_Engagement_Inclusion_And_Diversity', 0.0820193663239479)","('Human_Rights_And_Community_Relations', 0.04893717169761658)","(['Human Capital Development', 'Innovation Management'], 0.542216956615448)","('NON-ESG', 0.0820193663239479)","('NON-ESG', 0.04893717169761658)"
Line 13,We are addressing this imperative to bridge the digital divide by working with a broad ecosystem to deploy advanced technology and solutions at scale and bring programs that strengthen economic and social development to underserved communities globally.,"('Access_And_Affordability', 0.9468556642532349)","('Human_Rights_And_Community_Relations', 0.005756354425102472)","('Critical_Incident_Risk_Management', 0.004645089153200388)","([], 0.9468556642532349)","('NON-ESG', 0.005756354425102472)","('NON-ESG', 0.004645089153200388)"
Line 14,"Providing everyone with reliable fixed or mobile internet connectivity is a major first step in creating greater access to quality education, entrepreneurial and employment opportunities, health care and other services.","('Access_And_Affordability', 0.9147225618362427)","('Product_Quality_And_Safety', 0.009004740975797176)","('Human_Rights_And_Community_Relations', 0.007979988120496273)","([], 0.9147225618362427)","('NON-ESG', 0.009004740975797176)","('NON-ESG', 0.007979988120496273)"
Line 15,"03 2022 Qualcomm Corporate Responsibility Report Message from Our CEOActing Responsibly At Qualcomm, we believe that breakthrough innovation depends on the collective effort of the best and brightest minds.","('Business_Model_Resilience', 0.485969603061676)","('Product_Design_And_Lifecycle_Management', 0.13010269403457642)","('Supply_Chain_Management', 0.09159134328365326)","('NON-ESG', 0.485969603061676)","('NON-ESG', 0.13010269403457642)","('NON-ESG', 0.09159134328365326)"
Line 16,"T eams that bring a wealth of backgrounds, experiences, perspectives and skillsets are the driving force behind our innovation, strategy and success.","('Employee_Engagement_Inclusion_And_Diversity', 0.9406135678291321)","('Business_Model_Resilience', 0.006949069444090128)","('Product_Design_And_Lifecycle_Management', 0.005354570224881172)","(['Talent Attraction & Retention'], 0.9406135678291321)","('NON-ESG', 0.006949069444090128)","('NON-ESG', 0.005354570224881172)"
Line 17,An inclusive and inspiring workplace where everyone is welcome and has the opportunity to succeed provides the foundation to further expand diverse talent and develop our future leaders.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9636397361755371)","('Human_Rights_And_Community_Relations', 0.0032809991389513016)","('Employee_Health_And_Safety', 0.0029432992450892925)","(['Talent Attraction & Retention'], 0.9636397361755371)","('NON-ESG', 0.0032809991389513016)","('NON-ESG', 0.0029432992450892925)"
Line 18,"This year, I signed Disability:INs CEO Letter on Disability Inclusion, to continue advancing equality and inclusion and to serve as a positive example for CEOs and organizations globally.","('Employee_Engagement_Inclusion_And_Diversity', 0.9521756172180176)","('Employee_Health_And_Safety', 0.011915039271116257)","('Labor_Practices', 0.003773637115955353)","(['Talent Attraction & Retention'], 0.9521756172180176)","('NON-ESG', 0.011915039271116257)","('NON-ESG', 0.003773637115955353)"
Line 19,"As part of our commitment to championing and empowering our people, we continue to make progress on our 2025 goals.","('Human_Rights_And_Community_Relations', 0.8501268625259399)","('Employee_Engagement_Inclusion_And_Diversity', 0.028410065919160843)","('Access_And_Affordability', 0.01536011602729559)","(['Environmental Policy & Management Systems'], 0.8501268625259399)","('NON-ESG', 0.028410065919160843)","('NON-ESG', 0.01536011602729559)"
Line 20,"We increased our representation of women in leadership1 by more than 7 percent, our representation of underrepresented minorities (URM2) leadership by more than 5 percent and our overall representation of URMs by more than 12 percent, since 2020.","('Employee_Engagement_Inclusion_And_Diversity', 0.9748313426971436)","('Human_Rights_And_Community_Relations', 0.0020664858166128397)","('Employee_Health_And_Safety', 0.0018203735817223787)","(['Talent Attraction & Retention'], 0.9748313426971436)","('NON-ESG', 0.0020664858166128397)","('NON-ESG', 0.0018203735817223787)"
Line 21,"Further, we understand the importance of developing a pipeline of highly skilled science, technology, engineering and mathematics (STEM) innovators.","('Employee_Engagement_Inclusion_And_Diversity', 0.38605692982673645)","('Product_Design_And_Lifecycle_Management', 0.11715550720691681)","('Business_Model_Resilience', 0.11353229731321335)","('NON-ESG', 0.38605692982673645)","('NON-ESG', 0.11715550720691681)","('NON-ESG', 0.11353229731321335)"
Line 22,"In 2022, we achieved our 2025 goal to engage 1.5 million students and teachers across the globe.","('Access_And_Affordability', 0.5699874758720398)","('Employee_Engagement_Inclusion_And_Diversity', 0.1339617222547531)","('Human_Rights_And_Community_Relations', 0.030847923830151558)","([], 0.5699874758720398)","('NON-ESG', 0.1339617222547531)","('NON-ESG', 0.030847923830151558)"
Line 23,But our work and our efforts dont stop there.,"('Human_Rights_And_Community_Relations', 0.38416439294815063)","('Business_Ethics', 0.07736928761005402)","('Management_Of_Legal_And_Regulatory_Framework', 0.06799300760030746)","('NON-ESG', 0.38416439294815063)","('NON-ESG', 0.07736928761005402)","('NON-ESG', 0.06799300760030746)"
Line 24,"As technology and innovation continue to drive a more connected world, it is imperative that we remain steadfast in our commitment to inspiring the next generation of inventors.","('Product_Design_And_Lifecycle_Management', 0.4568614363670349)","('Energy_Management', 0.07103032618761063)","('Business_Model_Resilience', 0.07043948769569397)","('NON-ESG', 0.4568614363670349)","('NON-ESG', 0.07103032618761063)","('NON-ESG', 0.07043948769569397)"
Line 25,Operating Sustainably We also see our advanced technologies playing an essential role in enabling efficiencies through digital transformation.,"('Business_Model_Resilience', 0.2626901865005493)","('Product_Design_And_Lifecycle_Management', 0.16216127574443817)","('Supply_Chain_Management', 0.148662269115448)","('NON-ESG', 0.2626901865005493)","('NON-ESG', 0.16216127574443817)","('NON-ESG', 0.148662269115448)"
Line 26,Connected vehicles will help reduce congestion and pollution.,"('Air_Quality', 0.7428203225135803)","('Energy_Management', 0.03559420257806778)","('Management_Of_Legal_And_Regulatory_Framework', 0.03547472879290581)","([], 0.7428203225135803)","('NON-ESG', 0.03559420257806778)","('NON-ESG', 0.03547472879290581)"
Line 27,Smart factories will be able to deploy flexible manufacturing lines to improve productivity and energy use.,"('Energy_Management', 0.9045858383178711)","('Product_Design_And_Lifecycle_Management', 0.030977211892604828)","('Supply_Chain_Management', 0.010083600878715515)","(['Operational Eco-Efficiency'], 0.9045858383178711)","('NON-ESG', 0.030977211892604828)","('NON-ESG', 0.010083600878715515)"
