,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 Environmental Social Governance ReportAdvancing our shared values for a safer, more connected world.","('Human_Rights_And_Community_Relations', 0.4682095944881439)","('Management_Of_Legal_And_Regulatory_Framework', 0.16128136217594147)","('Business_Model_Resilience', 0.07372353971004486)","('NON-ESG', 0.4682095944881439)","('NON-ESG', 0.16128136217594147)","('NON-ESG', 0.07372353971004486)"
Line 2,"2 RAYTHEON TECHNOLOGIES ESG REPORT 2021 01 Introduction 02 Commitment 03 People 04 Planet 05 Principles 06 Appendix 01Table of contents 03 Introduction Letter from the Chairman and CEO 03 About Raytheon Technologies 04People Workforce 2030 12 Attracting, developing and engaging world-class talent 13 Fostering employee well-being 15 Engaging and retaining our talent 16 Deepening learning and development 17 Protecting employee health and safety 18 Prioritizing diversity, equity and inclusion 21 Public policy: Championing equality for all 25 Engaging diverse suppliers 26 Building community vitality 27Planet Advancing sustainable technology and innovation globally 32 On the path to decarbonize aviation 33 Our roadmap to 2050 34 Engines and air craft systems 35 Airline, airport and air tr affic operations 41 Pr oduct use value chain partners 44 Decarbonizing our operations 47 Reducing climate risks, improving resilience 49 Saving water and reducing waste 51 Reducing risks of chemical usage 53 Overseeing environmental compliance 55 Supplier quality, environment, health and safety matters 5604 0605 2 RAYTHEON TECHNOLOGIES ESG REPORT 2021Commitment Advancing our ESG capabilities 0602Principles Our commitment to product safety, quality and transparency 59 Respect for human rights 62 Data security and privacy 63 Ensuring business resilience 66 A foundation of ethics and compliance 67 Appendix Raytheon Technologies recognition and award highlights 2021 70 Raytheon Technologies performance data table 71 Global Reporting Initiative Index 2021 75 Sustainability Accounting Standards Board Disclosure 2021 84 Task Force on Climate-Related Financial Disclosures Disclosure 2021 87 Letter from the Chairman and CEO 3 RAYTHEON TECHNOLOGIES ESG REPORT 2021Each day I have the privilege to witness the talent, dedication and innovative spirit of Raytheon Technologies employees around the world.","('Employee_Engagement_Inclusion_And_Diversity', 0.9698291420936584)","('Employee_Health_And_Safety', 0.003948996774852276)","('Human_Rights_And_Community_Relations', 0.001992724137380719)","([], 0.9698291420936584)","('NON-ESG', 0.003948996774852276)","('NON-ESG', 0.001992724137380719)"
Line 3,"2 RAYTHEON TECHNOLOGIES ESG REPORT 2021 01 Introduction 02 Commitment 03 People 04 Planet 05 Principles 06 Appendix 01Table of contents 03 Introduction Letter from the Chairman and CEO 03 About Raytheon Technologies 04People Workforce 2030 12 Attracting, developing and engaging world-class talent 13 Fostering employee well-being 15 Engaging and retaining our talent 16 Deepening learning and development 17 Protecting employee health and safety 18 Prioritizing diversity, equity and inclusion 21 Public policy: Championing equality for all 25 Engaging diverse suppliers 26 Building community vitality 27Planet Advancing sustainable technology and innovation globally 32 On the path to decarbonize aviation 33 Our roadmap to 2050 34 Engines and air craft systems 35 Airline, airport and air tr affic operations 41 Pr oduct use value chain partners 44 Decarbonizing our operations 47 Reducing climate risks, improving resilience 49 Saving water and reducing waste 51 Reducing risks of chemical usage 53 Overseeing environmental compliance 55 Supplier quality, environment, health and safety matters 5604 0605 2 RAYTHEON TECHNOLOGIES ESG REPORT 2021Commitment Advancing our ESG capabilities 0602Principles Our commitment to product safety, quality and transparency 59 Respect for human rights 62 Data security and privacy 63 Ensuring business resilience 66 A foundation of ethics and compliance 67 Appendix Raytheon Technologies recognition and award highlights 2021 70 Raytheon Technologies performance data table 71 Global Reporting Initiative Index 2021 75 Sustainability Accounting Standards Board Disclosure 2021 84 Task Force on Climate-Related Financial Disclosures Disclosure 2021 87 Letter from the Chairman and CEO 3 RAYTHEON TECHNOLOGIES ESG REPORT 2021Each day I have the privilege to witness the talent, dedication and innovative spirit of Raytheon Technologies employees around the world.","('Supply_Chain_Management', 0.5925670266151428)","('Business_Model_Resilience', 0.17252591252326965)","('Product_Design_And_Lifecycle_Management', 0.08674463629722595)","(['Supply Chain Management'], 0.5925670266151428)","('NON-ESG', 0.17252591252326965)","('NON-ESG', 0.08674463629722595)"
Line 4,"2 RAYTHEON TECHNOLOGIES ESG REPORT 2021 01 Introduction 02 Commitment 03 People 04 Planet 05 Principles 06 Appendix 01Table of contents 03 Introduction Letter from the Chairman and CEO 03 About Raytheon Technologies 04People Workforce 2030 12 Attracting, developing and engaging world-class talent 13 Fostering employee well-being 15 Engaging and retaining our talent 16 Deepening learning and development 17 Protecting employee health and safety 18 Prioritizing diversity, equity and inclusion 21 Public policy: Championing equality for all 25 Engaging diverse suppliers 26 Building community vitality 27Planet Advancing sustainable technology and innovation globally 32 On the path to decarbonize aviation 33 Our roadmap to 2050 34 Engines and air craft systems 35 Airline, airport and air tr affic operations 41 Pr oduct use value chain partners 44 Decarbonizing our operations 47 Reducing climate risks, improving resilience 49 Saving water and reducing waste 51 Reducing risks of chemical usage 53 Overseeing environmental compliance 55 Supplier quality, environment, health and safety matters 5604 0605 2 RAYTHEON TECHNOLOGIES ESG REPORT 2021Commitment Advancing our ESG capabilities 0602Principles Our commitment to product safety, quality and transparency 59 Respect for human rights 62 Data security and privacy 63 Ensuring business resilience 66 A foundation of ethics and compliance 67 Appendix Raytheon Technologies recognition and award highlights 2021 70 Raytheon Technologies performance data table 71 Global Reporting Initiative Index 2021 75 Sustainability Accounting Standards Board Disclosure 2021 84 Task Force on Climate-Related Financial Disclosures Disclosure 2021 87 Letter from the Chairman and CEO 3 RAYTHEON TECHNOLOGIES ESG REPORT 2021Each day I have the privilege to witness the talent, dedication and innovative spirit of Raytheon Technologies employees around the world.","('Product_Quality_And_Safety', 0.8781490921974182)","('Business_Ethics', 0.022873248904943466)","('Employee_Health_And_Safety', 0.014453108422458172)","([], 0.8781490921974182)","('NON-ESG', 0.022873248904943466)","('NON-ESG', 0.014453108422458172)"
Line 5,"2 RAYTHEON TECHNOLOGIES ESG REPORT 2021 01 Introduction 02 Commitment 03 People 04 Planet 05 Principles 06 Appendix 01Table of contents 03 Introduction Letter from the Chairman and CEO 03 About Raytheon Technologies 04People Workforce 2030 12 Attracting, developing and engaging world-class talent 13 Fostering employee well-being 15 Engaging and retaining our talent 16 Deepening learning and development 17 Protecting employee health and safety 18 Prioritizing diversity, equity and inclusion 21 Public policy: Championing equality for all 25 Engaging diverse suppliers 26 Building community vitality 27Planet Advancing sustainable technology and innovation globally 32 On the path to decarbonize aviation 33 Our roadmap to 2050 34 Engines and air craft systems 35 Airline, airport and air tr affic operations 41 Pr oduct use value chain partners 44 Decarbonizing our operations 47 Reducing climate risks, improving resilience 49 Saving water and reducing waste 51 Reducing risks of chemical usage 53 Overseeing environmental compliance 55 Supplier quality, environment, health and safety matters 5604 0605 2 RAYTHEON TECHNOLOGIES ESG REPORT 2021Commitment Advancing our ESG capabilities 0602Principles Our commitment to product safety, quality and transparency 59 Respect for human rights 62 Data security and privacy 63 Ensuring business resilience 66 A foundation of ethics and compliance 67 Appendix Raytheon Technologies recognition and award highlights 2021 70 Raytheon Technologies performance data table 71 Global Reporting Initiative Index 2021 75 Sustainability Accounting Standards Board Disclosure 2021 84 Task Force on Climate-Related Financial Disclosures Disclosure 2021 87 Letter from the Chairman and CEO 3 RAYTHEON TECHNOLOGIES ESG REPORT 2021Each day I have the privilege to witness the talent, dedication and innovative spirit of Raytheon Technologies employees around the world.","('Business_Model_Resilience', 0.39758172631263733)","('Employee_Engagement_Inclusion_And_Diversity', 0.1444033682346344)","('Director_Removal', 0.058834560215473175)","('NON-ESG', 0.39758172631263733)","('NON-ESG', 0.1444033682346344)","('NON-ESG', 0.058834560215473175)"
Line 6,"The team of 174,000 collaborates to deliver solutions that solve our customers toughest challenges, but thats not enough.","('Supply_Chain_Management', 0.21240369975566864)","('Systemic_Risk_Management', 0.17842331528663635)","('Business_Model_Resilience', 0.13308221101760864)","('NON-ESG', 0.21240369975566864)","('NON-ESG', 0.17842331528663635)","('NON-ESG', 0.13308221101760864)"
Line 7,"They also fulfill our responsibility to do the right thing for our colleagues, our communities and our planet.","('Human_Rights_And_Community_Relations', 0.9419543147087097)","('Access_And_Affordability', 0.0050573451444506645)","('Ecological_Impacts', 0.003826018190011382)","(['Human Rights'], 0.9419543147087097)","('NON-ESG', 0.0050573451444506645)","('NON-ESG', 0.003826018190011382)"
Line 8,"We are not strangers to engineering history-making, era-defining moments.","('Business_Model_Resilience', 0.24246634542942047)","('Ecological_Impacts', 0.18023303151130676)","('Employee_Engagement_Inclusion_And_Diversity', 0.06947405636310577)","('NON-ESG', 0.24246634542942047)","('NON-ESG', 0.18023303151130676)","('NON-ESG', 0.06947405636310577)"
Line 9,"It is our pioneering spirit that permeates through our company today, guiding us as we define a new era and collaborate to build a more sustainable future.","('Business_Model_Resilience', 0.4293750822544098)","('Product_Design_And_Lifecycle_Management', 0.296701043844223)","('Ecological_Impacts', 0.02758733369410038)","('NON-ESG', 0.4293750822544098)","('NON-ESG', 0.296701043844223)","('NON-ESG', 0.02758733369410038)"
Line 10,"As we look to the future, the long-term environmental issues posed by climate change are a concern for us all.","('Physical_Impacts_Of_Climate_Change', 0.9466440677642822)","('Business_Model_Resilience', 0.012248228304088116)","('GHG_Emissions', 0.005949736572802067)","(['Climate Strategy'], 0.9466440677642822)","('NON-ESG', 0.012248228304088116)","('NON-ESG', 0.005949736572802067)"
