,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 Corporate Social Responsibility Report The world leader in serving scienceAbout this report 3 Letter from our CEO 4 Our Company 5 Our CSR commitment 9 Operations 13 Colleagues 21 Communities 32 Environment 39 Endnotes 45 Awards 47 Data summary 48 Appendices 53 2 3 2021 Corporate Social Responsibility Report thermofisher.com/csr Our Mission is to enable our customers to make the world healthier, cleaner and safer.","('Human_Rights_And_Community_Relations', 0.8782239556312561)","('Business_Model_Resilience', 0.017384324222803116)","('Access_And_Affordability', 0.012696895748376846)","([], 0.8782239556312561)","('NON-ESG', 0.017384324222803116)","('NON-ESG', 0.012696895748376846)"
Line 2,"About this report Our Corporate Social Responsibility (CSR) report reflects our commitment to society and our stakeholders and details our progress on relevant environmental, social and governance (ESG) priorities.","('Human_Rights_And_Community_Relations', 0.8905837535858154)","('Business_Model_Resilience', 0.013653448782861233)","('Ecological_Impacts', 0.012719369493424892)","([], 0.8905837535858154)","('NON-ESG', 0.013653448782861233)","('NON-ESG', 0.012719369493424892)"
Line 3,"The content of this report is presented in line with our CSR strategy, which is focused on four key pillars: Operations, Colleagues, Communities and Environment.","('Human_Rights_And_Community_Relations', 0.8609153032302856)","('Ecological_Impacts', 0.03864828497171402)","('Business_Model_Resilience', 0.012138217687606812)","([], 0.8609153032302856)","('NON-ESG', 0.03864828497171402)","('NON-ESG', 0.012138217687606812)"
Line 4,"This publication covers Thermo Fisher Scientifics CSR programs, achievements and performance for our fiscal year from January 1 to December 31, 2021.","('Management_Of_Legal_And_Regulatory_Framework', 0.6628588438034058)","('Business_Model_Resilience', 0.06215636432170868)","('Human_Rights_And_Community_Relations', 0.048738181591033936)","([], 0.6628588438034058)","('NON-ESG', 0.06215636432170868)","('NON-ESG', 0.048738181591033936)"
Line 5,"On December 8, 2021, the Company acquired PPD, Inc., a leading global provider of clinical research services to the pharma and biotech industry.","('Business_Model_Resilience', 0.18816623091697693)","('Customer_Welfare', 0.18640226125717163)","('Supply_Chain_Management', 0.11419786512851715)","('NON-ESG', 0.18816623091697693)","('NON-ESG', 0.18640226125717163)","('NON-ESG', 0.11419786512851715)"
Line 6,"Unless otherwise noted, PPD data is not included in the scope of this report.","('Management_Of_Legal_And_Regulatory_Framework', 0.14118355512619019)","('GHG_Emissions', 0.12236980348825455)","('Energy_Management', 0.11922480911016464)","('NON-ESG', 0.14118355512619019)","('NON-ESG', 0.12236980348825455)","('NON-ESG', 0.11922480911016464)"
Line 7,"To prepare this report, we considered internationally recognized standards, guidelines and frameworks and have included a reference index for each of the following: United Nations Sustainable Development Goals (SDGs), the Global Reporting Initiative (GRI) Standards, the Value Reporting Foundations SASB Standards for Medical Equipment and Devices, and the Task Force on Climate- Related Financial Disclosures (TCFD).","('Physical_Impacts_Of_Climate_Change', 0.3867284953594208)","('Management_Of_Legal_And_Regulatory_Framework', 0.18943336606025696)","('Business_Model_Resilience', 0.06469319760799408)","('NON-ESG', 0.3867284953594208)","('NON-ESG', 0.18943336606025696)","('NON-ESG', 0.06469319760799408)"
Line 8,"In line with our commitment to transparency, we are continuously working to enhance our reporting and disclosure.","('Business_Ethics', 0.9529655575752258)","('Data_Security', 0.005494567099958658)","('Customer_Privacy', 0.004483846481889486)","(['Business Ethics'], 0.9529655575752258)","('NON-ESG', 0.005494567099958658)","('NON-ESG', 0.004483846481889486)"
Line 9,See Appendices 1 through 5 for more information.,"('Management_Of_Legal_And_Regulatory_Framework', 0.2290894091129303)","('Data_Security', 0.1484730839729309)","('Customer_Privacy', 0.05601349472999573)","('NON-ESG', 0.2290894091129303)","('NON-ESG', 0.1484730839729309)","('NON-ESG', 0.05601349472999573)"
Line 10,"To provide further visibility to all our stakeholders, this year we have incorporated additions and changes to our reporting content and structure.","('Management_Of_Legal_And_Regulatory_Framework', 0.7924553751945496)","('Business_Model_Resilience', 0.03672176972031593)","('Director_Removal', 0.01863912306725979)","([], 0.7924553751945496)","('NON-ESG', 0.03672176972031593)","('NON-ESG', 0.01863912306725979)"
Line 11,"Our governance information can now be found in the section Our CSR commitment , where we also cover sustainable finance.","('Management_Of_Legal_And_Regulatory_Framework', 0.7820286750793457)","('Human_Rights_And_Community_Relations', 0.060672491788864136)","('Business_Model_Resilience', 0.01664242148399353)","([], 0.7820286750793457)","('NON-ESG', 0.060672491788864136)","('NON-ESG', 0.01664242148399353)"
Line 12,"We have added a section titled Data summary , which presents our consolidated key performance indicators for our fiscal year 2021.","('Systemic_Risk_Management', 0.3900628089904785)","('Business_Model_Resilience', 0.3158942461013794)","('Management_Of_Legal_And_Regulatory_Framework', 0.04927327483892441)","('NON-ESG', 0.3900628089904785)","('NON-ESG', 0.3158942461013794)","('NON-ESG', 0.04927327483892441)"
Line 13,"For select environmental performance metrics, Bureau Veritas has provided independent external assurance.","('Business_Model_Resilience', 0.1987704634666443)","('Supply_Chain_Management', 0.1312931776046753)","('Systemic_Risk_Management', 0.08540289849042892)","('NON-ESG', 0.1987704634666443)","('NON-ESG', 0.1312931776046753)","('NON-ESG', 0.08540289849042892)"
