,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,12Foreword on Impact Current ESG evaluation methodologies are fundamentally flawed.,"('Competitive_Behavior', 0.44012942910194397)","('Systemic_Risk_Management', 0.15708713233470917)","('Business_Ethics', 0.09170780330896378)","('NON-ESG', 0.44012942910194397)","('NON-ESG', 0.15708713233470917)","('NON-ESG', 0.09170780330896378)"
Line 2,"To achieve acutely -needed change, ESG needs to evolve to measure real - world Impact .","('Business_Model_Resilience', 0.7100871205329895)","('Physical_Impacts_Of_Climate_Change', 0.07528194785118103)","('Systemic_Risk_Management', 0.04836348071694374)","(['Human Capital Development', 'Innovation Management'], 0.7100871205329895)","('NON-ESG', 0.07528194785118103)","('NON-ESG', 0.04836348071694374)"
Line 3,"What ESG measures today: Investment Risk Current environmental, social and governance (ESG) reporting does not measure the scope of positive impact on the world.","('Business_Model_Resilience', 0.3218414783477783)","('Systemic_Risk_Management', 0.2194748818874359)","('Management_Of_Legal_And_Regulatory_Framework', 0.1154150739312172)","('NON-ESG', 0.3218414783477783)","('NON-ESG', 0.2194748818874359)","('NON-ESG', 0.1154150739312172)"
Line 4,"Instead, it focuses on measuring the dollar value of risk / return.","('Systemic_Risk_Management', 0.5553879737854004)","('Competitive_Behavior', 0.2317935973405838)","('Business_Model_Resilience', 0.07039755582809448)","([], 0.5553879737854004)","('NON-ESG', 0.2317935973405838)","('NON-ESG', 0.07039755582809448)"
Line 5,"Individual investors who entrust their money to ESG funds of large investment institutions are perhaps unaware that their money can be used to buy shares of companies that make climate change worse, not better.","('Physical_Impacts_Of_Climate_Change', 0.9491757154464722)","('Business_Model_Resilience', 0.007756090257316828)","('Supply_Chain_Management', 0.005200500600039959)","(['Climate Strategy'], 0.9491757154464722)","('NON-ESG', 0.007756090257316828)","('NON-ESG', 0.005200500600039959)"
Line 6,An obvious example of this is measuring the impact of the automotive industry.,"('Supply_Chain_Management', 0.3510586619377136)","('Business_Model_Resilience', 0.17892606556415558)","('Systemic_Risk_Management', 0.15477141737937927)","('NON-ESG', 0.3510586619377136)","('NON-ESG', 0.17892606556415558)","('NON-ESG', 0.15477141737937927)"
Line 7,"One might think that the more electric vehicles an automaker sells, as a percentage of total volumes, the better its ESG score.","('Energy_Management', 0.5072287321090698)","('Competitive_Behavior', 0.1108192652463913)","('Product_Design_And_Lifecycle_Management', 0.07330267876386642)","(['Operational Eco-Efficiency', 'Low Carbon Strategy'], 0.5072287321090698)","('NON-ESG', 0.1108192652463913)","('NON-ESG', 0.07330267876386642)"
Line 8,"However, this is not the case.","('Competitive_Behavior', 0.22319592535495758)","('Management_Of_Legal_And_Regulatory_Framework', 0.1759868562221527)","('Systemic_Risk_Management', 0.07791551202535629)","('NON-ESG', 0.22319592535495758)","('NON-ESG', 0.1759868562221527)","('NON-ESG', 0.07791551202535629)"
Line 9,"As long as a company continues to slightly decrease emissions of its manufacturing operations while churning out gas -guzzlers, its ESG ratings are likely to go up.","('GHG_Emissions', 0.8422810435295105)","('Energy_Management', 0.0459437370300293)","('Air_Quality', 0.027452539652585983)","(['Operational Eco-Efficiency', 'Low Carbon Strategy'], 0.8422810435295105)","('NON-ESG', 0.0459437370300293)","('NON-ESG', 0.027452539652585983)"
Line 10,"Vehicle use -phase emissions, which represent 80 -90% of total automotive emissions (included in Scope 3 of ESG reporting), tend to be misreported due to the use of unrealistic assumptions or not reported at all.","('Air_Quality', 0.6252610683441162)","('GHG_Emissions', 0.23958100378513336)","('Energy_Management', 0.04604291543364525)","(['Low Carbon Strategy'], 0.6252610683441162)","('NON-ESG', 0.23958100378513336)","('NON-ESG', 0.04604291543364525)"
Line 11,Its easy to see why some oil & gas companies rank higher than T esla on Environmental Impact.,"('Physical_Impacts_Of_Climate_Change', 0.3656538128852844)","('Business_Model_Resilience', 0.16354836523532867)","('Supply_Chain_Management', 0.07395423203706741)","('NON-ESG', 0.3656538128852844)","('NON-ESG', 0.16354836523532867)","('NON-ESG', 0.07395423203706741)"
Line 12,The most striking feature of the [ESG rating] system is how rarely a companys record on climate change seems to get in the way of its climb up the ESG ladder or even to factor at all.,"('Physical_Impacts_Of_Climate_Change', 0.9164952039718628)","('Business_Model_Resilience', 0.02500687912106514)","('Systemic_Risk_Management', 0.013067517429590225)","(['Climate Strategy'], 0.9164952039718628)","('NON-ESG', 0.02500687912106514)","('NON-ESG', 0.013067517429590225)"
Line 13,"ESG Mirage : Bloomberg BusinessweekWhat ESG needs to become: Company Impact We need to create a system that measures and scrutinizes actual positive impact on our planet, so unsuspecting individual investors can choose to support companies that can make and prioritize positive change.","('Business_Model_Resilience', 0.6182778477668762)","('Systemic_Risk_Management', 0.2061784714460373)","('Physical_Impacts_Of_Climate_Change', 0.023212222382426262)","(['Human Capital Development', 'Innovation Management'], 0.6182778477668762)","('NON-ESG', 0.2061784714460373)","('NON-ESG', 0.023212222382426262)"
Line 14,"On the product front, companies should be required to use real-world data wherever remotely feasible and make it clear when estimates are provided instead of real -world figures.","('Competitive_Behavior', 0.3144680857658386)","('Systemic_Risk_Management', 0.12019312381744385)","('Management_Of_Legal_And_Regulatory_Framework', 0.06582539528608322)","('NON-ESG', 0.3144680857658386)","('NON-ESG', 0.12019312381744385)","('NON-ESG', 0.06582539528608322)"
Line 15,"An example of this is vehicle use -phase emissions, accounting for the vast majority of lifecycle emissions.","('Air_Quality', 0.31207573413848877)","('GHG_Emissions', 0.26990774273872375)","('Energy_Management', 0.22959481179714203)","('NON-ESG', 0.31207573413848877)","('NON-ESG', 0.26990774273872375)","('NON-ESG', 0.22959481179714203)"
Line 16,Automakers' estimates on lifetime vehicle mileage and lifetime fuel consumption vary dramatically and almost never reflect real -world data.,"('Energy_Management', 0.9770063757896423)","('Air_Quality', 0.0025292516220360994)","('Water_And_Wastewater_Management', 0.0018510048976168036)","(['Operational Eco-Efficiency', 'Low Carbon Strategy'], 0.9770063757896423)","('NON-ESG', 0.0025292516220360994)","('NON-ESG', 0.0018510048976168036)"
Line 17,"Automakers often have access to this data, but they dont disclose it.","('Data_Security', 0.4517196714878082)","('Customer_Privacy', 0.4148499071598053)","('Waste_And_Hazardous_Materials_Management', 0.014213345013558865)","('NON-ESG', 0.4517196714878082)","('NON-ESG', 0.4148499071598053)","('NON-ESG', 0.014213345013558865)"
Line 18,"When it comes to a companys employees, it is essential that theyre treated well, with a system in place to prevent discrimination of any kind, that they have a safe workplace andthat they are rewarded appropriately, with significant upside if their employer does well.","('Employee_Engagement_Inclusion_And_Diversity', 0.6139518022537231)","('Business_Ethics', 0.1062420979142189)","('Labor_Practices', 0.09038074314594269)","(['Talent Attraction & Retention'], 0.6139518022537231)","('NON-ESG', 0.1062420979142189)","('NON-ESG', 0.09038074314594269)"
Line 19,Many ESG ratings evaluate: Does this ESG issue impact the profitability of the company?,"('Systemic_Risk_Management', 0.5012094974517822)","('Business_Model_Resilience', 0.30229705572128296)","('Competitive_Behavior', 0.05538840591907501)","([], 0.5012094974517822)","('NON-ESG', 0.30229705572128296)","('NON-ESG', 0.05538840591907501)"
Line 20,We need a system that evaluates: Does the growth of this company have a positive impact on the world?,"('Business_Model_Resilience', 0.6790916323661804)","('Systemic_Risk_Management', 0.11658269166946411)","('Competitive_Behavior', 0.030491571873426437)","(['Human Capital Development', 'Innovation Management'], 0.6790916323661804)","('NON-ESG', 0.11658269166946411)","('NON-ESG', 0.030491571873426437)"
Line 21,"This evolution of ESG needs to be championed by institutional investors, rating agencies, public companies and the general public.","('Systemic_Risk_Management', 0.43472999334335327)","('Management_Of_Legal_And_Regulatory_Framework', 0.18277780711650848)","('Competitive_Behavior', 0.08667651563882828)","('NON-ESG', 0.43472999334335327)","('NON-ESG', 0.18277780711650848)","('NON-ESG', 0.08667651563882828)"
Line 22,"As the world needs to strive for a substantial positive impact, we wont be referring to ESG in this report.","('Business_Model_Resilience', 0.45763006806373596)","('Systemic_Risk_Management', 0.17827731370925903)","('Physical_Impacts_Of_Climate_Change', 0.05833817645907402)","('NON-ESG', 0.45763006806373596)","('NON-ESG', 0.17827731370925903)","('NON-ESG', 0.05833817645907402)"
Line 23,"Instead, well talk about Impact.3 In 2021, the global fleet of Tesla vehicles, energy storage and solar panels enabled our customers to avoid emitting 8.4 million metric tons of CO2e The 6.8 million metric tons of vehicle CO2e savings estimate is based on the net CO2e savings during the use -phase of a Tesla vehicle compared to an ICE vehicle with a real -world fuel economy of ~24 mpg (of which 0.9 million metric tons was avoided through annual renewables matching for the global Supercharger network and home charging in California).","('Energy_Management', 0.9402561187744141)","('Product_Design_And_Lifecycle_Management', 0.016006914898753166)","('GHG_Emissions', 0.005255755037069321)","(['Operational Eco-Efficiency', 'Low Carbon Strategy'], 0.9402561187744141)","('NON-ESG', 0.016006914898753166)","('NON-ESG', 0.005255755037069321)"
