,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 Corporate Citizenship Report1 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT ENVIRONMENTAL SUSTAINABILITY RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES Table of contents -CEO letter 2 -TI at a glance 3 -Our commitment 4 Our approach to corporate citizenship Report overview -Environmental sustainability 5 Environmental commitments Greenhouse gas emissionsEnergyWater managementWaste and material managementAir emissionsProduct quality and longevityProduct logistics-Responsible business practices 20 Ethics, compliance and code of conductGovernanceSupply-chain responsibilityConflict mineralsLabor and human rightsRisk management and business continuityInformation protectionPublic policy -Workplace 30 Workforce representationDiversity and inclusionRecruitmentDevelopmentCompensation and benefitsSafety and health-Giving and volunteering 40 GivingVolunteering -Appendices 47 Task Force on Climate-Related Financial Disclosures Sustainability Accounting Standards BoardGlobal Reporting InitiativeAssurance statement2 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES ENVIRONMENTAL SUSTAINABILITY Made steady and consistent Black and Hispanic/Latino/x representation gains across the U.","('GHG_Emissions', 0.7649320363998413)","('Ecological_Impacts', 0.05833705887198448)","('Human_Rights_And_Community_Relations', 0.04830251261591911)","(['Operational Eco-Efficiency'], 0.7649320363998413)","('NON-ESG', 0.05833705887198448)","('NON-ESG', 0.04830251261591911)"
Line 2,"2021 Corporate Citizenship Report1 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT ENVIRONMENTAL SUSTAINABILITY RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES Table of contents -CEO letter 2 -TI at a glance 3 -Our commitment 4 Our approach to corporate citizenship Report overview -Environmental sustainability 5 Environmental commitments Greenhouse gas emissionsEnergyWater managementWaste and material managementAir emissionsProduct quality and longevityProduct logistics-Responsible business practices 20 Ethics, compliance and code of conductGovernanceSupply-chain responsibilityConflict mineralsLabor and human rightsRisk management and business continuityInformation protectionPublic policy -Workplace 30 Workforce representationDiversity and inclusionRecruitmentDevelopmentCompensation and benefitsSafety and health-Giving and volunteering 40 GivingVolunteering -Appendices 47 Task Force on Climate-Related Financial Disclosures Sustainability Accounting Standards BoardGlobal Reporting InitiativeAssurance statement2 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES ENVIRONMENTAL SUSTAINABILITY Made steady and consistent Black and Hispanic/Latino/x representation gains across the U.","('Business_Ethics', 0.7509199380874634)","('Systemic_Risk_Management', 0.04266590252518654)","('Management_Of_Legal_And_Regulatory_Framework', 0.03751422092318535)","([], 0.7509199380874634)","('NON-ESG', 0.04266590252518654)","('NON-ESG', 0.03751422092318535)"
Line 3,"2021 Corporate Citizenship Report1 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT ENVIRONMENTAL SUSTAINABILITY RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES Table of contents -CEO letter 2 -TI at a glance 3 -Our commitment 4 Our approach to corporate citizenship Report overview -Environmental sustainability 5 Environmental commitments Greenhouse gas emissionsEnergyWater managementWaste and material managementAir emissionsProduct quality and longevityProduct logistics-Responsible business practices 20 Ethics, compliance and code of conductGovernanceSupply-chain responsibilityConflict mineralsLabor and human rightsRisk management and business continuityInformation protectionPublic policy -Workplace 30 Workforce representationDiversity and inclusionRecruitmentDevelopmentCompensation and benefitsSafety and health-Giving and volunteering 40 GivingVolunteering -Appendices 47 Task Force on Climate-Related Financial Disclosures Sustainability Accounting Standards BoardGlobal Reporting InitiativeAssurance statement2 Texas Instruments 2022 2021 Corporate Citizenship Report TABLE OF CONTENTS CEO LETTER TI AT A GLANCE OUR COMMITMENT RESPONSIBLE BUSINESS PRACTICES WORKPLACE GIVING & VOLUNTEERING APPENDICES ENVIRONMENTAL SUSTAINABILITY Made steady and consistent Black and Hispanic/Latino/x representation gains across the U.","('Employee_Engagement_Inclusion_And_Diversity', 0.9648681282997131)","('Business_Model_Resilience', 0.0032840867061167955)","('Human_Rights_And_Community_Relations', 0.002552969381213188)","(['Talent Attraction & Retention'], 0.9648681282997131)","('NON-ESG', 0.0032840867061167955)","('NON-ESG', 0.002552969381213188)"
Line 4,S.employee population.,"('Employee_Engagement_Inclusion_And_Diversity', 0.6576601266860962)","('Labor_Practices', 0.13161486387252808)","('Employee_Health_And_Safety', 0.04121973365545273)","(['Talent Attraction & Retention'], 0.6576601266860962)","('NON-ESG', 0.13161486387252808)","('NON-ESG', 0.04121973365545273)"
Line 5,"Black and Hispanic/Latino/x employees compriseLetter from the CEO Rich Templeton Chairman, President and CEOFor decades, Texas Instruments has operated with a passion to create a better world by making electronics more affordable through semiconductors.","('Employee_Engagement_Inclusion_And_Diversity', 0.968946099281311)","('Business_Model_Resilience', 0.0021651326678693295)","('Customer_Welfare', 0.002105817897245288)","(['Talent Attraction & Retention'], 0.968946099281311)","('NON-ESG', 0.0021651326678693295)","('NON-ESG', 0.002105817897245288)"
Line 6,"With each generation, technology has become more reliable, more affordable and lower in power, with semiconductors used by a growing number of customers and markets.","('Product_Design_And_Lifecycle_Management', 0.5163953900337219)","('Energy_Management', 0.2845342457294464)","('Supply_Chain_Management', 0.027318095788359642)","(['Product Stewardship'], 0.5163953900337219)","('NON-ESG', 0.2845342457294464)","('NON-ESG', 0.027318095788359642)"
Line 7,Our founders had the foresight to know that building a great company required a special culture to thrive for the long term.,"('Business_Model_Resilience', 0.6269763112068176)","('Product_Design_And_Lifecycle_Management', 0.05906626209616661)","('Employee_Engagement_Inclusion_And_Diversity', 0.05548883229494095)","(['Human Capital Development', 'Innovation Management'], 0.6269763112068176)","('NON-ESG', 0.05906626209616661)","('NON-ESG', 0.05548883229494095)"
Line 8,"For many years, weve run our business with three overarching ambitions in mind: First, we will act like owners who will own the company for decades.","('Business_Model_Resilience', 0.4306749701499939)","('Director_Removal', 0.0937173068523407)","('Competitive_Behavior', 0.07829248160123825)","('NON-ESG', 0.4306749701499939)","('NON-ESG', 0.0937173068523407)","('NON-ESG', 0.07829248160123825)"
Line 9,"Second, we will adapt and succeed in a world thats ever changing.","('Business_Model_Resilience', 0.5922749638557434)","('Employee_Engagement_Inclusion_And_Diversity', 0.047000039368867874)","('Ecological_Impacts', 0.04032519459724426)","(['Human Capital Development', 'Innovation Management'], 0.5922749638557434)","('NON-ESG', 0.047000039368867874)","('NON-ESG', 0.04032519459724426)"
Line 10,"And third, we will be a company that were personally proud to be a part of and would want as our neighbor.","('Business_Model_Resilience', 0.19833587110042572)","('Product_Design_And_Lifecycle_Management', 0.1252000629901886)","('Employee_Engagement_Inclusion_And_Diversity', 0.11849275231361389)","('NON-ESG', 0.19833587110042572)","('NON-ESG', 0.1252000629901886)","('NON-ESG', 0.11849275231361389)"
