,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"connec tivity ESG Summary July 2022 The value of connectivity Live true Do the right thing, no compromise.","('Business_Ethics', 0.49084019660949707)","('Systemic_Risk_Management', 0.05689237266778946)","('Management_Of_Legal_And_Regulatory_Framework', 0.05386972799897194)","('NON-ESG', 0.49084019660949707)","('NON-ESG', 0.05689237266778946)","('NON-ESG', 0.05386972799897194)"
Line 2,This underpins all our other values and it begins with how we treat our customers and each other.,"('Competitive_Behavior', 0.21873271465301514)","('Business_Ethics', 0.20415671169757843)","('Human_Rights_And_Community_Relations', 0.10569367557764053)","('NON-ESG', 0.21873271465301514)","('NON-ESG', 0.20415671169757843)","('NON-ESG', 0.10569367557764053)"
Line 3,None of us is perfect.,"('Business_Ethics', 0.13799935579299927)","('Competitive_Behavior', 0.08942558616399765)","('Customer_Welfare', 0.07529245316982269)","('NON-ESG', 0.13799935579299927)","('NON-ESG', 0.08942558616399765)","('NON-ESG', 0.07529245316982269)"
Line 4,"But when we make a mistake, we have the character and courage to make it right and learn from it.","('Business_Ethics', 0.3838600516319275)","('Human_Rights_And_Community_Relations', 0.0879288986325264)","('Employee_Health_And_Safety', 0.08341322094202042)","('NON-ESG', 0.3838600516319275)","('NON-ESG', 0.0879288986325264)","('NON-ESG', 0.08341322094202042)"
Line 5,Think big Innovate and get there first.,"('Business_Model_Resilience', 0.6117265224456787)","('Product_Design_And_Lifecycle_Management', 0.08079099655151367)","('Supply_Chain_Management', 0.03775491565465927)","(['Human Capital Development'], 0.6117265224456787)","('NON-ESG', 0.08079099655151367)","('NON-ESG', 0.03775491565465927)"
Line 6,AT&T is where people come to invent the future.,"('Product_Design_And_Lifecycle_Management', 0.3748961389064789)","('Business_Model_Resilience', 0.1684792935848236)","('Competitive_Behavior', 0.07587460428476334)","('NON-ESG', 0.3748961389064789)","('NON-ESG', 0.1684792935848236)","('NON-ESG', 0.07587460428476334)"
Line 7,Thats been our legacy since the very beginning.,"('Human_Rights_And_Community_Relations', 0.1722913682460785)","('Employee_Engagement_Inclusion_And_Diversity', 0.10946720838546753)","('Business_Model_Resilience', 0.08285520225763321)","('NON-ESG', 0.1722913682460785)","('NON-ESG', 0.10946720838546753)","('NON-ESG', 0.08285520225763321)"
Line 8,"In everything we do, we aim to set the pace for everyone else.","('Competitive_Behavior', 0.16496756672859192)","('Business_Model_Resilience', 0.1258702278137207)","('Employee_Engagement_Inclusion_And_Diversity', 0.1181834265589714)","('NON-ESG', 0.16496756672859192)","('NON-ESG', 0.1258702278137207)","('NON-ESG', 0.1181834265589714)"
Line 9,"Pursue excellence In everything, every time.","('Employee_Engagement_Inclusion_And_Diversity', 0.2824142277240753)","('Access_And_Affordability', 0.1992805153131485)","('Business_Model_Resilience', 0.05809691548347473)","('NON-ESG', 0.2824142277240753)","('NON-ESG', 0.1992805153131485)","('NON-ESG', 0.05809691548347473)"
Line 10,We work tirelessly to make sure that everything we deliver represents our very best.,"('Product_Design_And_Lifecycle_Management', 0.5950007438659668)","('Business_Model_Resilience', 0.0771554559469223)","('Employee_Engagement_Inclusion_And_Diversity', 0.030155913904309273)","([], 0.5950007438659668)","('NON-ESG', 0.0771554559469223)","('NON-ESG', 0.030155913904309273)"
Line 11,"We may not be perfect, but we always learn from our experiences and constantly improve.","('Employee_Engagement_Inclusion_And_Diversity', 0.3785043954849243)","('Access_And_Affordability', 0.13960997760295868)","('Employee_Health_And_Safety', 0.07680293917655945)","('NON-ESG', 0.3785043954849243)","('NON-ESG', 0.13960997760295868)","('NON-ESG', 0.07680293917655945)"
Line 12,Be there When customers & colleagues need you most.,"('Employee_Engagement_Inclusion_And_Diversity', 0.1319505125284195)","('Business_Model_Resilience', 0.1034102812409401)","('Product_Design_And_Lifecycle_Management', 0.09950955957174301)","('NON-ESG', 0.1319505125284195)","('NON-ESG', 0.1034102812409401)","('NON-ESG', 0.09950955957174301)"
Line 13,"W hether its restoring service during a natural disaster or helping a community recover from hardship, thats when were at our best.","('Critical_Incident_Risk_Management', 0.9290259480476379)","('Employee_Health_And_Safety', 0.023547545075416565)","('Physical_Impacts_Of_Climate_Change', 0.005266397725790739)","(['Risk & Crisis Management'], 0.9290259480476379)","('NON-ESG', 0.023547545075416565)","('NON-ESG', 0.005266397725790739)"
Line 14,Stand for equality Speak with your actions.,"('Human_Rights_And_Community_Relations', 0.26281657814979553)","('Employee_Engagement_Inclusion_And_Diversity', 0.17838044464588165)","('Labor_Practices', 0.10151616483926773)","('NON-ESG', 0.26281657814979553)","('NON-ESG', 0.17838044464588165)","('NON-ESG', 0.10151616483926773)"
Line 15,"Whatever a persons race, ethnicity, gender, sexual orientation, religion, physical ability or other characteristic, we respect and value them.","('Employee_Engagement_Inclusion_And_Diversity', 0.9705041646957397)","('Employee_Health_And_Safety', 0.0027486183680593967)","('Customer_Privacy', 0.002646651118993759)","([], 0.9705041646957397)","('NON-ESG', 0.0027486183680593967)","('NON-ESG', 0.002646651118993759)"
Line 16,We know that building a greater understanding of our differences makes us stronger.,"('Human_Rights_And_Community_Relations', 0.34151431918144226)","('Employee_Engagement_Inclusion_And_Diversity', 0.21239067614078522)","('Competitive_Behavior', 0.0652727410197258)","('NON-ESG', 0.34151431918144226)","('NON-ESG', 0.21239067614078522)","('NON-ESG', 0.0652727410197258)"
Line 17,Make a difference Impact your world.,"('Human_Rights_And_Community_Relations', 0.4691292345523834)","('Business_Model_Resilience', 0.1341424137353897)","('Employee_Engagement_Inclusion_And_Diversity', 0.07007372379302979)","('NON-ESG', 0.4691292345523834)","('NON-ESG', 0.1341424137353897)","('NON-ESG', 0.07007372379302979)"
Line 18,"This defines who we are, both as a company and as individuals.","('Director_Removal', 0.19555741548538208)","('Employee_Engagement_Inclusion_And_Diversity', 0.16812963783740997)","('Business_Model_Resilience', 0.15292970836162567)","('NON-ESG', 0.19555741548538208)","('NON-ESG', 0.16812963783740997)","('NON-ESG', 0.15292970836162567)"
Line 19,We can each make a difference in our communities and for the people around us.,"('Human_Rights_And_Community_Relations', 0.9436744451522827)","('Access_And_Affordability', 0.00602205703034997)","('Employee_Engagement_Inclusion_And_Diversity', 0.00594284338876605)","([], 0.9436744451522827)","('NON-ESG', 0.00602205703034997)","('NON-ESG', 0.00594284338876605)"
Line 20,"AT&T Values The AT&T ESG reporting website provides comprehensive ESG disclosure additional to this ESG Summary:Contents This report reflects the global operations of AT&T, Inc., except where otherwise noted.","('Business_Model_Resilience', 0.4296625852584839)","('Systemic_Risk_Management', 0.3010238707065582)","('Supply_Chain_Management', 0.029997441917657852)","('NON-ESG', 0.4296625852584839)","('NON-ESG', 0.3010238707065582)","('NON-ESG', 0.029997441917657852)"
Line 21,"In July 2021, we completed a transaction with TPG Capital involving our North America video business including DIRECTV, AT&T TV and U-verse to form a new company called DIRECTV.","('Business_Model_Resilience', 0.344705730676651)","('Competitive_Behavior', 0.1481804996728897)","('Systemic_Risk_Management', 0.11644545942544937)","('NON-ESG', 0.344705730676651)","('NON-ESG', 0.1481804996728897)","('NON-ESG', 0.11644545942544937)"
Line 22,"In November 2021, we completed the sale of our Latin America video operations, Vrio, to Grupo Werthein.","('Business_Model_Resilience', 0.529754638671875)","('Systemic_Risk_Management', 0.10512204468250275)","('Competitive_Behavior', 0.07433199137449265)","(['Human Capital Development'], 0.529754638671875)","('NON-ESG', 0.10512204468250275)","('NON-ESG', 0.07433199137449265)"
Line 23,"In April 2022, we completed a transaction to combine our WarnerMedia segment, subject to certain exceptions, with a subsidiary of Discovery Inc.","('Business_Model_Resilience', 0.30329927802085876)","('Systemic_Risk_Management', 0.1123773530125618)","('Director_Removal', 0.0856822207570076)","('NON-ESG', 0.30329927802085876)","('NON-ESG', 0.1123773530125618)","('NON-ESG', 0.0856822207570076)"
Line 24,"In June 2022, we completed the sale of the programmatic advertising marketplace component of Xandr Inc to Microsoft.","('Competitive_Behavior', 0.4380798935890198)","('Customer_Welfare', 0.13287483155727386)","('Management_Of_Legal_And_Regulatory_Framework', 0.06680123507976532)","('NON-ESG', 0.4380798935890198)","('NON-ESG', 0.13287483155727386)","('NON-ESG', 0.06680123507976532)"
