,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1," Verizon 2022 ESG Report About this report This ESG report details our performance on ESG topics and contains non-financial disclosures covering the period from January 1, 2022, through December 31, 2022, unless otherwise stated.","('Business_Model_Resilience', 0.4816194176673889)","('Systemic_Risk_Management', 0.17883405089378357)","('Management_Of_Legal_And_Regulatory_Framework', 0.07409906387329102)","('NON-ESG', 0.4816194176673889)","('NON-ESG', 0.17883405089378357)","('NON-ESG', 0.07409906387329102)"
Line 2,The inclusion of information contained in this report should not be construed as a characterization of the materiality or financial impact of that information.,"('Management_Of_Legal_And_Regulatory_Framework', 0.44419610500335693)","('Business_Model_Resilience', 0.11652986705303192)","('Systemic_Risk_Management', 0.07486896216869354)","('NON-ESG', 0.44419610500335693)","('NON-ESG', 0.11652986705303192)","('NON-ESG', 0.07486896216869354)"
Line 3,Our financial disclosures for this period can be found in our 2022 Annual Report on Form 10-K .,"('Management_Of_Legal_And_Regulatory_Framework', 0.34907886385917664)","('Business_Model_Resilience', 0.147504985332489)","('Systemic_Risk_Management', 0.1444089412689209)","('NON-ESG', 0.34907886385917664)","('NON-ESG', 0.147504985332489)","('NON-ESG', 0.1444089412689209)"
Line 4,"This report covers all of Verizons operations included in the 2022 financial statements, unless otherwise stated.","('Systemic_Risk_Management', 0.46863600611686707)","('Business_Model_Resilience', 0.26011234521865845)","('Physical_Impacts_Of_Climate_Change', 0.0444956049323082)","('NON-ESG', 0.46863600611686707)","('NON-ESG', 0.26011234521865845)","('NON-ESG', 0.0444956049323082)"
Line 5,"On November 23, 2021, we completed the acquisition of TracFone Wireless, Inc. (TracFone).","('Business_Model_Resilience', 0.2797314524650574)","('Competitive_Behavior', 0.09815827012062073)","('Systemic_Risk_Management', 0.08352872729301453)","('NON-ESG', 0.2797314524650574)","('NON-ESG', 0.09815827012062073)","('NON-ESG', 0.08352872729301453)"
Line 6,"Unless otherwise stated, metrics relating to 2021 exclude TracFone results and metrics relating to 2022 include TracFone results.","('Management_Of_Legal_And_Regulatory_Framework', 0.5055239200592041)","('Competitive_Behavior', 0.08320074528455734)","('Systemic_Risk_Management', 0.07509049028158188)","([], 0.5055239200592041)","('NON-ESG', 0.08320074528455734)","('NON-ESG', 0.07509049028158188)"
Line 7,"Where relevant, data measurement techniques, the bases of calculations and changes in the basis for reporting or reclassifications of previously reported data are included as footnotes.","('Management_Of_Legal_And_Regulatory_Framework', 0.20837615430355072)","('Customer_Privacy', 0.17239105701446533)","('Employee_Engagement_Inclusion_And_Diversity', 0.06209174916148186)","('NON-ESG', 0.20837615430355072)","('NON-ESG', 0.17239105701446533)","('NON-ESG', 0.06209174916148186)"
Line 8,"This reports content is grounded in our ESG impact assessment and has been informed by the SASB Standards, Global Reporting Initiative (GRI) and Task Force on Climate-related Financial Disclosures (TCFD).","('Physical_Impacts_Of_Climate_Change', 0.8808000683784485)","('Business_Model_Resilience', 0.04119245707988739)","('GHG_Emissions', 0.011557378806173801)","(['Climate Strategy'], 0.8808000683784485)","('NON-ESG', 0.04119245707988739)","('NON-ESG', 0.011557378806173801)"
Line 9,"Verizon has also published a standalone TCFD report , which provides more information on how we address climate-related risks and opportunities.","('Physical_Impacts_Of_Climate_Change', 0.9283736348152161)","('Business_Model_Resilience', 0.01640547811985016)","('Systemic_Risk_Management', 0.012651999481022358)","(['Climate Strategy'], 0.9283736348152161)","('NON-ESG', 0.01640547811985016)","('NON-ESG', 0.012651999481022358)"
Line 10,Data assurance.,"('Data_Security', 0.681381106376648)","('Customer_Privacy', 0.07160051167011261)","('Systemic_Risk_Management', 0.020830225199460983)","(['Information Security Cybersecurity & System Availability', 'Network Reliability'], 0.681381106376648)","('NON-ESG', 0.07160051167011261)","('NON-ESG', 0.020830225199460983)"
