,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"2021 Environmental, Social & Governance Report Contents Letter from our Chairman and CEO 1 FY21 Visa ESG Performance Highlights 2 About this Report 3 Our Company Corporate Profile 5 Our Environmental, Social & Governance Approach 6 Supporting the United Nations Sustainable Development Goals 8 Empowering People, Communities & Economies Small & Micro Business 10 Digital Equity & Inclusion 12 Community Support 13 Securing Commerce & Protecting Customers Payments Security 17 Cybersecurity at Visa 19 Data Privacy 20 Responsible Data Use 21 Transaction Integrity 22 Investing in Our People Inclusion & Diversity 24 Employee Learning & Development 28 Employee Engagement 30 Employee Wellbeing 31 Employee Benefits 32 Employee Safety 33 Protecting the Planet Sustainable Operations 36 Sustainable Commerce 41 Alignment with TCFD 43 Operating Responsibly Corporate Governance 45 Ethics & Compliance 46 Engaging with Governments 47 Tax Compliance & Governance 48 Responsible Sourcing 48 Human Rights 49 Appendix GHG Emissions Verification Statement 52 ESG Framework Map 53 2021 Environmental, Social & Governance Report Letter from our Chairman and CEO The past few years have accelerated change in many facets of our liveshow we work and do business, how we communicate and what we prioritize and value.","('Human_Rights_And_Community_Relations', 0.9450047612190247)","('Access_And_Affordability', 0.005245327018201351)","('Ecological_Impacts', 0.004982090555131435)","(['Environmental Policy & Management Systems'], 0.9450047612190247)","('NON-ESG', 0.005245327018201351)","('NON-ESG', 0.004982090555131435)"
Line 2,"2021 Environmental, Social & Governance Report Contents Letter from our Chairman and CEO 1 FY21 Visa ESG Performance Highlights 2 About this Report 3 Our Company Corporate Profile 5 Our Environmental, Social & Governance Approach 6 Supporting the United Nations Sustainable Development Goals 8 Empowering People, Communities & Economies Small & Micro Business 10 Digital Equity & Inclusion 12 Community Support 13 Securing Commerce & Protecting Customers Payments Security 17 Cybersecurity at Visa 19 Data Privacy 20 Responsible Data Use 21 Transaction Integrity 22 Investing in Our People Inclusion & Diversity 24 Employee Learning & Development 28 Employee Engagement 30 Employee Wellbeing 31 Employee Benefits 32 Employee Safety 33 Protecting the Planet Sustainable Operations 36 Sustainable Commerce 41 Alignment with TCFD 43 Operating Responsibly Corporate Governance 45 Ethics & Compliance 46 Engaging with Governments 47 Tax Compliance & Governance 48 Responsible Sourcing 48 Human Rights 49 Appendix GHG Emissions Verification Statement 52 ESG Framework Map 53 2021 Environmental, Social & Governance Report Letter from our Chairman and CEO The past few years have accelerated change in many facets of our liveshow we work and do business, how we communicate and what we prioritize and value.","('Employee_Engagement_Inclusion_And_Diversity', 0.6825854182243347)","('Human_Rights_And_Community_Relations', 0.03741629049181938)","('Employee_Health_And_Safety', 0.032385628670454025)","(['Talent Attraction & Retention'], 0.6825854182243347)","('NON-ESG', 0.03741629049181938)","('NON-ESG', 0.032385628670454025)"
Line 3,"2021 Environmental, Social & Governance Report Contents Letter from our Chairman and CEO 1 FY21 Visa ESG Performance Highlights 2 About this Report 3 Our Company Corporate Profile 5 Our Environmental, Social & Governance Approach 6 Supporting the United Nations Sustainable Development Goals 8 Empowering People, Communities & Economies Small & Micro Business 10 Digital Equity & Inclusion 12 Community Support 13 Securing Commerce & Protecting Customers Payments Security 17 Cybersecurity at Visa 19 Data Privacy 20 Responsible Data Use 21 Transaction Integrity 22 Investing in Our People Inclusion & Diversity 24 Employee Learning & Development 28 Employee Engagement 30 Employee Wellbeing 31 Employee Benefits 32 Employee Safety 33 Protecting the Planet Sustainable Operations 36 Sustainable Commerce 41 Alignment with TCFD 43 Operating Responsibly Corporate Governance 45 Ethics & Compliance 46 Engaging with Governments 47 Tax Compliance & Governance 48 Responsible Sourcing 48 Human Rights 49 Appendix GHG Emissions Verification Statement 52 ESG Framework Map 53 2021 Environmental, Social & Governance Report Letter from our Chairman and CEO The past few years have accelerated change in many facets of our liveshow we work and do business, how we communicate and what we prioritize and value.","('Business_Model_Resilience', 0.6997496485710144)","('Physical_Impacts_Of_Climate_Change', 0.042108360677957535)","('Human_Rights_And_Community_Relations', 0.03969927132129669)","(['Human Capital Development', 'Innovation Management'], 0.6997496485710144)","('NON-ESG', 0.042108360677957535)","('NON-ESG', 0.03969927132129669)"
Line 4,"They have also sparked a renewed urgency to tackle the problems facing society on a global scale, including the 1.4 billion individuals currently left out of the formal financial system, the continuing effects of a lingering pandemic and the real world consequences of climate change.","('Physical_Impacts_Of_Climate_Change', 0.9592083692550659)","('Business_Model_Resilience', 0.006730160675942898)","('GHG_Emissions', 0.004180918447673321)","(['Climate Strategy'], 0.9592083692550659)","('NON-ESG', 0.006730160675942898)","('NON-ESG', 0.004180918447673321)"
Line 5,There is no overstating the seriousness of the challenges before us.,"('Competitive_Behavior', 0.22508634626865387)","('Systemic_Risk_Management', 0.1883602887392044)","('Management_Of_Legal_And_Regulatory_Framework', 0.14283718168735504)","('NON-ESG', 0.22508634626865387)","('NON-ESG', 0.1883602887392044)","('NON-ESG', 0.14283718168735504)"
Line 6,Urgent problems demand urgent solutions.,"('Critical_Incident_Risk_Management', 0.6578395962715149)","('Physical_Impacts_Of_Climate_Change', 0.11237470805644989)","('Business_Model_Resilience', 0.022839529439806938)","([], 0.6578395962715149)","('NON-ESG', 0.11237470805644989)","('NON-ESG', 0.022839529439806938)"
Line 7,"As global citizens, we at Visa are committed to making a positive impact in the world through living out our purpose: to uplift everyone, everywhere by being the best way to pay and be paid.","('Human_Rights_And_Community_Relations', 0.5951886177062988)","('Access_And_Affordability', 0.10577894002199173)","('Employee_Engagement_Inclusion_And_Diversity', 0.06767444312572479)","(['Environmental Policy & Management Systems'], 0.5951886177062988)","('NON-ESG', 0.10577894002199173)","('NON-ESG', 0.06767444312572479)"
Line 8,"We strive to do this in our efforts to empower small businesses and local economies, secure the channels of commerce, protect the planet, invest in and diversify our workforce, and operate ethically, responsibly and sustainably.","('Business_Model_Resilience', 0.5968433618545532)","('Human_Rights_And_Community_Relations', 0.0608721524477005)","('Competitive_Behavior', 0.05973561480641365)","(['Human Capital Development', 'Innovation Management'], 0.5968433618545532)","('NON-ESG', 0.0608721524477005)","('NON-ESG', 0.05973561480641365)"
Line 9,"At Visa, digital payments is our business.","('Customer_Privacy', 0.23804378509521484)","('Business_Ethics', 0.19555045664310455)","('Competitive_Behavior', 0.12008848786354065)","('NON-ESG', 0.23804378509521484)","('NON-ESG', 0.19555045664310455)","('NON-ESG', 0.12008848786354065)"
Line 10,"With studies showing that even a small increase in the rate of digital adoption can have an outsized influence on a countrys GDPparticularly developing countrieswe are leaning into our strengths, digitally enabling communities around the world.","('Product_Design_And_Lifecycle_Management', 0.20065775513648987)","('Management_Of_Legal_And_Regulatory_Framework', 0.1349853277206421)","('Business_Model_Resilience', 0.11092770099639893)","('NON-ESG', 0.20065775513648987)","('NON-ESG', 0.1349853277206421)","('NON-ESG', 0.11092770099639893)"
