,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental, Social, and Governance (ESG) Report Published September 2022 2 Environmental, Social, and Governance Report 2022 Table of Contents About Wells Fargo 3 A letter from the CEO 4 Wells Fargos key ESG themes & focus areas 5 Environmental Environmental sustainability 8 Operational sustainability 9 Growing the renewable energy supply 14 Supplier engagement 15 Social impact Supporting customers and communities 17 Climate-aligned philanthropy 25 Diversity, equity, and inclusion 28 Employees 34 Governance Corporate governance and ethics 42 Board of Directors 43 Executive compensation 44 Code of Ethics and Business Conduct 45 Risk management 46 Policy advocacy 47 Information and cybersecurity 48 Privacy protection 49 Understanding environmental and social impacts 50 Appendix Alignment with the United Nations Sustainable Development Goals 52 Sustainability Accounting Standard Board (SASB) Index 53 Global Reporting Initiative (GRI) Index 58 Task Force on Climate-related Financial Disclosures (TCFD) Index 65 Forward-looking statements 67 References and resources 69 Environmental Social Governance3 Environmental, Social, and Governance Report 2022 Envir onmental Social Governance About Wells Fargo Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.","('Human_Rights_And_Community_Relations', 0.5188515782356262)","('Employee_Engagement_Inclusion_And_Diversity', 0.28048884868621826)","('Business_Model_Resilience', 0.025024371221661568)","([], 0.5188515782356262)","('NON-ESG', 0.28048884868621826)","('NON-ESG', 0.025024371221661568)"
Line 2,"Environmental, Social, and Governance (ESG) Report Published September 2022 2 Environmental, Social, and Governance Report 2022 Table of Contents About Wells Fargo 3 A letter from the CEO 4 Wells Fargos key ESG themes & focus areas 5 Environmental Environmental sustainability 8 Operational sustainability 9 Growing the renewable energy supply 14 Supplier engagement 15 Social impact Supporting customers and communities 17 Climate-aligned philanthropy 25 Diversity, equity, and inclusion 28 Employees 34 Governance Corporate governance and ethics 42 Board of Directors 43 Executive compensation 44 Code of Ethics and Business Conduct 45 Risk management 46 Policy advocacy 47 Information and cybersecurity 48 Privacy protection 49 Understanding environmental and social impacts 50 Appendix Alignment with the United Nations Sustainable Development Goals 52 Sustainability Accounting Standard Board (SASB) Index 53 Global Reporting Initiative (GRI) Index 58 Task Force on Climate-related Financial Disclosures (TCFD) Index 65 Forward-looking statements 67 References and resources 69 Environmental Social Governance3 Environmental, Social, and Governance Report 2022 Envir onmental Social Governance About Wells Fargo Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.","('Business_Ethics', 0.9228508472442627)","('Management_Of_Legal_And_Regulatory_Framework', 0.012532876804471016)","('Director_Removal', 0.010797906666994095)","(['Business Ethics'], 0.9228508472442627)","('NON-ESG', 0.012532876804471016)","('NON-ESG', 0.010797906666994095)"
Line 3,"Environmental, Social, and Governance (ESG) Report Published September 2022 2 Environmental, Social, and Governance Report 2022 Table of Contents About Wells Fargo 3 A letter from the CEO 4 Wells Fargos key ESG themes & focus areas 5 Environmental Environmental sustainability 8 Operational sustainability 9 Growing the renewable energy supply 14 Supplier engagement 15 Social impact Supporting customers and communities 17 Climate-aligned philanthropy 25 Diversity, equity, and inclusion 28 Employees 34 Governance Corporate governance and ethics 42 Board of Directors 43 Executive compensation 44 Code of Ethics and Business Conduct 45 Risk management 46 Policy advocacy 47 Information and cybersecurity 48 Privacy protection 49 Understanding environmental and social impacts 50 Appendix Alignment with the United Nations Sustainable Development Goals 52 Sustainability Accounting Standard Board (SASB) Index 53 Global Reporting Initiative (GRI) Index 58 Task Force on Climate-related Financial Disclosures (TCFD) Index 65 Forward-looking statements 67 References and resources 69 Environmental Social Governance3 Environmental, Social, and Governance Report 2022 Envir onmental Social Governance About Wells Fargo Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.","('Human_Rights_And_Community_Relations', 0.7313827872276306)","('Management_Of_Legal_And_Regulatory_Framework', 0.04947676882147789)","('Business_Model_Resilience', 0.03541530296206474)","([], 0.7313827872276306)","('NON-ESG', 0.04947676882147789)","('NON-ESG', 0.03541530296206474)"
Line 4,S. households and more than 10% of small businesses in the U.,"('Supply_Chain_Management', 0.13857436180114746)","('Systemic_Risk_Management', 0.09542220085859299)","('Energy_Management', 0.08765395730733871)","('NON-ESG', 0.13857436180114746)","('NON-ESG', 0.09542220085859299)","('NON-ESG', 0.08765395730733871)"
Line 5,"S., and is a leading middle market banking provider in the U.","('Systemic_Risk_Management', 0.5655912160873413)","('Competitive_Behavior', 0.14250414073467255)","('Business_Model_Resilience', 0.08351726830005646)","(['Risk & Crisis Management', 'Decarbonization Strategy'], 0.5655912160873413)","('NON-ESG', 0.14250414073467255)","('NON-ESG', 0.08351726830005646)"
Line 6,"S. We provide a diversified set of banking, investment, and mortgage products and services, as well as consumer and commercial finance, through our four reportable operating segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth & Investment Management.","('Business_Model_Resilience', 0.281254380941391)","('Systemic_Risk_Management', 0.26283028721809387)","('Competitive_Behavior', 0.0824887603521347)","('NON-ESG', 0.281254380941391)","('NON-ESG', 0.26283028721809387)","('NON-ESG', 0.0824887603521347)"
Line 7,Wells Fargo ranked No.,"('Systemic_Risk_Management', 0.537717878818512)","('Supply_Chain_Management', 0.09335491061210632)","('Competitive_Behavior', 0.05352011322975159)","(['Risk & Crisis Management', 'Decarbonization Strategy'], 0.537717878818512)","('NON-ESG', 0.09335491061210632)","('NON-ESG', 0.05352011322975159)"
Line 8,41 on Fortunes 2022 rankings of Americas largest corporations.,"('Systemic_Risk_Management', 0.5290924310684204)","('Business_Model_Resilience', 0.1545131653547287)","('Competitive_Behavior', 0.05770829692482948)","(['Risk & Crisis Management', 'Decarbonization Strategy'], 0.5290924310684204)","('NON-ESG', 0.1545131653547287)","('NON-ESG', 0.05770829692482948)"
Line 9,"In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health, and a low-carbon economy.","('Human_Rights_And_Community_Relations', 0.7985613942146301)","('Access_And_Affordability', 0.07670774310827255)","('Employee_Engagement_Inclusion_And_Diversity', 0.019583692774176598)","([], 0.7985613942146301)","('NON-ESG', 0.07670774310827255)","('NON-ESG', 0.019583692774176598)"
Line 10,"Cautionary notes This document contains forward-looking statements about our future activities, plans, objectives, expectations, and other future conditions.","('Business_Model_Resilience', 0.4802373945713043)","('Management_Of_Legal_And_Regulatory_Framework', 0.1050957590341568)","('Physical_Impacts_Of_Climate_Change', 0.0645875409245491)","('NON-ESG', 0.4802373945713043)","('NON-ESG', 0.1050957590341568)","('NON-ESG', 0.0645875409245491)"
Line 11,Please see the Disclaimer and Forward-Looking Statements section for more information about factors that could cause actual results to differ materially from our forward-looking statements.,"('Management_Of_Legal_And_Regulatory_Framework', 0.5714982748031616)","('Competitive_Behavior', 0.14096678793430328)","('Business_Model_Resilience', 0.03279959410429001)","([], 0.5714982748031616)","('NON-ESG', 0.14096678793430328)","('NON-ESG', 0.03279959410429001)"
Line 12,"Data herein is as of Dec. 31, 2021, unless otherwise indicated.","('Business_Model_Resilience', 0.1141243726015091)","('Management_Of_Legal_And_Regulatory_Framework', 0.09976421296596527)","('Customer_Privacy', 0.08737213164567947)","('NON-ESG', 0.1141243726015091)","('NON-ESG', 0.09976421296596527)","('NON-ESG', 0.08737213164567947)"
Line 13,"Wells Fargo has provided external links within this document for your convenience, but Wells Fargo does not endorse and is not responsible for the content, links, privacy policy, or security policy of these websites.","('Data_Security', 0.7023569941520691)","('Customer_Privacy', 0.16399270296096802)","('Management_Of_Legal_And_Regulatory_Framework', 0.01941482536494732)","([], 0.7023569941520691)","('NON-ESG', 0.16399270296096802)","('NON-ESG', 0.01941482536494732)"
Line 14,$1.9 Trillion in assets Serving 1 in 3 U.,"('Systemic_Risk_Management', 0.5519087314605713)","('Business_Model_Resilience', 0.12884101271629333)","('Competitive_Behavior', 0.058912549167871475)","(['Risk & Crisis Management', 'Decarbonization Strategy'], 0.5519087314605713)","('NON-ESG', 0.12884101271629333)","('NON-ESG', 0.058912549167871475)"
