,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,"Environmental, Social and Governance Summary Report FY2022Contents INTRODUCTION 3 About our reporting 4 Year at a glance FY2022 6 Leadership letters 8 Our company 10 Our approach to ESG 12 OPPORTUNITY 1 5 Human capital: Good jobs & advancement for associates 16 Equity & inclusion at Walmart and beyond 20 Supplier opportunity 23 SUSTAINABILITY 2 4 Product supply chain sustainability 25 Climate change 27 Waste: Circular economy 30 Regeneration of natural resources: Forests, land, oceans 32 People in supply chains 34COMMUNITY 36 Serving communities 37 Safer, healthier food and other products 39 Disaster preparedness & response 40 ETHICS & INTEGRITY 41 Ethics & compliance 42 Corporate governance 43 Engagement in public policy 44 Digital citizenship: Ethical use of data & responsible use of technology 45 Human rights 46 ENDNOTES 47 2ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION Introduction 3ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION About our reporting Walmart has reported on a wide range of ESG issues since 2005.","('Supply_Chain_Management', 0.921983540058136)","('Physical_Impacts_Of_Climate_Change', 0.015209361910820007)","('Business_Model_Resilience', 0.009706126525998116)","(['Supply Chain Management'], 0.921983540058136)","('NON-ESG', 0.015209361910820007)","('NON-ESG', 0.009706126525998116)"
Line 2,"Environmental, Social and Governance Summary Report FY2022Contents INTRODUCTION 3 About our reporting 4 Year at a glance FY2022 6 Leadership letters 8 Our company 10 Our approach to ESG 12 OPPORTUNITY 1 5 Human capital: Good jobs & advancement for associates 16 Equity & inclusion at Walmart and beyond 20 Supplier opportunity 23 SUSTAINABILITY 2 4 Product supply chain sustainability 25 Climate change 27 Waste: Circular economy 30 Regeneration of natural resources: Forests, land, oceans 32 People in supply chains 34COMMUNITY 36 Serving communities 37 Safer, healthier food and other products 39 Disaster preparedness & response 40 ETHICS & INTEGRITY 41 Ethics & compliance 42 Corporate governance 43 Engagement in public policy 44 Digital citizenship: Ethical use of data & responsible use of technology 45 Human rights 46 ENDNOTES 47 2ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION Introduction 3ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION About our reporting Walmart has reported on a wide range of ESG issues since 2005.","('Business_Ethics', 0.9070813059806824)","('Human_Rights_And_Community_Relations', 0.023667730391025543)","('Management_Of_Legal_And_Regulatory_Framework', 0.00764771644026041)","([], 0.9070813059806824)","('NON-ESG', 0.023667730391025543)","('NON-ESG', 0.00764771644026041)"
Line 3,"Environmental, Social and Governance Summary Report FY2022Contents INTRODUCTION 3 About our reporting 4 Year at a glance FY2022 6 Leadership letters 8 Our company 10 Our approach to ESG 12 OPPORTUNITY 1 5 Human capital: Good jobs & advancement for associates 16 Equity & inclusion at Walmart and beyond 20 Supplier opportunity 23 SUSTAINABILITY 2 4 Product supply chain sustainability 25 Climate change 27 Waste: Circular economy 30 Regeneration of natural resources: Forests, land, oceans 32 People in supply chains 34COMMUNITY 36 Serving communities 37 Safer, healthier food and other products 39 Disaster preparedness & response 40 ETHICS & INTEGRITY 41 Ethics & compliance 42 Corporate governance 43 Engagement in public policy 44 Digital citizenship: Ethical use of data & responsible use of technology 45 Human rights 46 ENDNOTES 47 2ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION Introduction 3ETHICS & INTEGRITY COMMUNITY SUSTAINABILITY OPPORTUNITY INTRODUCTION About our reporting Walmart has reported on a wide range of ESG issues since 2005.","('Systemic_Risk_Management', 0.34407880902290344)","('Business_Model_Resilience', 0.2883911728858948)","('Management_Of_Legal_And_Regulatory_Framework', 0.04456227645277977)","('NON-ESG', 0.34407880902290344)","('NON-ESG', 0.2883911728858948)","('NON-ESG', 0.04456227645277977)"
Line 4,Our reporting is focused on our priority ESG issuesissues that we believe are the most relevant to our business and important to our stakeholders.,"('Business_Model_Resilience', 0.6810391545295715)","('Human_Rights_And_Community_Relations', 0.0746551975607872)","('Physical_Impacts_Of_Climate_Change', 0.0340823233127594)","([], 0.6810391545295715)","('NON-ESG', 0.0746551975607872)","('NON-ESG', 0.0340823233127594)"
Line 5,"This Annual Summary provides an overview of our shared value approach to ESG, ESG priorities and key highlights.","('Business_Model_Resilience', 0.7088568806648254)","('Systemic_Risk_Management', 0.08059031516313553)","('Physical_Impacts_Of_Climate_Change', 0.023449139669537544)","([], 0.7088568806648254)","('NON-ESG', 0.08059031516313553)","('NON-ESG', 0.023449139669537544)"
Line 6,"The Annual Summary covers our activities during the fiscal year ending January 31, 2022 (FY2022), except as otherwise noted.","('Management_Of_Legal_And_Regulatory_Framework', 0.3122149109840393)","('Business_Model_Resilience', 0.13023030757904053)","('Director_Removal', 0.0782538503408432)","('NON-ESG', 0.3122149109840393)","('NON-ESG', 0.13023030757904053)","('NON-ESG', 0.0782538503408432)"
Line 7,Calendar years (CY) are marked as such or written in a four-digit format.,"('Management_Of_Legal_And_Regulatory_Framework', 0.25418388843536377)","('Labor_Practices', 0.10157107561826706)","('Employee_Engagement_Inclusion_And_Diversity', 0.08034864813089371)","('NON-ESG', 0.25418388843536377)","('NON-ESG', 0.10157107561826706)","('NON-ESG', 0.08034864813089371)"
Line 8,"Beginning in 2021, our reporting has been centered around a series of ESG issue briefs covering each of Walmarts priority ESG issues in depth.","('Business_Model_Resilience', 0.4019697904586792)","('Systemic_Risk_Management', 0.3713378310203552)","('Physical_Impacts_Of_Climate_Change', 0.036333613097667694)","('NON-ESG', 0.4019697904586792)","('NON-ESG', 0.3713378310203552)","('NON-ESG', 0.036333613097667694)"
Line 9,"Each of the 17 briefs covers our aspiration and strategy with respect to that issue, the relevance of the issue to business and society, our key goals and metrics and our progress to date.","('Business_Model_Resilience', 0.5333681106567383)","('Human_Rights_And_Community_Relations', 0.1665969341993332)","('Physical_Impacts_Of_Climate_Change', 0.03355627879500389)","([], 0.5333681106567383)","('NON-ESG', 0.1665969341993332)","('NON-ESG', 0.03355627879500389)"
Line 10,These briefs will be updated from time to time and may not align with fiscal year reporting periods.,"('Management_Of_Legal_And_Regulatory_Framework', 0.43273377418518066)","('Physical_Impacts_Of_Climate_Change', 0.08628857880830765)","('Business_Model_Resilience', 0.06422300636768341)","('NON-ESG', 0.43273377418518066)","('NON-ESG', 0.08628857880830765)","('NON-ESG', 0.06422300636768341)"
