,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 1,ExxonMobil Sustainability Report1 Sustainability Report Published December 2022ExxonMobil Sustainability Report2 Table of contents Introduction .  3 Strategic priorities and organization .  3 Highlighting 2021 performance .  4 Integrating sustainability into what we do .  5 Our approach to sustainability .  6 Leadership .  8 Application .  18 Performance .  24 Excerpt: Advancing Climate Solutions .  26 Progressing environmental initiatives .  27 Managing environmental performance and compliance .  28 Reducing impacts to land and habitats .  30 Conserving water resources .  32 Improving air quality .  36 Minimizing operational waste .  37Creating sustainable solutions .  39 Progressing product safety .  40 Expanding the plastics life cycle .  41 Excerpt: Delivering economic benefits .  42 Engaging communities and our supply chain .  44 Respecting human rights .  45 Our communities .  49 Our global supply chain .  60 Caring for our workforce .  66 Leading in personnel safety .  67 Enhancing process safety .  69 Excerpt: Investing in People .  71 About the Sustainability Report .  73 Topic selection and content index .  74 Performance data table .  75 Cautionary note on forward-looking statements .  81 Endnotes .  83ExxonMobil Sustainability Report3Introduction Strategic priorities and organization ExxonMobil is one of the worlds largest publicly traded energy and chemical companies.,"('Business_Model_Resilience', 0.5782959461212158)","('Product_Design_And_Lifecycle_Management', 0.10200924426317215)","('Supply_Chain_Management', 0.03999811410903931)","([], 0.5782959461212158)","('NON-ESG', 0.10200924426317215)","('NON-ESG', 0.03999811410903931)"
Line 2,ExxonMobil Sustainability Report1 Sustainability Report Published December 2022ExxonMobil Sustainability Report2 Table of contents Introduction .  3 Strategic priorities and organization .  3 Highlighting 2021 performance .  4 Integrating sustainability into what we do .  5 Our approach to sustainability .  6 Leadership .  8 Application .  18 Performance .  24 Excerpt: Advancing Climate Solutions .  26 Progressing environmental initiatives .  27 Managing environmental performance and compliance .  28 Reducing impacts to land and habitats .  30 Conserving water resources .  32 Improving air quality .  36 Minimizing operational waste .  37Creating sustainable solutions .  39 Progressing product safety .  40 Expanding the plastics life cycle .  41 Excerpt: Delivering economic benefits .  42 Engaging communities and our supply chain .  44 Respecting human rights .  45 Our communities .  49 Our global supply chain .  60 Caring for our workforce .  66 Leading in personnel safety .  67 Enhancing process safety .  69 Excerpt: Investing in People .  71 About the Sustainability Report .  73 Topic selection and content index .  74 Performance data table .  75 Cautionary note on forward-looking statements .  81 Endnotes .  83ExxonMobil Sustainability Report3Introduction Strategic priorities and organization ExxonMobil is one of the worlds largest publicly traded energy and chemical companies.,"('Product_Quality_And_Safety', 0.3468874990940094)","('Product_Design_And_Lifecycle_Management', 0.337053120136261)","('Employee_Health_And_Safety', 0.10487154871225357)","('NON-ESG', 0.3468874990940094)","('NON-ESG', 0.337053120136261)","('NON-ESG', 0.10487154871225357)"
Line 3,ExxonMobil Sustainability Report1 Sustainability Report Published December 2022ExxonMobil Sustainability Report2 Table of contents Introduction .  3 Strategic priorities and organization .  3 Highlighting 2021 performance .  4 Integrating sustainability into what we do .  5 Our approach to sustainability .  6 Leadership .  8 Application .  18 Performance .  24 Excerpt: Advancing Climate Solutions .  26 Progressing environmental initiatives .  27 Managing environmental performance and compliance .  28 Reducing impacts to land and habitats .  30 Conserving water resources .  32 Improving air quality .  36 Minimizing operational waste .  37Creating sustainable solutions .  39 Progressing product safety .  40 Expanding the plastics life cycle .  41 Excerpt: Delivering economic benefits .  42 Engaging communities and our supply chain .  44 Respecting human rights .  45 Our communities .  49 Our global supply chain .  60 Caring for our workforce .  66 Leading in personnel safety .  67 Enhancing process safety .  69 Excerpt: Investing in People .  71 About the Sustainability Report .  73 Topic selection and content index .  74 Performance data table .  75 Cautionary note on forward-looking statements .  81 Endnotes .  83ExxonMobil Sustainability Report3Introduction Strategic priorities and organization ExxonMobil is one of the worlds largest publicly traded energy and chemical companies.,"('Business_Model_Resilience', 0.7017440795898438)","('Systemic_Risk_Management', 0.10079685598611832)","('Supply_Chain_Management', 0.04478958621621132)","([], 0.7017440795898438)","('NON-ESG', 0.10079685598611832)","('NON-ESG', 0.04478958621621132)"
Line 4,We develop and apply next-generation technologies to help safely and responsibly meet the worlds growing needs for reliable and affordable energy and high-quality products.,"('Product_Design_And_Lifecycle_Management', 0.9520547986030579)","('Energy_Management', 0.008548100478947163)","('Product_Quality_And_Safety', 0.0034002382308244705)","([], 0.9520547986030579)","('NON-ESG', 0.008548100478947163)","('NON-ESG', 0.0034002382308244705)"
Line 5,"Creating sustainable solutions that improve quality of life and meet societys evolving needs Leading performanceEssential partnerAdvantaged portfolioInnovative solutionsMeaningful development At ExxonMobil, we are committed to improving quality of life by meeting the critical needs of society.","('Product_Design_And_Lifecycle_Management', 0.7049337029457092)","('Access_And_Affordability', 0.03500799462199211)","('Ecological_Impacts', 0.030830103904008865)","([], 0.7049337029457092)","('NON-ESG', 0.03500799462199211)","('NON-ESG', 0.030830103904008865)"
Line 6,"That is what we have done throughout our historyas the world evolves, so do we.","('Business_Model_Resilience', 0.29433828592300415)","('Ecological_Impacts', 0.09685316681861877)","('Employee_Engagement_Inclusion_And_Diversity', 0.09573677182197571)","('NON-ESG', 0.29433828592300415)","('NON-ESG', 0.09685316681861877)","('NON-ESG', 0.09573677182197571)"
Line 7,We are constantly working to meet the changing needs of our customers and stakeholders.,"('Product_Design_And_Lifecycle_Management', 0.4755122661590576)","('Business_Model_Resilience', 0.2003311961889267)","('Supply_Chain_Management', 0.07085959613323212)","('NON-ESG', 0.4755122661590576)","('NON-ESG', 0.2003311961889267)","('NON-ESG', 0.07085959613323212)"
Line 8,This ability to adapt has been the key to creating long-term shareholder value and will be critical to continued success in the years to come.,"('Business_Model_Resilience', 0.8239045143127441)","('Systemic_Risk_Management', 0.04211687669157982)","('Product_Design_And_Lifecycle_Management', 0.01315222680568695)","([], 0.8239045143127441)","('NON-ESG', 0.04211687669157982)","('NON-ESG', 0.01315222680568695)"
Line 9,"As we move forward, we will remain focused on five strategic priorities.","('Business_Model_Resilience', 0.807770848274231)","('Physical_Impacts_Of_Climate_Change', 0.039513204246759415)","('Systemic_Risk_Management', 0.023098625242710114)","([], 0.807770848274231)","('NON-ESG', 0.039513204246759415)","('NON-ESG', 0.023098625242710114)"
Line 10,"First, leading industry across the metrics that are the foundation of successsafety, reliability, environmental performance, earnings and cash flow growth and ultimately shareholder returns.","('Business_Model_Resilience', 0.42295825481414795)","('Systemic_Risk_Management', 0.3922264277935028)","('Competitive_Behavior', 0.03467903286218643)","('NON-ESG', 0.42295825481414795)","('NON-ESG', 0.3922264277935028)","('NON-ESG', 0.03467903286218643)"
Line 11,"Second, being a valued, essential partner through the creation of win-win solutions for our customers, partners and broader stakeholders.","('Product_Design_And_Lifecycle_Management', 0.5051912665367126)","('Business_Model_Resilience', 0.16406971216201782)","('Data_Security', 0.038969311863183975)","([], 0.5051912665367126)","('NON-ESG', 0.16406971216201782)","('NON-ESG', 0.038969311863183975)"
Line 12,"Third, building on our advantaged portfolio, continuously upgrading it to ensure it leads competition and delivers value across a range of external environments and through volatile and evolving markets.","('Competitive_Behavior', 0.9453758001327515)","('Business_Model_Resilience', 0.012943301349878311)","('Systemic_Risk_Management', 0.004425413906574249)","([], 0.9453758001327515)","('NON-ESG', 0.012943301349878311)","('NON-ESG', 0.004425413906574249)"
Line 13,"To do this, we must continue to innovate.","('Business_Model_Resilience', 0.5487430691719055)","('Product_Design_And_Lifecycle_Management', 0.16732047498226166)","('Employee_Engagement_Inclusion_And_Diversity', 0.030594922602176666)","([], 0.5487430691719055)","('NON-ESG', 0.16732047498226166)","('NON-ESG', 0.030594922602176666)"
Line 14,We are providing solutions that meet the growing needs of society reliably and affordably.,"('Product_Design_And_Lifecycle_Management', 0.36970216035842896)","('Energy_Management', 0.17922738194465637)","('Access_And_Affordability', 0.09404647350311279)","('NON-ESG', 0.36970216035842896)","('NON-ESG', 0.17922738194465637)","('NON-ESG', 0.09404647350311279)"
Line 15,"This means new products, technologies and approaches that better meet the needs of today and tomorrow.","('Product_Design_And_Lifecycle_Management', 0.9590365290641785)","('Business_Model_Resilience', 0.003925185184925795)","('Energy_Management', 0.0034171894658356905)","([], 0.9590365290641785)","('NON-ESG', 0.003925185184925795)","('NON-ESG', 0.0034171894658356905)"
Line 16,These solutions need to be deployed at scale to create meaningful impact.,"('Product_Design_And_Lifecycle_Management', 0.16521908342838287)","('Access_And_Affordability', 0.11299516260623932)","('Business_Model_Resilience', 0.09944995492696762)","('NON-ESG', 0.16521908342838287)","('NON-ESG', 0.11299516260623932)","('NON-ESG', 0.09944995492696762)"
Line 17,"This requires that we fully leverage all of our competitive advantages the most important of which, is of course, our people.","('Competitive_Behavior', 0.9395356178283691)","('Business_Model_Resilience', 0.01104583591222763)","('Systemic_Risk_Management', 0.007410115096718073)","([], 0.9395356178283691)","('NON-ESG', 0.01104583591222763)","('NON-ESG', 0.007410115096718073)"
Line 18,Continually developing our people and maintaining a strong culture is a core strategic priority and essential to achieving our long-term objectives.,"('Human_Rights_And_Community_Relations', 0.42039498686790466)","('Employee_Engagement_Inclusion_And_Diversity', 0.20482291281223297)","('Business_Model_Resilience', 0.09156274795532227)","('NON-ESG', 0.42039498686790466)","('NON-ESG', 0.20482291281223297)","('NON-ESG', 0.09156274795532227)"
Line 19,"We remain focused on building a diverse workforce and productive work environment where individual and cultural differences are respected, where every individual is challenged to deliver their best and has the opportunity for unrivaled personal and professional development.","('Employee_Engagement_Inclusion_And_Diversity', 0.8946124911308289)","('Human_Rights_And_Community_Relations', 0.03430682420730591)","('Employee_Health_And_Safety', 0.006335369311273098)","([], 0.8946124911308289)","('NON-ESG', 0.03430682420730591)","('NON-ESG', 0.006335369311273098)"
Line 20,"To deliver on these priorities, and fully leverage our competitive advantages we continue to evolve our business model and change the way we work and are organized.","('Competitive_Behavior', 0.6353744268417358)","('Business_Model_Resilience', 0.20164036750793457)","('Systemic_Risk_Management', 0.029782814905047417)","([], 0.6353744268417358)","('NON-ESG', 0.20164036750793457)","('NON-ESG', 0.029782814905047417)"
Line 21,"We are organized along three business linesExxonMobil Upstream Company, ExxonMobil Product Solutions and ExxonMobil Low Carbon Solutions.","('Product_Design_And_Lifecycle_Management', 0.8410356044769287)","('Customer_Welfare', 0.03608943894505501)","('Product_Quality_And_Safety', 0.014927693642675877)","([], 0.8410356044769287)","('NON-ESG', 0.03608943894505501)","('NON-ESG', 0.014927693642675877)"
Line 22,"These business lines are supported by a single technology organization, ExxonMobil Technology and Engineering, and other centralized service-delivery groups including Global Operations and Sustainability.","('Business_Model_Resilience', 0.1935097873210907)","('Supply_Chain_Management', 0.11633921414613724)","('Competitive_Behavior', 0.11199738830327988)","('NON-ESG', 0.1935097873210907)","('NON-ESG', 0.11633921414613724)","('NON-ESG', 0.11199738830327988)"
Line 23,More information on our business divisions and operations can be found on our Business Divisions page.,"('Business_Model_Resilience', 0.3630926012992859)","('Director_Removal', 0.15826857089996338)","('Employee_Engagement_Inclusion_And_Diversity', 0.06387616693973541)","('NON-ESG', 0.3630926012992859)","('NON-ESG', 0.15826857089996338)","('NON-ESG', 0.06387616693973541)"
Line 24,Business divisions We strive for a diverse workforce and productive work environment where individual and cultural differences are respected and valued.,"('Employee_Engagement_Inclusion_And_Diversity', 0.9592697620391846)","('Human_Rights_And_Community_Relations', 0.008174159564077854)","('Employee_Health_And_Safety', 0.003090664278715849)","([], 0.9592697620391846)","('NON-ESG', 0.008174159564077854)","('NON-ESG', 0.003090664278715849)"
Line 25,"We challenge our people to contribute fully, demonstrate courage of conviction and adhere to the highest standards of excellence and integrity.","('Business_Ethics', 0.517177164554596)","('Employee_Engagement_Inclusion_And_Diversity', 0.10706213861703873)","('Human_Rights_And_Community_Relations', 0.0885942354798317)","(['Business Ethics'], 0.517177164554596)","('NON-ESG', 0.10706213861703873)","('NON-ESG', 0.0885942354798317)"
Line 26,"We embrace learning, flexibility and innovation to meet societys evolving needs and outperform competition.","('Competitive_Behavior', 0.9433155655860901)","('Business_Model_Resilience', 0.008393959142267704)","('Employee_Engagement_Inclusion_And_Diversity', 0.0042496854439377785)","([], 0.9433155655860901)","('NON-ESG', 0.008393959142267704)","('NON-ESG', 0.0042496854439377785)"
Line 27,"We take pride in being part of ExxonMobil, where we work hard, have fun and live our values.","('Human_Rights_And_Community_Relations', 0.19692209362983704)","('Employee_Engagement_Inclusion_And_Diversity', 0.158761665225029)","('Business_Model_Resilience', 0.08241776376962662)","('NON-ESG', 0.19692209362983704)","('NON-ESG', 0.158761665225029)","('NON-ESG', 0.08241776376962662)"
